datetime,open,high,low,close,volume,open_oi
2017-12-25,8114.00,8157.00,8060.00,8095.00,179012.00,0.00
2017-12-26,8107.00,8144.00,8079.00,8090.00,73210.00,12648.00
2017-12-27,8094.00,8109.00,8067.00,8086.00,33944.00,10509.00
2017-12-28,8092.00,8145.00,8088.00,8104.00,35588.00,8762.00
2017-12-29,8106.00,8122.00,8078.00,8088.00,12881.00,7779.00
2018-01-02,8091.00,8106.00,8086.00,8101.00,8213.00,6877.00
2018-01-03,8104.00,8122.00,8088.00,8094.00,10077.00,6180.00
2018-01-04,8098.00,8114.00,8076.00,8092.00,8326.00,5926.00
2018-01-05,8098.00,8111.00,8082.00,8099.00,4769.00,5626.00
2018-01-08,8103.00,8103.00,8080.00,8084.00,3466.00,5045.00
2018-01-09,8086.00,8090.00,7933.00,7966.00,35564.00,4897.00
2018-01-10,7956.00,7980.00,7933.00,7938.00,15096.00,7967.00
2018-01-11,7932.00,7953.00,7854.00,7865.00,21620.00,8002.00
2018-01-12,7844.00,7855.00,7784.00,7787.00,19426.00,10119.00
2018-01-15,7763.00,7795.00,7758.00,7777.00,13082.00,12035.00
2018-01-16,7764.00,7815.00,7711.00,7723.00,22356.00,12512.00
2018-01-17,7736.00,7744.00,7658.00,7670.00,44078.00,14365.00
2018-01-18,7668.00,7708.00,7666.00,7671.00,24043.00,15657.00
2018-01-19,7672.00,7701.00,7641.00,7657.00,28971.00,16257.00
2018-01-22,7678.00,7708.00,7667.00,7697.00,20703.00,15811.00
2018-01-23,7712.00,7740.00,7681.00,7699.00,27070.00,15244.00
2018-01-24,7705.00,7708.00,7664.00,7677.00,13688.00,14221.00
2018-01-25,7687.00,7701.00,7657.00,7661.00,13662.00,14450.00
2018-01-26,7668.00,7699.00,7660.00,7683.00,15127.00,14846.00
2018-01-29,7690.00,7697.00,7554.00,7560.00,28279.00,13751.00
2018-01-30,7554.00,7568.00,7510.00,7512.00,25342.00,16230.00
2018-01-31,7510.00,7543.00,7461.00,7487.00,44407.00,18170.00
2018-02-01,7492.00,7515.00,7434.00,7434.00,31624.00,18286.00
2018-02-02,7448.00,7462.00,7367.00,7372.00,50611.00,19067.00
2018-02-05,7360.00,7382.00,7321.00,7334.00,52688.00,21466.00
2018-02-06,7328.00,7372.00,7275.00,7278.00,57215.00,24141.00
2018-02-07,7282.00,7293.00,6956.00,6956.00,147897.00,25929.00
2018-02-08,6875.00,6890.00,6662.00,6754.00,215217.00,35304.00
2018-02-09,6765.00,6828.00,6697.00,6745.00,134154.00,26411.00
2018-02-12,6755.00,6941.00,6731.00,6803.00,136420.00,27922.00
2018-02-13,6806.00,6848.00,6740.00,6765.00,98002.00,26828.00
2018-02-14,6797.00,6821.00,6553.00,6621.00,117578.00,26652.00
2018-02-22,6601.00,6623.00,6480.00,6481.00,114797.00,26300.00
2018-02-23,6483.00,6846.00,6471.00,6846.00,254518.00,35854.00
