datetime,open,high,low,close,volume,open_oi
2016-01-05,11270.00,11295.00,11180.00,11200.00,73208.00,0.00
2016-01-06,11205.00,11350.00,11185.00,11320.00,109707.00,190645.00
2016-01-07,11310.00,11360.00,11270.00,11335.00,71958.00,187408.00
2016-01-08,11315.00,11385.00,11280.00,11315.00,59494.00,178517.00
2016-01-11,11310.00,11345.00,11255.00,11280.00,47804.00,174293.00
2016-01-12,11285.00,11315.00,11230.00,11280.00,38867.00,171780.00
2016-01-13,11290.00,11350.00,11275.00,11310.00,50675.00,170631.00
2016-01-14,11310.00,11340.00,11290.00,11305.00,32735.00,170096.00
2016-01-15,11275.00,11305.00,11190.00,11215.00,78214.00,170919.00
2016-01-18,11205.00,11245.00,11165.00,11200.00,57674.00,181121.00
2016-01-19,11205.00,11285.00,11200.00,11270.00,51949.00,181150.00
2016-01-20,11285.00,11415.00,11270.00,11375.00,124031.00,187287.00
2016-01-21,11360.00,11395.00,11345.00,11380.00,40479.00,182372.00
2016-01-22,11385.00,11445.00,11330.00,11420.00,56369.00,180672.00
2016-01-25,11480.00,11480.00,11380.00,11415.00,27738.00,181552.00
2016-01-26,11405.00,11445.00,11395.00,11420.00,29411.00,180074.00
2016-01-27,11425.00,11470.00,11400.00,11450.00,28948.00,178636.00
2016-01-28,11455.00,11475.00,11395.00,11405.00,24221.00,178076.00
2016-01-29,11405.00,11440.00,11355.00,11375.00,34520.00,176673.00
2016-02-01,11385.00,11395.00,11360.00,11375.00,22311.00,175433.00
2016-02-02,10840.00,10900.00,10820.00,10870.00,20235.00,168564.00
2016-02-03,10850.00,10880.00,10680.00,10715.00,57166.00,165856.00
2016-02-04,10710.00,10755.00,10570.00,10590.00,47353.00,166616.00
2016-02-05,10555.00,10680.00,10535.00,10565.00,48542.00,172354.00
2016-02-15,10475.00,10495.00,10370.00,10390.00,47213.00,175802.00
2016-02-16,10395.00,10500.00,10385.00,10485.00,59937.00,186841.00
2016-02-17,10495.00,10570.00,10470.00,10530.00,55846.00,202863.00
2016-02-18,10530.00,10595.00,10505.00,10565.00,39534.00,205005.00
2016-02-19,10565.00,10575.00,10440.00,10460.00,76634.00,205311.00
2016-02-22,10445.00,10565.00,10440.00,10505.00,70722.00,224718.00
2016-02-23,10515.00,10550.00,10455.00,10485.00,72095.00,223899.00
2016-02-24,10480.00,10500.00,10290.00,10325.00,117979.00,235444.00
2016-02-25,10320.00,10330.00,10035.00,10160.00,206776.00,250348.00
2016-02-26,10165.00,10205.00,10065.00,10080.00,100941.00,254164.00
2016-02-29,10075.00,10145.00,9975.00,9990.00,134393.00,259672.00
2016-03-01,10005.00,10105.00,9890.00,10045.00,181870.00,260076.00
2016-03-02,10070.00,10110.00,10000.00,10045.00,115987.00,266846.00
2016-03-03,10050.00,10215.00,10000.00,10155.00,171447.00,275034.00
2016-03-04,10160.00,10255.00,10115.00,10235.00,129528.00,285317.00
2016-03-07,10240.00,10610.00,10220.00,10540.00,343805.00,299153.00
2016-03-08,10545.00,10640.00,10275.00,10410.00,257276.00,306973.00
2016-03-09,10395.00,10455.00,10235.00,10290.00,165238.00,291527.00
2016-03-10,10300.00,10390.00,10165.00,10180.00,148441.00,300368.00
2016-03-11,10160.00,10180.00,10040.00,10110.00,168275.00,297742.00
2016-03-14,10150.00,10245.00,10100.00,10115.00,150340.00,303364.00
2016-03-15,10085.00,10215.00,10080.00,10100.00,139199.00,316023.00
2016-03-16,10105.00,10155.00,10060.00,10110.00,118881.00,314272.00
2016-03-17,10100.00,10245.00,10090.00,10185.00,121697.00,317387.00
2016-03-18,10195.00,10460.00,10185.00,10380.00,250287.00,303897.00
2016-03-21,10375.00,10510.00,10270.00,10500.00,245756.00,295492.00
2016-03-22,10535.00,10605.00,10440.00,10450.00,198063.00,305843.00
2016-03-23,10420.00,10610.00,10410.00,10535.00,157677.00,291774.00
2016-03-24,10505.00,10560.00,10350.00,10355.00,151125.00,288369.00
2016-03-25,10370.00,10430.00,10340.00,10420.00,104062.00,281972.00
2016-03-28,10455.00,10495.00,10350.00,10355.00,109804.00,288255.00
2016-03-29,10370.00,10430.00,10220.00,10235.00,146420.00,283719.00
2016-03-30,10245.00,10325.00,10210.00,10295.00,75382.00,280773.00
2016-03-31,10320.00,10350.00,10120.00,10200.00,130990.00,273739.00
2016-04-01,10210.00,10270.00,10185.00,10240.00,84643.00,267805.00
2016-04-05,10290.00,10355.00,10250.00,10315.00,83834.00,262220.00
2016-04-06,10335.00,10470.00,10320.00,10430.00,137735.00,265547.00
2016-04-07,10425.00,10450.00,10315.00,10375.00,107109.00,270260.00
2016-04-08,10405.00,10425.00,10330.00,10395.00,94020.00,271966.00
2016-04-11,10520.00,10790.00,10440.00,10790.00,232200.00,273078.00
2016-04-12,10950.00,11010.00,10810.00,10880.00,306927.00,280677.00
2016-04-13,10960.00,11325.00,10950.00,11325.00,235995.00,252240.00
2016-04-14,11545.00,11770.00,11345.00,11575.00,696269.00,267354.00
2016-04-15,11445.00,11525.00,11190.00,11255.00,499473.00,203437.00
2016-04-18,11190.00,11775.00,11150.00,11775.00,438537.00,236555.00
2016-04-19,12205.00,12265.00,12020.00,12175.00,689817.00,248581.00
2016-04-20,12235.00,12650.00,12220.00,12650.00,765249.00,177832.00
2016-04-21,12395.00,13425.00,12215.00,13355.00,1166782.00,176210.00
2016-04-22,13265.00,13450.00,12615.00,12840.00,1432469.00,150049.00
2016-04-25,12870.00,13255.00,12665.00,12810.00,809602.00,146405.00
2016-04-26,12835.00,13375.00,12650.00,12940.00,1239942.00,145201.00
2016-04-27,12980.00,13135.00,12570.00,12805.00,642952.00,176521.00
2016-04-28,12845.00,12885.00,12210.00,12350.00,571131.00,174410.00
2016-04-29,12305.00,12640.00,12290.00,12555.00,446466.00,166577.00
2016-05-03,12635.00,12905.00,12545.00,12755.00,279250.00,159375.00
2016-05-04,12645.00,12680.00,12440.00,12530.00,285621.00,157359.00
2016-05-05,12595.00,12600.00,12460.00,12565.00,196345.00,163605.00
2016-05-06,12635.00,12740.00,12230.00,12350.00,337028.00,163112.00
2016-05-09,12385.00,12485.00,11865.00,12165.00,366625.00,147021.00
2016-05-10,12090.00,12270.00,12015.00,12240.00,274723.00,135053.00
2016-05-11,12260.00,12420.00,12175.00,12335.00,200587.00,135034.00
2016-05-12,12300.00,12695.00,12130.00,12530.00,366150.00,138642.00
2016-05-13,12500.00,12640.00,12180.00,12300.00,328473.00,152239.00
2016-05-16,12290.00,12520.00,12205.00,12335.00,187806.00,129348.00
2016-05-17,12370.00,12475.00,12310.00,12440.00,161394.00,133750.00
2016-05-18,12455.00,12835.00,12450.00,12550.00,431064.00,135836.00
2016-05-19,12575.00,12755.00,12525.00,12740.00,298503.00,141100.00
2016-05-20,12740.00,12885.00,12645.00,12745.00,227855.00,146142.00
2016-05-23,12725.00,12815.00,12350.00,12390.00,266589.00,144549.00
2016-05-24,12385.00,12470.00,12260.00,12415.00,202602.00,121894.00
2016-05-25,12475.00,12650.00,12250.00,12480.00,240955.00,122350.00
2016-05-26,12485.00,13035.00,12455.00,13035.00,348243.00,118540.00
2016-05-27,13080.00,13260.00,12855.00,13100.00,538559.00,161419.00
2016-05-30,13065.00,13390.00,12965.00,13330.00,376011.00,180074.00
2016-05-31,13335.00,13375.00,12820.00,12840.00,330544.00,199421.00
2016-06-01,12815.00,12930.00,12465.00,12575.00,396048.00,169620.00
2016-06-02,12625.00,12800.00,12530.00,12590.00,231649.00,148239.00
2016-06-03,12620.00,12740.00,12390.00,12470.00,272082.00,144690.00
2016-06-06,12565.00,12735.00,12465.00,12675.00,231016.00,150996.00
2016-06-07,12780.00,13120.00,12735.00,13005.00,381163.00,148432.00
2016-06-08,12975.00,13025.00,12700.00,12900.00,234633.00,160313.00
2016-06-13,12850.00,13255.00,12830.00,13025.00,201110.00,144229.00
2016-06-14,13015.00,13170.00,12810.00,12845.00,192437.00,153677.00
2016-06-15,12830.00,12925.00,12730.00,12780.00,174433.00,138956.00
2016-06-16,12810.00,13090.00,12720.00,13000.00,232862.00,132476.00
2016-06-17,13015.00,13565.00,12835.00,13480.00,590491.00,138341.00
2016-06-20,13500.00,13590.00,13300.00,13455.00,345754.00,179813.00
2016-06-21,13430.00,13500.00,13000.00,13030.00,296481.00,173957.00
