datetime,open,high,low,close,volume,open_oi
2016-01-05,824.00,830.00,822.00,829.00,91808.00,0.00
2016-01-06,829.00,831.00,820.00,823.00,87979.00,124562.00
2016-01-07,821.00,830.00,821.00,830.00,105508.00,124536.00
2016-01-08,828.00,848.00,827.00,841.00,315699.00,125416.00
2016-01-11,841.00,850.00,833.00,834.00,261774.00,163653.00
2016-01-12,835.00,837.00,825.00,831.00,184039.00,174465.00
2016-01-13,831.00,834.00,828.00,830.00,96930.00,130894.00
2016-01-14,830.00,834.00,823.00,833.00,134949.00,127542.00
2016-01-15,833.00,840.00,832.00,836.00,98369.00,121815.00
2016-01-18,835.00,858.00,834.00,854.00,211285.00,128030.00
2016-01-19,853.00,861.00,850.00,860.00,147668.00,145662.00
2016-01-20,860.00,861.00,852.00,853.00,100546.00,158003.00
2016-01-21,853.00,860.00,851.00,857.00,91696.00,150057.00
2016-01-22,857.00,873.00,856.00,868.00,221281.00,155219.00
2016-01-25,868.00,870.00,851.00,856.00,140433.00,166737.00
2016-01-26,855.00,862.00,853.00,855.00,82280.00,136753.00
2016-01-27,857.00,865.00,855.00,862.00,78557.00,126206.00
2016-01-28,861.00,863.00,853.00,854.00,66058.00,126189.00
2016-01-29,855.00,858.00,846.00,851.00,97543.00,124075.00
2016-02-01,853.00,857.00,846.00,849.00,74064.00,112102.00
2016-02-02,849.00,851.00,842.00,850.00,68330.00,108288.00
2016-02-03,852.00,855.00,847.00,850.00,49682.00,99922.00
2016-02-04,850.00,865.00,849.00,865.00,67150.00,92448.00
2016-02-05,865.00,867.00,857.00,863.00,37244.00,86362.00
2016-02-15,861.00,871.00,859.00,868.00,46049.00,79453.00
2016-02-16,869.00,869.00,862.00,862.00,43568.00,87144.00
2016-02-17,861.00,885.00,860.00,884.00,136938.00,92243.00
2016-02-18,884.00,890.00,881.00,886.00,110256.00,117297.00
2016-02-19,886.00,897.00,883.00,889.00,122446.00,126178.00
2016-02-22,888.00,923.00,888.00,905.00,156472.00,121239.00
2016-02-23,905.00,909.00,892.00,901.00,113235.00,115576.00
2016-02-24,902.00,907.00,895.00,906.00,85064.00,106168.00
2016-02-25,906.00,924.00,903.00,914.00,186790.00,104238.00
2016-02-26,914.00,923.00,904.00,921.00,141614.00,112329.00
2016-02-29,921.00,922.00,907.00,918.00,117327.00,112827.00
2016-03-01,926.00,933.00,915.00,930.00,149222.00,106090.00
2016-03-02,930.00,933.00,924.00,929.00,109912.00,114302.00
2016-03-03,928.00,937.00,921.00,923.00,113751.00,110130.00
2016-03-04,922.00,932.00,921.00,929.00,112392.00,106449.00
2016-03-07,929.00,966.00,928.00,966.00,178266.00,103957.00
2016-03-08,978.00,1019.00,948.00,974.00,807568.00,102467.00
2016-03-09,964.00,984.00,952.00,973.00,238963.00,90781.00
2016-03-10,975.00,996.00,958.00,959.00,224429.00,81520.00
2016-03-11,954.00,970.00,953.00,959.00,105278.00,84533.00
2016-03-14,955.00,985.00,954.00,958.00,161663.00,78918.00
2016-03-15,957.00,962.00,942.00,947.00,158005.00,79385.00
2016-03-16,943.00,953.00,938.00,945.00,104465.00,70817.00
2016-03-17,946.00,958.00,933.00,941.00,184172.00,69638.00
2016-03-18,941.00,968.00,938.00,953.00,284711.00,78143.00
2016-03-21,953.00,960.00,935.00,936.00,210574.00,86276.00
2016-03-22,935.00,941.00,926.00,928.00,169465.00,81790.00
2016-03-23,929.00,946.00,927.00,934.00,127789.00,80470.00
2016-03-24,933.00,939.00,916.00,919.00,167084.00,73712.00
2016-03-25,919.00,927.00,913.00,924.00,103137.00,63230.00
2016-03-28,925.00,929.00,916.00,916.00,66833.00,52835.00
2016-03-29,917.00,925.00,916.00,919.00,50545.00,50994.00
2016-03-30,920.00,933.00,918.00,930.00,74909.00,49474.00
2016-03-31,931.00,933.00,923.00,929.00,45253.00,51748.00
2016-04-01,930.00,939.00,926.00,930.00,65705.00,48362.00
