datetime,open,high,low,close,volume,open_oi
2016-01-05,1720.00,1746.00,1719.00,1743.00,680671.00,0.00
2016-01-06,1741.00,1757.00,1734.00,1740.00,817331.00,263870.00
2016-01-07,1725.00,1747.00,1719.00,1738.00,885954.00,269760.00
2016-01-08,1739.00,1774.00,1722.00,1767.00,1255082.00,278429.00
2016-01-11,1766.00,1769.00,1715.00,1722.00,1082332.00,318876.00
2016-01-12,1723.00,1729.00,1704.00,1711.00,871594.00,281196.00
2016-01-13,1718.00,1732.00,1692.00,1701.00,882892.00,288725.00
2016-01-14,1704.00,1723.00,1694.00,1720.00,767096.00,308539.00
2016-01-15,1719.00,1728.00,1708.00,1712.00,597011.00,288763.00
2016-01-18,1697.00,1751.00,1685.00,1747.00,1031393.00,273768.00
2016-01-19,1750.00,1781.00,1743.00,1776.00,860442.00,272890.00
2016-01-20,1777.00,1779.00,1747.00,1758.00,590723.00,307882.00
2016-01-21,1757.00,1778.00,1749.00,1756.00,744293.00,295286.00
2016-01-22,1756.00,1786.00,1748.00,1754.00,985710.00,302897.00
2016-01-25,1759.00,1767.00,1741.00,1747.00,726774.00,317932.00
2016-01-26,1742.00,1760.00,1733.00,1749.00,656540.00,322337.00
2016-01-27,1756.00,1776.00,1743.00,1773.00,789551.00,296028.00
2016-01-28,1769.00,1773.00,1750.00,1751.00,531895.00,338717.00
2016-01-29,1753.00,1767.00,1743.00,1751.00,575203.00,302055.00
2016-02-01,1751.00,1764.00,1747.00,1751.00,387204.00,303663.00
2016-02-02,1748.00,1758.00,1725.00,1756.00,672825.00,289106.00
2016-02-03,1758.00,1770.00,1744.00,1762.00,470268.00,273940.00
2016-02-04,1764.00,1803.00,1760.00,1795.00,694520.00,266537.00
2016-02-05,1790.00,1799.00,1781.00,1788.00,328660.00,286728.00
2016-02-15,1783.00,1834.00,1779.00,1821.00,420824.00,242386.00
2016-02-16,1825.00,1837.00,1820.00,1827.00,392502.00,284937.00
2016-02-17,1826.00,1842.00,1815.00,1823.00,556546.00,307927.00
2016-02-18,1829.00,1836.00,1819.00,1830.00,425424.00,308759.00
2016-02-19,1831.00,1866.00,1830.00,1855.00,625451.00,322041.00
2016-02-22,1856.00,1896.00,1843.00,1852.00,745726.00,329447.00
2016-02-23,1856.00,1865.00,1841.00,1856.00,501219.00,340641.00
2016-02-24,1858.00,1861.00,1819.00,1820.00,573279.00,327074.00
2016-02-25,1812.00,1832.00,1801.00,1811.00,795611.00,325851.00
2016-02-26,1813.00,1822.00,1767.00,1775.00,823648.00,282854.00
2016-02-29,1777.00,1795.00,1761.00,1775.00,648115.00,290474.00
2016-03-01,1781.00,1824.00,1775.00,1823.00,767350.00,269648.00
2016-03-02,1828.00,1841.00,1802.00,1815.00,779284.00,275318.00
2016-03-03,1812.00,1839.00,1776.00,1782.00,1102395.00,283720.00
2016-03-04,1784.00,1830.00,1775.00,1824.00,1025138.00,335203.00
2016-03-07,1827.00,1890.00,1826.00,1890.00,1144922.00,287158.00
2016-03-08,1897.00,1944.00,1832.00,1888.00,1486396.00,284157.00
2016-03-09,1894.00,1984.00,1861.00,1961.00,2204847.00,220507.00
2016-03-10,1966.00,1987.00,1907.00,1920.00,1281872.00,321219.00
2016-03-11,1919.00,1932.00,1906.00,1917.00,723677.00,247431.00
2016-03-14,1907.00,1947.00,1883.00,1917.00,776328.00,240394.00
2016-03-15,1911.00,1927.00,1900.00,1900.00,503383.00,251758.00
2016-03-16,1897.00,1933.00,1895.00,1926.00,525431.00,242329.00
2016-03-17,1926.00,1960.00,1922.00,1947.00,611886.00,251727.00
2016-03-18,1949.00,2035.00,1945.00,1997.00,920512.00,245102.00
2016-03-21,2006.00,2046.00,1987.00,2028.00,688385.00,249205.00
2016-03-22,2038.00,2075.00,1996.00,2005.00,942120.00,269408.00
2016-03-23,2003.00,2031.00,1981.00,1982.00,546838.00,276767.00
2016-03-24,1980.00,1989.00,1916.00,1927.00,566805.00,263075.00
2016-03-25,1916.00,1949.00,1902.00,1923.00,522978.00,227202.00
2016-03-28,1926.00,1945.00,1895.00,1896.00,458007.00,225443.00
2016-03-29,1890.00,1908.00,1882.00,1885.00,376808.00,213154.00
2016-03-30,1881.00,1906.00,1866.00,1882.00,351169.00,200172.00
2016-03-31,1891.00,1914.00,1864.00,1872.00,377496.00,173151.00
2016-04-01,1878.00,1889.00,1863.00,1879.00,307582.00,172396.00
2016-04-05,1850.00,1866.00,1830.00,1841.00,210092.00,162518.00
2016-04-06,1838.00,1867.00,1835.00,1850.00,189602.00,147046.00
2016-04-07,1905.00,1934.00,1904.00,1910.00,271888.00,141825.00
2016-04-08,1902.00,1909.00,1888.00,1898.00,306133.00,133934.00
2016-04-11,1917.00,1948.00,1855.00,1863.00,915338.00,137925.00
2016-04-12,1871.00,1890.00,1865.00,1884.00,546995.00,234712.00
2016-04-13,1892.00,1971.00,1885.00,1924.00,1057505.00,220252.00
2016-04-14,1928.00,1994.00,1924.00,1980.00,814272.00,202876.00
2016-04-15,1995.00,2002.00,1944.00,1960.00,679090.00,230205.00
2016-04-18,1944.00,1978.00,1925.00,1962.00,558810.00,234029.00
2016-04-19,1961.00,2006.00,1938.00,1963.00,746300.00,228043.00
2016-04-20,1967.00,1995.00,1946.00,1982.00,822452.00,235930.00
2016-04-21,1983.00,2073.00,1962.00,2057.00,1225252.00,239588.00
2016-04-22,2057.00,2065.00,1952.00,1995.00,874861.00,264153.00
2016-04-25,2006.00,2098.00,1982.00,2037.00,1106477.00,193122.00
2016-04-26,2042.00,2072.00,2013.00,2037.00,744060.00,212767.00
2016-04-27,2047.00,2090.00,2030.00,2058.00,927932.00,185065.00
2016-04-28,2067.00,2082.00,2016.00,2028.00,744265.00,204465.00
2016-04-29,2039.00,2061.00,2032.00,2052.00,493622.00,204686.00
2016-05-03,2040.00,2048.00,1990.00,2003.00,337964.00,196575.00
2016-05-04,1991.00,2007.00,1980.00,1994.00,345713.00,196806.00
2016-05-05,2006.00,2016.00,1974.00,1977.00,442732.00,193995.00
2016-05-06,1997.00,2001.00,1930.00,1933.00,521704.00,187233.00
2016-05-09,1929.00,1954.00,1905.00,1913.00,454610.00,203805.00
2016-05-10,1901.00,1946.00,1899.00,1938.00,417796.00,198504.00
2016-05-11,1940.00,1962.00,1936.00,1955.00,378106.00,187912.00
2016-05-12,1961.00,1962.00,1928.00,1948.00,458243.00,186841.00
2016-05-13,1952.00,1960.00,1883.00,1897.00,641640.00,175850.00
2016-05-16,1892.00,1916.00,1874.00,1908.00,443622.00,177153.00
2016-05-17,1914.00,1927.00,1900.00,1924.00,423593.00,174403.00
2016-05-18,1916.00,1937.00,1889.00,1891.00,450150.00,170505.00
2016-05-19,1895.00,1906.00,1837.00,1854.00,618557.00,170927.00
2016-05-20,1848.00,1876.00,1839.00,1863.00,343857.00,211027.00
2016-05-23,1859.00,1866.00,1807.00,1827.00,459884.00,212214.00
2016-05-24,1824.00,1845.00,1811.00,1816.00,338913.00,223736.00
2016-05-25,1830.00,1849.00,1820.00,1847.00,323360.00,227768.00
2016-05-26,1853.00,1898.00,1841.00,1893.00,358989.00,218387.00
2016-05-27,1898.00,1903.00,1861.00,1861.00,353213.00,207393.00
2016-05-30,1850.00,1899.00,1847.00,1897.00,302990.00,199647.00
2016-05-31,1898.00,1917.00,1885.00,1906.00,323338.00,203529.00
2016-06-01,1905.00,1907.00,1866.00,1877.00,322514.00,189131.00
2016-06-02,1875.00,1922.00,1873.00,1918.00,336648.00,201418.00
