datetime,open,high,low,close,volume,open_oi
2016-01-05,1868.00,1885.00,1854.00,1883.00,475461.00,0.00
2016-01-06,1883.00,1886.00,1859.00,1872.00,472782.00,272230.00
2016-01-07,1865.00,1902.00,1864.00,1893.00,577942.00,280541.00
2016-01-08,1893.00,1913.00,1885.00,1909.00,495080.00,280152.00
2016-01-11,1910.00,1918.00,1888.00,1895.00,393669.00,287679.00
2016-01-12,1894.00,1922.00,1885.00,1898.00,690625.00,283812.00
2016-01-13,1897.00,1928.00,1877.00,1886.00,897391.00,293801.00
2016-01-14,1888.00,1915.00,1878.00,1909.00,680285.00,340847.00
2016-01-15,1908.00,1922.00,1903.00,1910.00,583598.00,342069.00
2016-01-18,1902.00,1983.00,1900.00,1974.00,902225.00,332073.00
2016-01-19,1975.00,1976.00,1954.00,1962.00,656234.00,363769.00
2016-01-20,1961.00,1972.00,1944.00,1957.00,599802.00,335937.00
2016-01-21,1955.00,1960.00,1936.00,1944.00,558144.00,340804.00
2016-01-22,1944.00,1973.00,1943.00,1965.00,501687.00,328034.00
2016-01-25,1968.00,1978.00,1950.00,1954.00,438455.00,314838.00
2016-01-26,1955.00,1969.00,1946.00,1959.00,322873.00,298663.00
2016-01-27,1960.00,1968.00,1949.00,1964.00,385972.00,297741.00
2016-01-28,1966.00,1985.00,1956.00,1963.00,612288.00,285987.00
2016-01-29,1963.00,1965.00,1929.00,1932.00,474464.00,288497.00
2016-02-01,1931.00,1961.00,1930.00,1952.00,332666.00,271772.00
2016-02-02,1946.00,1963.00,1942.00,1962.00,260108.00,258149.00
2016-02-03,1958.00,1966.00,1951.00,1958.00,200462.00,257416.00
2016-02-04,1958.00,1960.00,1940.00,1945.00,235670.00,240236.00
2016-02-05,1945.00,1948.00,1912.00,1921.00,214356.00,217754.00
2016-02-15,1906.00,1925.00,1892.00,1893.00,182315.00,194755.00
2016-02-16,1894.00,1923.00,1893.00,1913.00,362459.00,208732.00
2016-02-17,1915.00,1927.00,1897.00,1900.00,369577.00,240210.00
2016-02-18,1902.00,1913.00,1895.00,1904.00,325375.00,237682.00
2016-02-19,1903.00,1911.00,1880.00,1897.00,468656.00,240298.00
2016-02-22,1895.00,1932.00,1891.00,1929.00,447732.00,249890.00
2016-02-23,1931.00,1940.00,1914.00,1918.00,383087.00,259750.00
2016-02-24,1920.00,1927.00,1882.00,1884.00,450636.00,253019.00
2016-02-25,1885.00,1891.00,1873.00,1880.00,453180.00,258069.00
2016-02-26,1885.00,1893.00,1861.00,1870.00,399589.00,286578.00
2016-02-29,1872.00,1884.00,1824.00,1836.00,556471.00,288255.00
2016-03-01,1838.00,1851.00,1829.00,1848.00,418600.00,301231.00
2016-03-02,1852.00,1874.00,1848.00,1859.00,488999.00,290470.00
2016-03-03,1860.00,1892.00,1855.00,1887.00,507988.00,273201.00
2016-03-04,1884.00,1912.00,1882.00,1909.00,496570.00,255934.00
2016-03-07,1917.00,1974.00,1912.00,1965.00,876621.00,246187.00
2016-03-08,1964.00,1998.00,1918.00,1927.00,711653.00,235230.00
2016-03-09,1929.00,1947.00,1910.00,1930.00,388464.00,215562.00
2016-03-10,1936.00,1951.00,1896.00,1897.00,485608.00,212942.00
2016-03-11,1899.00,1925.00,1878.00,1915.00,378634.00,201502.00
2016-03-14,1919.00,1936.00,1913.00,1915.00,330828.00,197772.00
2016-03-15,1913.00,1918.00,1884.00,1887.00,370330.00,186516.00
2016-03-16,1884.00,1893.00,1870.00,1873.00,282072.00,180744.00
