datetime,open,high,low,close,volume,open_oi
2019-12-06,1585.00,1585.00,1546.00,1561.00,159015.00,0.00
2019-12-09,1566.00,1591.00,1556.00,1572.00,83739.00,19461.00
2019-12-10,1574.00,1634.00,1570.00,1634.00,110836.00,15784.00
2019-12-11,1653.00,1674.00,1637.00,1649.00,229577.00,34088.00
2019-12-12,1648.00,1654.00,1625.00,1630.00,122811.00,33010.00
2019-12-13,1632.00,1639.00,1623.00,1630.00,66160.00,35024.00
2019-12-16,1632.00,1659.00,1626.00,1632.00,138825.00,34693.00
2019-12-17,1628.00,1636.00,1578.00,1623.00,111870.00,38749.00
2019-12-18,1625.00,1650.00,1622.00,1628.00,97596.00,35298.00
2019-12-19,1628.00,1641.00,1623.00,1626.00,65476.00,35900.00
2019-12-20,1626.00,1630.00,1611.00,1611.00,67218.00,37415.00
2019-12-23,1608.00,1616.00,1596.00,1601.00,56529.00,42062.00
2019-12-24,1601.00,1614.00,1600.00,1604.00,31042.00,41684.00
2019-12-25,1605.00,1610.00,1599.00,1603.00,28939.00,41534.00
2019-12-26,1603.00,1617.00,1602.00,1609.00,27865.00,44016.00
2019-12-27,1611.00,1629.00,1607.00,1608.00,51132.00,42882.00
2019-12-30,1611.00,1636.00,1608.00,1633.00,39558.00,43038.00
2019-12-31,1634.00,1643.00,1629.00,1633.00,39573.00,40143.00
2020-01-02,1636.00,1641.00,1618.00,1625.00,26179.00,36698.00
2020-01-03,1625.00,1634.00,1620.00,1629.00,23178.00,34862.00
2020-01-06,1630.00,1646.00,1628.00,1638.00,40966.00,33974.00
2020-01-07,1638.00,1640.00,1624.00,1627.00,19256.00,33327.00
2020-01-08,1626.00,1638.00,1624.00,1630.00,19972.00,32570.00
2020-01-09,1631.00,1635.00,1621.00,1632.00,27286.00,32306.00
2020-01-10,1634.00,1675.00,1633.00,1658.00,173405.00,29476.00
2020-01-13,1659.00,1661.00,1646.00,1653.00,30481.00,39616.00
2020-01-14,1656.00,1660.00,1648.00,1653.00,23832.00,37522.00
2020-01-15,1654.00,1691.00,1652.00,1665.00,129730.00,36145.00
2020-01-16,1668.00,1679.00,1665.00,1668.00,34266.00,39110.00
2020-01-17,1674.00,1684.00,1667.00,1677.00,40310.00,36492.00
2020-01-20,1676.00,1680.00,1658.00,1667.00,31571.00,37576.00
2020-01-21,1668.00,1674.00,1655.00,1655.00,17726.00,33031.00
2020-01-22,1642.00,1657.00,1631.00,1642.00,33941.00,32381.00
