datetime,open,high,low,close,volume,open_oi
2016-01-05,5607.00,5621.00,5579.00,5599.00,513246.00,0.00
2016-01-06,5593.00,5600.00,5530.00,5545.00,677626.00,489626.00
2016-01-07,5539.00,5573.00,5492.00,5530.00,720487.00,471402.00
2016-01-08,5549.00,5578.00,5526.00,5559.00,560286.00,455284.00
2016-01-11,5573.00,5576.00,5465.00,5470.00,762531.00,464013.00
2016-01-12,5463.00,5480.00,5444.00,5451.00,562116.00,475425.00
2016-01-13,5456.00,5488.00,5416.00,5465.00,773516.00,470257.00
2016-01-14,5477.00,5480.00,5429.00,5456.00,613621.00,465350.00
2016-01-15,5451.00,5476.00,5420.00,5421.00,655375.00,474385.00
2016-01-18,5411.00,5496.00,5409.00,5481.00,734474.00,490730.00
2016-01-19,5481.00,5535.00,5462.00,5519.00,637706.00,463654.00
2016-01-20,5516.00,5535.00,5465.00,5471.00,562926.00,476007.00
2016-01-21,5472.00,5487.00,5431.00,5441.00,652397.00,468108.00
2016-01-22,5449.00,5508.00,5445.00,5474.00,606952.00,465995.00
2016-01-25,5487.00,5507.00,5431.00,5435.00,600492.00,446984.00
2016-01-26,5425.00,5454.00,5416.00,5444.00,580567.00,483550.00
2016-01-27,5452.00,5473.00,5384.00,5462.00,1016069.00,482944.00
2016-01-28,5457.00,5460.00,5422.00,5431.00,590962.00,441664.00
2016-01-29,5427.00,5448.00,5382.00,5387.00,680325.00,442509.00
2016-02-01,5393.00,5409.00,5356.00,5370.00,588661.00,463577.00
2016-02-02,5371.00,5386.00,5356.00,5384.00,456385.00,472423.00
2016-02-03,5392.00,5408.00,5371.00,5387.00,467070.00,462157.00
2016-02-04,5393.00,5430.00,5363.00,5411.00,442417.00,439494.00
2016-02-05,5413.00,5433.00,5392.00,5433.00,228408.00,390444.00
2016-02-15,5416.00,5460.00,5393.00,5399.00,202499.00,365949.00
2016-02-16,5398.00,5416.00,5346.00,5353.00,581689.00,373080.00
2016-02-17,5358.00,5361.00,5306.00,5311.00,578864.00,438572.00
2016-02-18,5313.00,5342.00,5306.00,5310.00,373952.00,463066.00
2016-02-19,5316.00,5359.00,5297.00,5354.00,549190.00,452320.00
2016-02-22,5345.00,5365.00,5318.00,5346.00,465418.00,413351.00
2016-02-23,5351.00,5393.00,5340.00,5385.00,491337.00,408522.00
2016-02-24,5406.00,5452.00,5399.00,5434.00,699230.00,387837.00
2016-02-25,5425.00,5442.00,5408.00,5411.00,359283.00,368884.00
2016-02-26,5412.00,5443.00,5409.00,5420.00,408302.00,354067.00
2016-02-29,5426.00,5438.00,5320.00,5338.00,688379.00,356568.00
2016-03-01,5347.00,5359.00,5312.00,5348.00,534487.00,330120.00
2016-03-02,5349.00,5396.00,5321.00,5364.00,560618.00,316561.00
2016-03-03,5354.00,5397.00,5342.00,5347.00,445640.00,301955.00
2016-03-04,5351.00,5403.00,5345.00,5376.00,514571.00,312868.00
2016-03-07,5383.00,5470.00,5337.00,5340.00,697943.00,292275.00
2016-03-08,5347.00,5372.00,5309.00,5318.00,682459.00,299840.00
2016-03-09,5320.00,5379.00,5284.00,5370.00,467980.00,288287.00
2016-03-10,5483.00,5493.00,5409.00,5420.00,500253.00,253383.00
2016-03-11,5425.00,5481.00,5418.00,5475.00,416584.00,487550.00
2016-03-14,5486.00,5511.00,5440.00,5473.00,649217.00,487329.00
2016-03-15,5480.00,5506.00,5451.00,5477.00,532581.00,501459.00
2016-03-16,5468.00,5494.00,5462.00,5490.00,359690.00,499666.00
2016-03-17,5491.00,5542.00,5481.00,5538.00,574451.00,500155.00
2016-03-18,5544.00,5591.00,5535.00,5564.00,618775.00,542411.00
2016-03-21,5560.00,5606.00,5536.00,5592.00,469316.00,513129.00
2016-03-22,5596.00,5628.00,5578.00,5618.00,473253.00,536747.00
2016-03-23,5618.00,5645.00,5583.00,5588.00,427881.00,541806.00
2016-03-24,5588.00,5608.00,5556.00,5579.00,439151.00,530963.00
2016-03-25,5543.00,5608.00,5540.00,5605.00,389372.00,518228.00
2016-03-28,5611.00,5625.00,5583.00,5586.00,357732.00,533626.00
2016-03-29,5593.00,5621.00,5551.00,5557.00,429360.00,527364.00
2016-03-30,5554.00,5586.00,5548.00,5577.00,251437.00,512740.00
2016-03-31,5589.00,5590.00,5553.00,5575.00,282208.00,512458.00
2016-04-01,5573.00,5623.00,5561.00,5610.00,445547.00,496947.00
2016-04-05,5583.00,5645.00,5576.00,5641.00,323371.00,522950.00
2016-04-06,5631.00,5638.00,5596.00,5607.00,311083.00,560556.00
2016-04-07,5605.00,5629.00,5602.00,5623.00,266413.00,543404.00
2016-04-08,5612.00,5623.00,5556.00,5571.00,393226.00,550665.00
2016-04-11,5569.00,5601.00,5561.00,5561.00,362441.00,546557.00
2016-04-12,5554.00,5584.00,5546.00,5561.00,301331.00,545913.00
2016-04-13,5563.00,5627.00,5562.00,5575.00,624040.00,536178.00
2016-04-14,5574.00,5624.00,5563.00,5621.00,430544.00,553501.00
2016-04-15,5627.00,5674.00,5575.00,5615.00,680163.00,560175.00
2016-04-18,5627.00,5725.00,5609.00,5691.00,890148.00,559803.00
2016-04-19,5695.00,5720.00,5659.00,5676.00,615138.00,612560.00
2016-04-20,5678.00,5710.00,5656.00,5695.00,817302.00,599083.00
2016-04-21,5703.00,5775.00,5683.00,5716.00,1203302.00,579105.00
2016-04-22,5723.00,5743.00,5497.00,5573.00,1002001.00,561855.00
2016-04-25,5592.00,5646.00,5573.00,5592.00,476579.00,503051.00
2016-04-26,5603.00,5631.00,5589.00,5622.00,363712.00,492958.00
2016-04-27,5624.00,5632.00,5604.00,5615.00,281219.00,475218.00
2016-04-28,5613.00,5619.00,5522.00,5527.00,420419.00,474874.00
2016-04-29,5534.00,5552.00,5491.00,5503.00,430691.00,473408.00
2016-05-03,5527.00,5581.00,5517.00,5567.00,251183.00,454086.00
2016-05-04,5569.00,5647.00,5555.00,5637.00,580391.00,435608.00
2016-05-05,5641.00,5655.00,5622.00,5644.00,383130.00,421725.00
2016-05-06,5660.00,5667.00,5556.00,5588.00,473866.00,413545.00
2016-05-09,5595.00,5607.00,5542.00,5561.00,358852.00,396475.00
2016-05-10,5561.00,5593.00,5535.00,5584.00,452145.00,394750.00
2016-05-11,5592.00,5595.00,5549.00,5576.00,441064.00,394614.00
2016-05-12,5615.00,5665.00,5579.00,5629.00,614530.00,396595.00
2016-05-13,5618.00,5631.00,5559.00,5583.00,437658.00,407183.00
2016-05-16,5579.00,5603.00,5568.00,5582.00,347501.00,389113.00
2016-05-17,5577.00,5599.00,5561.00,5569.00,304453.00,391155.00
2016-05-18,5558.00,5576.00,5500.00,5505.00,703801.00,391699.00
2016-05-19,5499.00,5538.00,5484.00,5493.00,330589.00,426898.00
2016-05-20,5507.00,5521.00,5475.00,5475.00,356146.00,420648.00
2016-05-23,5495.00,5536.00,5464.00,5530.00,559983.00,445802.00
2016-05-24,5513.00,5525.00,5491.00,5497.00,255112.00,436226.00
2016-05-25,5495.00,5508.00,5432.00,5471.00,502524.00,429346.00
2016-05-26,5466.00,5522.00,5460.00,5518.00,291689.00,436680.00
2016-05-27,5531.00,5550.00,5502.00,5519.00,239998.00,407354.00
2016-05-30,5514.00,5560.00,5503.00,5557.00,277951.00,393841.00
2016-05-31,5555.00,5583.00,5533.00,5573.00,293933.00,394753.00
2016-06-01,5571.00,5579.00,5500.00,5515.00,257186.00,395954.00
2016-06-02,5512.00,5531.00,5507.00,5520.00,151543.00,392332.00
2016-06-03,5547.00,5683.00,5532.00,5676.00,621918.00,384637.00
2016-06-06,5678.00,5732.00,5622.00,5724.00,574110.00,414532.00
2016-06-07,5718.00,5720.00,5652.00,5659.00,382773.00,422526.00
2016-06-08,5686.00,5696.00,5659.00,5666.00,253768.00,401467.00
2016-06-13,5715.00,5808.00,5688.00,5759.00,387568.00,389929.00
2016-06-14,5758.00,5783.00,5730.00,5742.00,283127.00,397775.00
2016-06-15,5724.00,5741.00,5663.00,5709.00,345877.00,398173.00
2016-06-16,5726.00,5800.00,5700.00,5732.00,567885.00,392783.00
2016-06-17,5741.00,5784.00,5692.00,5781.00,443520.00,401373.00
2016-06-20,5791.00,5864.00,5766.00,5833.00,708021.00,411816.00
2016-06-21,5825.00,5859.00,5801.00,5811.00,344736.00,428980.00
2016-06-22,5772.00,5799.00,5757.00,5793.00,290641.00,422419.00
2016-06-23,5788.00,5814.00,5762.00,5766.00,306245.00,409327.00
2016-06-24,5779.00,5787.00,5701.00,5705.00,387738.00,401668.00
2016-06-27,5702.00,5815.00,5700.00,5781.00,287115.00,379511.00
2016-06-28,5776.00,5868.00,5775.00,5833.00,352315.00,376130.00
2016-06-29,5854.00,5880.00,5819.00,5841.00,331736.00,378372.00
2016-06-30,5887.00,6090.00,5883.00,6090.00,785904.00,369710.00
2016-07-01,6061.00,6095.00,5953.00,5984.00,692276.00,406479.00
2016-07-04,6014.00,6170.00,6005.00,6074.00,769739.00,358151.00
2016-07-05,6050.00,6088.00,5888.00,5978.00,462076.00,385258.00
2016-07-06,6005.00,6064.00,5902.00,5971.00,584567.00,352810.00
2016-07-07,5886.00,5961.00,5881.00,5885.00,352485.00,336884.00
2016-07-08,5908.00,5916.00,5757.00,5784.00,469946.00,330304.00
2016-07-11,5793.00,5848.00,5755.00,5821.00,307023.00,317586.00
2016-07-12,5938.00,5956.00,5833.00,5924.00,383083.00,311039.00
2016-07-13,5877.00,5940.00,5847.00,5907.00,369122.00,284661.00
2016-07-14,5943.00,5968.00,5819.00,5878.00,309339.00,286117.00
2016-07-15,5943.00,5948.00,5860.00,5897.00,284530.00,278917.00
2016-07-18,5879.00,5887.00,5811.00,5850.00,243580.00,278293.00
2016-07-19,5845.00,5915.00,5836.00,5902.00,317381.00,276695.00
2016-07-20,5887.00,5909.00,5832.00,5860.00,241825.00,274604.00
2016-07-21,5842.00,5878.00,5818.00,5867.00,173590.00,260672.00
2016-07-22,5895.00,5916.00,5806.00,5815.00,267202.00,253552.00
2016-07-25,5816.00,5853.00,5789.00,5834.00,160500.00,248999.00
2016-07-26,5859.00,5882.00,5807.00,5841.00,176625.00,235805.00
2016-07-27,6172.00,6218.00,6162.00,6190.00,223086.00,229779.00
2016-07-28,6161.00,6202.00,6121.00,6124.00,281032.00,303783.00
2016-07-29,6133.00,6157.00,6090.00,6105.00,307906.00,314552.00
2016-08-01,6125.00,6187.00,6124.00,6157.00,247535.00,311025.00
2016-08-02,6146.00,6192.00,6127.00,6134.00,224730.00,306776.00
2016-08-03,6164.00,6176.00,6130.00,6136.00,222581.00,310482.00
2016-08-04,6131.00,6163.00,6049.00,6070.00,407306.00,308932.00
2016-08-05,6075.00,6131.00,6061.00,6103.00,267338.00,332890.00
2016-08-08,6106.00,6177.00,6100.00,6151.00,289170.00,335711.00
2016-08-09,6181.00,6191.00,6140.00,6152.00,190211.00,335114.00
2016-08-10,6157.00,6176.00,6089.00,6116.00,292541.00,330340.00
2016-08-11,6121.00,6131.00,6045.00,6064.00,270396.00,330453.00
2016-08-12,6071.00,6081.00,6056.00,6065.00,134721.00,344056.00
2016-08-15,6077.00,6127.00,6070.00,6106.00,214649.00,342547.00
2016-08-16,6107.00,6145.00,6095.00,6121.00,189945.00,329999.00
2016-08-17,6133.00,6183.00,6124.00,6162.00,240153.00,332976.00
2016-08-18,6126.00,6157.00,6107.00,6149.00,200794.00,328881.00
2016-08-19,6157.00,6248.00,6150.00,6238.00,361147.00,323648.00
2016-08-22,6211.00,6271.00,6206.00,6242.00,284674.00,349632.00
2016-08-23,6253.00,6298.00,6246.00,6292.00,286732.00,355836.00
2016-08-24,6279.00,6292.00,6254.00,6276.00,219468.00,375470.00
2016-08-25,6276.00,6278.00,6186.00,6230.00,325114.00,367084.00
2016-08-26,6253.00,6257.00,6202.00,6233.00,187771.00,330603.00
2016-08-29,6229.00,6255.00,6190.00,6242.00,233664.00,335509.00
2016-08-30,6237.00,6287.00,6233.00,6261.00,278581.00,351584.00
2016-08-31,6245.00,6263.00,6200.00,6230.00,229097.00,361966.00
2016-09-01,6197.00,6246.00,6191.00,6204.00,355164.00,348953.00
2016-09-02,6199.00,6211.00,6142.00,6181.00,409184.00,360700.00
2016-09-05,6236.00,6268.00,6224.00,6252.00,264340.00,358172.00
2016-09-06,6246.00,6261.00,6232.00,6242.00,120330.00,351406.00
2016-09-07,6207.00,6265.00,6202.00,6251.00,207500.00,348200.00
2016-09-08,6277.00,6280.00,6215.00,6227.00,183402.00,362459.00
2016-09-09,6222.00,6240.00,6213.00,6231.00,142432.00,354030.00
2016-09-12,6222.00,6250.00,6203.00,6230.00,291188.00,353600.00
2016-09-13,6225.00,6336.00,6214.00,6320.00,458460.00,356651.00
2016-09-14,6328.00,6330.00,6293.00,6323.00,205646.00,392510.00
2016-09-19,6479.00,6480.00,6414.00,6437.00,210355.00,381221.00
2016-09-20,6456.00,6464.00,6418.00,6432.00,229353.00,386160.00
2016-09-21,6433.00,6488.00,6405.00,6412.00,370964.00,384414.00
2016-09-22,6419.00,6528.00,6394.00,6473.00,475702.00,388170.00
2016-09-23,6512.00,6523.00,6463.00,6499.00,287689.00,408224.00
2016-09-26,6518.00,6625.00,6491.00,6610.00,378947.00,421406.00
2016-09-27,6612.00,6695.00,6610.00,6673.00,495152.00,451764.00
2016-09-28,6656.00,6721.00,6638.00,6710.00,364325.00,463719.00
2016-09-29,6704.00,6765.00,6676.00,6698.00,427806.00,464422.00
2016-09-30,6698.00,6723.00,6657.00,6716.00,280572.00,435765.00
2016-10-10,6713.00,6732.00,6668.00,6730.00,209008.00,419044.00
2016-10-11,6723.00,6730.00,6622.00,6658.00,405892.00,426040.00
2016-10-12,6651.00,6714.00,6638.00,6693.00,303583.00,424887.00
2016-10-13,6682.00,6767.00,6666.00,6735.00,400778.00,439793.00
2016-10-14,6727.00,6749.00,6709.00,6740.00,241848.00,461503.00
2016-10-17,6731.00,6814.00,6697.00,6786.00,372889.00,459240.00
2016-10-18,6776.00,6804.00,6747.00,6796.00,242038.00,465269.00
2016-10-19,6778.00,6797.00,6702.00,6725.00,372758.00,460214.00
2016-10-20,6727.00,6747.00,6701.00,6715.00,213250.00,422879.00
2016-10-21,6688.00,6724.00,6675.00,6714.00,281840.00,421123.00
2016-10-24,6718.00,6906.00,6710.00,6877.00,516084.00,408711.00
2016-10-25,6891.00,6905.00,6859.00,6900.00,294054.00,445836.00
2016-10-26,6895.00,6931.00,6828.00,6890.00,373124.00,418909.00
2016-10-27,6886.00,6910.00,6851.00,6858.00,254254.00,401423.00
2016-10-28,6866.00,6886.00,6786.00,6819.00,403425.00,396654.00
2016-10-31,6799.00,6823.00,6750.00,6760.00,302125.00,365709.00
2016-11-01,6741.00,6758.00,6692.00,6747.00,299324.00,356566.00
2016-11-02,6742.00,6776.00,6702.00,6746.00,291695.00,338150.00
2016-11-03,6750.00,6854.00,6733.00,6825.00,360396.00,332733.00
2016-11-04,6816.00,6853.00,6740.00,6744.00,246184.00,338634.00
2016-11-07,6768.00,6796.00,6743.00,6774.00,227140.00,322241.00
2016-11-08,6794.00,6888.00,6780.00,6795.00,394272.00,315518.00
2016-11-09,6784.00,6828.00,6760.00,6775.00,290578.00,301092.00
2016-11-10,6788.00,6848.00,6775.00,6816.00,338151.00,298755.00
2016-11-11,6794.00,6940.00,6782.00,6823.00,508503.00,305756.00
2016-11-14,6821.00,6858.00,6728.00,6829.00,433908.00,310562.00
2016-11-15,6833.00,6907.00,6813.00,6852.00,469298.00,282942.00
2016-11-16,6872.00,6875.00,6785.00,6818.00,264867.00,263957.00
2016-11-17,6791.00,6800.00,6748.00,6779.00,271446.00,250589.00
2016-11-18,6781.00,6804.00,6751.00,6797.00,216190.00,252572.00
2016-11-21,6827.00,6876.00,6766.00,6841.00,282641.00,247187.00
2016-11-22,6850.00,6892.00,6819.00,6865.00,265959.00,248261.00
