datetime,open,high,low,close,volume,open_oi
2016-01-05,4444.00,4498.00,4436.00,4488.00,590574.00,0.00
2016-01-06,4480.00,4504.00,4444.00,4468.00,432376.00,438705.00
2016-01-07,4430.00,4460.00,4410.00,4424.00,473922.00,415917.00
2016-01-08,4422.00,4440.00,4388.00,4428.00,497215.00,403970.00
2016-01-11,4426.00,4444.00,4378.00,4382.00,425059.00,425879.00
2016-01-12,4388.00,4406.00,4240.00,4248.00,791624.00,447204.00
2016-01-13,4270.00,4302.00,4240.00,4254.00,592155.00,499871.00
2016-01-14,4266.00,4280.00,4220.00,4262.00,565614.00,525188.00
2016-01-15,4264.00,4298.00,4244.00,4254.00,489666.00,519369.00
2016-01-18,4206.00,4268.00,4200.00,4250.00,726496.00,522405.00
2016-01-19,4258.00,4346.00,4240.00,4328.00,890468.00,589192.00
2016-01-20,4326.00,4336.00,4258.00,4264.00,710756.00,601734.00
2016-01-21,4268.00,4314.00,4260.00,4284.00,708596.00,649901.00
2016-01-22,4286.00,4362.00,4284.00,4346.00,880240.00,639736.00
2016-01-25,4366.00,4376.00,4330.00,4344.00,581866.00,615770.00
2016-01-26,4326.00,4338.00,4298.00,4318.00,442018.00,571879.00
2016-01-27,4336.00,4354.00,4322.00,4348.00,460611.00,563803.00
2016-01-28,4348.00,4360.00,4316.00,4316.00,409214.00,550093.00
2016-01-29,4330.00,4380.00,4324.00,4368.00,785897.00,528997.00
2016-02-01,4370.00,4392.00,4342.00,4342.00,417316.00,498389.00
2016-02-02,4334.00,4356.00,4320.00,4342.00,376596.00,475082.00
2016-02-03,4344.00,4352.00,4302.00,4326.00,428290.00,475765.00
2016-02-04,4330.00,4404.00,4322.00,4398.00,476841.00,454924.00
2016-02-05,4386.00,4420.00,4372.00,4408.00,308324.00,416600.00
2016-02-15,4392.00,4440.00,4382.00,4438.00,258987.00,376117.00
2016-02-16,4454.00,4458.00,4418.00,4434.00,324117.00,403245.00
2016-02-17,4428.00,4430.00,4400.00,4402.00,338975.00,431384.00
2016-02-18,4422.00,4450.00,4414.00,4424.00,339302.00,423409.00
2016-02-19,4426.00,4466.00,4408.00,4448.00,423630.00,438658.00
2016-02-22,4444.00,4482.00,4430.00,4448.00,533617.00,449051.00
2016-02-23,4460.00,4486.00,4430.00,4438.00,425720.00,454059.00
2016-02-24,4446.00,4454.00,4410.00,4426.00,320850.00,439878.00
2016-02-25,4410.00,4460.00,4406.00,4428.00,411987.00,447563.00
2016-02-26,4430.00,4436.00,4332.00,4362.00,517706.00,440762.00
2016-02-29,4374.00,4420.00,4360.00,4386.00,474739.00,420346.00
2016-03-01,4400.00,4564.00,4394.00,4564.00,1062063.00,410158.00
2016-03-02,4578.00,4586.00,4518.00,4552.00,755774.00,554597.00
2016-03-03,4548.00,4626.00,4538.00,4572.00,808626.00,513072.00
2016-03-04,4574.00,4644.00,4562.00,4620.00,855324.00,564016.00
2016-03-07,4626.00,4790.00,4622.00,4758.00,984484.00,547735.00
2016-03-08,4780.00,4808.00,4652.00,4704.00,846529.00,494672.00
2016-03-09,4732.00,4744.00,4588.00,4668.00,672215.00,468256.00
2016-03-10,4686.00,4714.00,4602.00,4608.00,603174.00,460900.00
2016-03-11,4614.00,4648.00,4606.00,4628.00,400205.00,456990.00
2016-03-14,4638.00,4686.00,4592.00,4592.00,484869.00,470846.00
2016-03-15,4570.00,4600.00,4556.00,4566.00,349648.00,475802.00
2016-03-16,4532.00,4614.00,4526.00,4584.00,490886.00,479540.00
2016-03-17,4586.00,4662.00,4578.00,4642.00,410941.00,489518.00
2016-03-18,4642.00,4760.00,4636.00,4710.00,646201.00,485623.00
2016-03-21,4722.00,4736.00,4662.00,4664.00,355992.00,463670.00
2016-03-22,4680.00,4728.00,4656.00,4692.00,382683.00,454194.00
2016-03-23,4686.00,4734.00,4656.00,4664.00,362750.00,445164.00
2016-03-24,4656.00,4660.00,4520.00,4522.00,414998.00,435727.00
2016-03-25,4516.00,4606.00,4504.00,4598.00,252119.00,412832.00
2016-03-28,4622.00,4690.00,4600.00,4656.00,312475.00,379210.00
2016-03-29,4810.00,4844.00,4782.00,4820.00,448895.00,336836.00
2016-03-30,4800.00,4818.00,4750.00,4768.00,479544.00,346216.00
2016-03-31,4786.00,4864.00,4782.00,4854.00,745461.00,365846.00
2016-04-01,4878.00,4944.00,4834.00,4896.00,1238417.00,411385.00
2016-04-05,4816.00,4836.00,4736.00,4768.00,692751.00,558032.00
2016-04-06,4744.00,4788.00,4730.00,4762.00,460012.00,507513.00
2016-04-07,4752.00,4806.00,4742.00,4746.00,445421.00,476864.00
2016-04-08,4704.00,4726.00,4662.00,4710.00,577840.00,490490.00
2016-04-11,4754.00,4800.00,4732.00,4754.00,730154.00,496170.00
2016-04-12,4774.00,4796.00,4712.00,4750.00,590242.00,476234.00
2016-04-13,4762.00,4882.00,4752.00,4816.00,1263239.00,481447.00
2016-04-14,4820.00,4932.00,4798.00,4924.00,1033907.00,515427.00
2016-04-15,4958.00,4990.00,4818.00,4822.00,1385892.00,680354.00
