datetime,open,high,low,close,volume,open_oi
2019-08-09,1748.00,1788.00,1702.00,1702.00,329700.00,0.00
2019-08-12,1693.00,1726.00,1679.00,1716.00,273286.00,39409.00
2019-08-13,1709.00,1767.00,1702.00,1767.00,323053.00,46940.00
2019-08-14,1773.00,1783.00,1716.00,1732.00,290445.00,65184.00
2019-08-15,1735.00,1753.00,1724.00,1738.00,179507.00,45871.00
2019-08-16,1741.00,1754.00,1732.00,1739.00,77779.00,45735.00
2019-08-19,1744.00,1750.00,1730.00,1741.00,57448.00,42512.00
2019-08-20,1740.00,1749.00,1736.00,1741.00,28274.00,41096.00
2019-08-21,1737.00,1738.00,1706.00,1718.00,93364.00,37785.00
2019-08-22,1721.00,1730.00,1718.00,1723.00,30033.00,36178.00
2019-08-23,1724.00,1727.00,1714.00,1720.00,19843.00,33404.00
2019-08-26,1715.00,1748.00,1712.00,1736.00,42046.00,33065.00
2019-08-27,1735.00,1758.00,1731.00,1738.00,59580.00,31630.00
2019-08-28,1743.00,1758.00,1738.00,1750.00,31912.00,32270.00
2019-08-29,1753.00,1815.00,1749.00,1786.00,230619.00,32717.00
2019-08-30,1796.00,1804.00,1781.00,1789.00,82202.00,44468.00
2019-09-02,1794.00,1826.00,1781.00,1796.00,74814.00,44023.00
2019-09-03,1796.00,1806.00,1785.00,1791.00,46397.00,47215.00
2019-09-04,1798.00,1843.00,1793.00,1813.00,151475.00,46027.00
2019-09-05,1814.00,1830.00,1807.00,1812.00,63608.00,48988.00
2019-09-06,1815.00,1827.00,1810.00,1820.00,44717.00,46435.00
2019-09-09,1834.00,1840.00,1817.00,1823.00,43276.00,46709.00
2019-09-10,1827.00,1835.00,1803.00,1811.00,56929.00,48312.00
2019-09-11,1812.00,1820.00,1808.00,1817.00,25368.00,45696.00
2019-09-12,1819.00,1822.00,1811.00,1815.00,18217.00,43411.00
2019-09-16,1823.00,1825.00,1775.00,1790.00,46656.00,41762.00
2019-09-17,1791.00,1796.00,1778.00,1781.00,30147.00,37988.00
2019-09-18,1781.00,1786.00,1764.00,1785.00,34551.00,35075.00
2019-09-19,1783.00,1794.00,1774.00,1778.00,30474.00,32800.00
2019-09-20,1780.00,1780.00,1752.00,1760.00,43493.00,34152.00
2019-09-23,1764.00,1769.00,1756.00,1763.00,23177.00,35640.00
2019-09-24,1765.00,1776.00,1759.00,1772.00,25419.00,37239.00
2019-09-25,1772.00,1775.00,1754.00,1756.00,21751.00,34936.00
2019-09-26,1758.00,1765.00,1744.00,1758.00,19875.00,37050.00
2019-09-27,1751.00,1757.00,1747.00,1749.00,11222.00,35309.00
2019-09-30,1753.00,1764.00,1749.00,1755.00,11882.00,32891.00
2019-10-08,1751.00,1764.00,1728.00,1753.00,19203.00,31945.00
2019-10-09,1756.00,1773.00,1752.00,1769.00,27604.00,32700.00
2019-10-10,1768.00,1779.00,1756.00,1758.00,17769.00,36901.00
2019-10-11,1760.00,1763.00,1748.00,1752.00,13233.00,37194.00
2019-10-14,1750.00,1753.00,1734.00,1739.00,15454.00,37534.00
2019-10-15,1731.00,1738.00,1730.00,1737.00,10433.00,40565.00
2019-10-16,1738.00,1742.00,1730.00,1730.00,10951.00,41900.00
2019-10-17,1725.00,1728.00,1711.00,1715.00,21331.00,42348.00
2019-10-18,1715.00,1725.00,1711.00,1714.00,11679.00,44757.00
2019-10-21,1714.00,1715.00,1699.00,1700.00,17486.00,45251.00
