datetime,open,high,low,close,volume,open_oi
2016-01-05,3306.00,3330.00,3294.00,3313.00,287111.00,0.00
2016-01-06,3314.00,3321.00,3296.00,3314.00,204526.00,240171.00
2016-01-07,3322.00,3385.00,3308.00,3357.00,488186.00,249852.00
2016-01-08,3367.00,3390.00,3345.00,3356.00,379737.00,264263.00
2016-01-11,3345.00,3362.00,3322.00,3349.00,283036.00,245872.00
2016-01-12,3345.00,3350.00,3280.00,3288.00,246364.00,245738.00
2016-01-13,3280.00,3288.00,3262.00,3274.00,165204.00,245787.00
2016-01-14,3271.00,3325.00,3270.00,3312.00,321500.00,244719.00
2016-01-15,3292.00,3309.00,3284.00,3294.00,208251.00,238771.00
2016-01-18,3302.00,3323.00,3296.00,3301.00,267281.00,237309.00
2016-01-19,3304.00,3321.00,3299.00,3317.00,147866.00,237307.00
2016-01-20,3316.00,3334.00,3311.00,3315.00,217194.00,244318.00
2016-01-21,3338.00,3340.00,3322.00,3331.00,199683.00,237287.00
2016-01-22,3320.00,3330.00,3301.00,3323.00,229414.00,235640.00
2016-01-25,3325.00,3354.00,3314.00,3323.00,292939.00,240761.00
2016-01-26,3330.00,3361.00,3326.00,3360.00,259463.00,235884.00
2016-01-27,3355.00,3378.00,3346.00,3365.00,272066.00,253152.00
2016-01-28,3363.00,3374.00,3347.00,3352.00,179024.00,249098.00
2016-01-29,3349.00,3357.00,3329.00,3333.00,196142.00,242529.00
2016-02-01,3329.00,3348.00,3322.00,3343.00,166978.00,240689.00
2016-02-02,3344.00,3356.00,3329.00,3338.00,152039.00,241478.00
2016-02-03,3338.00,3353.00,3329.00,3341.00,157550.00,240913.00
2016-02-04,3349.00,3394.00,3335.00,3388.00,368675.00,241433.00
2016-02-05,3399.00,3422.00,3386.00,3389.00,237299.00,248860.00
2016-02-15,3488.00,3500.00,3456.00,3470.00,194626.00,238929.00
2016-02-16,3466.00,3474.00,3442.00,3463.00,178483.00,240867.00
2016-02-17,3470.00,3473.00,3449.00,3466.00,150486.00,248565.00
2016-02-18,3464.00,3472.00,3455.00,3455.00,125182.00,252723.00
2016-02-19,3457.00,3478.00,3452.00,3472.00,144271.00,255771.00
2016-02-22,3476.00,3484.00,3443.00,3446.00,203112.00,263538.00
2016-02-23,3427.00,3452.00,3424.00,3444.00,156647.00,262493.00
2016-02-24,3441.00,3455.00,3438.00,3441.00,136652.00,257792.00
2016-02-25,3451.00,3478.00,3428.00,3433.00,337686.00,266927.00
2016-02-26,3431.00,3432.00,3392.00,3408.00,261819.00,287922.00
2016-02-29,3407.00,3409.00,3304.00,3312.00,388352.00,284861.00
2016-03-01,3324.00,3355.00,3307.00,3346.00,234278.00,279593.00
2016-03-02,3355.00,3359.00,3313.00,3330.00,244403.00,271531.00
2016-03-03,3334.00,3364.00,3328.00,3347.00,243253.00,276580.00
2016-03-04,3351.00,3434.00,3339.00,3426.00,389941.00,282028.00
2016-03-07,3425.00,3516.00,3384.00,3481.00,832331.00,313032.00
2016-03-08,3496.00,3550.00,3426.00,3450.00,661546.00,321974.00
2016-03-09,3462.00,3466.00,3366.00,3396.00,396613.00,322347.00
2016-03-10,3401.00,3420.00,3380.00,3391.00,289999.00,297068.00
2016-03-11,3387.00,3475.00,3372.00,3434.00,498594.00,301197.00
2016-03-14,3433.00,3448.00,3413.00,3433.00,279586.00,308788.00
2016-03-15,3446.00,3484.00,3383.00,3395.00,437448.00,316715.00
2016-03-16,3396.00,3406.00,3378.00,3404.00,176922.00,308976.00
2016-03-17,3397.00,3458.00,3387.00,3438.00,236362.00,308038.00
2016-03-18,3451.00,3543.00,3443.00,3521.00,712649.00,317505.00
2016-03-21,3505.00,3508.00,3457.00,3470.00,370559.00,376412.00
2016-03-22,3470.00,3520.00,3469.00,3516.00,284465.00,344784.00
2016-03-23,3509.00,3515.00,3463.00,3469.00,313899.00,371225.00
2016-03-24,3426.00,3434.00,3405.00,3409.00,342738.00,346361.00
2016-03-25,3421.00,3425.00,3401.00,3410.00,146501.00,303922.00
2016-03-28,3403.00,3420.00,3400.00,3406.00,128309.00,308012.00
2016-03-29,3412.00,3428.00,3390.00,3393.00,174842.00,304547.00
2016-03-30,3397.00,3433.00,3392.00,3424.00,261311.00,303780.00
2016-03-31,3414.00,3428.00,3395.00,3406.00,172719.00,291722.00
2016-04-01,3432.00,3436.00,3410.00,3421.00,196478.00,290729.00
2016-04-05,3355.00,3382.00,3342.00,3370.00,102945.00,288569.00
2016-04-06,3384.00,3387.00,3367.00,3371.00,108957.00,280355.00
2016-04-07,3357.00,3387.00,3355.00,3377.00,133591.00,283202.00
2016-04-08,3395.00,3405.00,3378.00,3380.00,141728.00,283364.00
2016-04-11,3381.00,3429.00,3381.00,3418.00,204206.00,283646.00
2016-04-12,3449.00,3471.00,3441.00,3467.00,293955.00,293858.00
2016-04-13,3488.00,3507.00,3472.00,3483.00,356886.00,325079.00
2016-04-14,3491.00,3528.00,3465.00,3485.00,351804.00,333454.00
2016-04-15,3491.00,3506.00,3476.00,3492.00,199784.00,339304.00
2016-04-18,3487.00,3535.00,3472.00,3484.00,366614.00,345264.00
2016-04-19,3501.00,3658.00,3490.00,3646.00,474989.00,345451.00
2016-04-20,3694.00,3755.00,3650.00,3679.00,824016.00,395146.00
2016-04-21,3702.00,3849.00,3689.00,3811.00,793604.00,356150.00
2016-04-22,3862.00,3877.00,3668.00,3708.00,745063.00,352943.00
2016-04-25,3744.00,3768.00,3633.00,3693.00,618757.00,288783.00
2016-04-26,3687.00,3710.00,3666.00,3671.00,324291.00,279516.00
2016-04-27,3676.00,3781.00,3675.00,3774.00,420681.00,264981.00
2016-04-28,3784.00,3785.00,3710.00,3757.00,458393.00,279640.00
2016-04-29,3762.00,3873.00,3745.00,3831.00,468788.00,257625.00
2016-05-03,3808.00,3839.00,3782.00,3827.00,140520.00,244666.00
2016-05-04,3808.00,3827.00,3739.00,3745.00,260706.00,231109.00
2016-05-05,3768.00,3778.00,3737.00,3761.00,179681.00,209984.00
2016-05-06,3793.00,3803.00,3706.00,3730.00,305281.00,204237.00
2016-05-09,3754.00,3776.00,3718.00,3723.00,249980.00,193576.00
2016-05-10,3684.00,3694.00,3620.00,3661.00,195294.00,183496.00
2016-05-11,3766.00,3825.00,3746.00,3806.00,234865.00,163662.00
2016-05-12,3842.00,3858.00,3810.00,3822.00,262935.00,239849.00
2016-05-13,3815.00,3850.00,3747.00,3788.00,368706.00,244217.00
2016-05-16,3754.00,3838.00,3750.00,3834.00,277084.00,241141.00
2016-05-17,3840.00,3848.00,3796.00,3817.00,216024.00,255632.00
2016-05-18,3802.00,3842.00,3788.00,3788.00,264476.00,251741.00
2016-05-19,3787.00,3819.00,3698.00,3700.00,382179.00,255450.00
2016-05-20,3665.00,3697.00,3651.00,3678.00,279546.00,263982.00
2016-05-23,3696.00,3712.00,3630.00,3650.00,291901.00,273556.00
2016-05-24,3643.00,3664.00,3617.00,3622.00,213531.00,277175.00
2016-05-25,3625.00,3660.00,3612.00,3623.00,234625.00,283320.00
2016-05-26,3628.00,3674.00,3623.00,3665.00,208979.00,282241.00
2016-05-27,3671.00,3682.00,3600.00,3630.00,262622.00,279118.00
2016-05-30,3625.00,3640.00,3546.00,3565.00,278195.00,285646.00
2016-05-31,3572.00,3605.00,3560.00,3586.00,189000.00,290040.00
2016-06-01,3579.00,3597.00,3574.00,3590.00,208902.00,296467.00
2016-06-02,3590.00,3600.00,3561.00,3593.00,242379.00,284679.00
2016-06-03,3590.00,3605.00,3580.00,3601.00,138677.00,269410.00
2016-06-06,3666.00,3679.00,3651.00,3667.00,250069.00,276473.00
2016-06-07,3688.00,3693.00,3658.00,3677.00,159676.00,264477.00
2016-06-08,3663.00,3718.00,3661.00,3712.00,174229.00,262752.00
2016-06-13,3846.00,3864.00,3804.00,3847.00,196364.00,265751.00
2016-06-14,3865.00,3872.00,3831.00,3848.00,208725.00,279971.00
2016-06-15,3861.00,3878.00,3845.00,3869.00,202429.00,290368.00
2016-06-16,3873.00,3945.00,3835.00,3935.00,342289.00,291235.00
2016-06-17,3937.00,3941.00,3810.00,3836.00,402447.00,311760.00
2016-06-20,3848.00,3866.00,3816.00,3841.00,228739.00,305872.00
2016-06-21,3846.00,3882.00,3835.00,3850.00,212355.00,312493.00
2016-06-22,3811.00,3828.00,3780.00,3809.00,229340.00,322877.00
2016-06-23,3803.00,3827.00,3800.00,3811.00,190610.00,310122.00
2016-06-24,3809.00,3938.00,3808.00,3901.00,512189.00,312508.00
2016-06-27,3942.00,3960.00,3894.00,3925.00,342419.00,325031.00
2016-06-28,3932.00,3934.00,3882.00,3909.00,196654.00,325300.00
2016-06-29,3920.00,4065.00,3912.00,4056.00,533710.00,328548.00
2016-06-30,4075.00,4085.00,4021.00,4064.00,411672.00,394567.00
2016-07-01,4070.00,4285.00,4056.00,4230.00,759399.00,383959.00
2016-07-04,4233.00,4419.00,4226.00,4419.00,424670.00,369068.00
2016-07-05,4562.00,4599.00,4315.00,4427.00,958394.00,364296.00
2016-07-06,4386.00,4575.00,4338.00,4511.00,1044494.00,336495.00
2016-07-07,4477.00,4508.00,4416.00,4455.00,581346.00,343896.00
2016-07-08,4415.00,4422.00,4320.00,4340.00,638008.00,339726.00
2016-07-11,4305.00,4580.00,4301.00,4506.00,950017.00,333773.00
2016-07-12,4494.00,4538.00,4459.00,4517.00,590515.00,372107.00
2016-07-13,4518.00,4537.00,4397.00,4523.00,920496.00,380355.00
2016-07-14,4515.00,4549.00,4459.00,4491.00,664194.00,403720.00
2016-07-15,4446.00,4493.00,4430.00,4466.00,442490.00,385994.00
