datetime,open,high,low,close,volume,open_oi
2016-01-05,10600.00,10780.00,10565.00,10770.00,131382.00,0.00
2016-01-06,10725.00,10745.00,10640.00,10685.00,101762.00,122724.00
2016-01-07,10655.00,10725.00,10610.00,10675.00,116908.00,122254.00
2016-01-08,10655.00,10765.00,10590.00,10745.00,146565.00,123626.00
2016-01-11,10750.00,10890.00,10740.00,10815.00,177193.00,126549.00
2016-01-12,10805.00,10860.00,10565.00,10580.00,227815.00,124876.00
2016-01-13,10610.00,10660.00,10500.00,10595.00,212818.00,135246.00
2016-01-14,10580.00,10770.00,10555.00,10700.00,139782.00,140124.00
2016-01-15,10705.00,10750.00,10645.00,10650.00,97169.00,132286.00
2016-01-18,10625.00,10795.00,10625.00,10725.00,89521.00,130622.00
2016-01-19,10725.00,10815.00,10700.00,10810.00,77186.00,119634.00
2016-01-20,10805.00,10820.00,10650.00,10690.00,88090.00,114727.00
2016-01-21,10680.00,10695.00,10615.00,10655.00,60650.00,110892.00
2016-01-22,10670.00,10815.00,10650.00,10815.00,99410.00,111895.00
2016-01-25,10930.00,10950.00,10680.00,10710.00,95939.00,113708.00
2016-01-26,10710.00,10750.00,10685.00,10725.00,42230.00,105828.00
2016-01-27,10755.00,10835.00,10720.00,10785.00,55916.00,101554.00
2016-01-28,10785.00,10850.00,10735.00,10745.00,72700.00,93987.00
2016-01-29,10730.00,10790.00,10690.00,10725.00,41798.00,84990.00
2016-02-01,10735.00,10800.00,10565.00,10620.00,51427.00,79501.00
2016-02-02,10650.00,10705.00,10620.00,10675.00,32414.00,72542.00
2016-02-03,10690.00,10745.00,10635.00,10710.00,52992.00,115148.00
2016-02-04,10720.00,10930.00,10705.00,10900.00,78619.00,109827.00
2016-02-05,10890.00,10900.00,10785.00,10800.00,57283.00,109516.00
2016-02-15,10750.00,10880.00,10715.00,10875.00,38100.00,105668.00
2016-02-16,10870.00,11070.00,10830.00,11045.00,141116.00,110886.00
2016-02-17,11045.00,11120.00,10930.00,10980.00,115475.00,128898.00
2016-02-18,10995.00,11055.00,10945.00,10965.00,61406.00,122791.00
2016-02-19,10960.00,11085.00,10925.00,11060.00,69963.00,123868.00
2016-02-22,11080.00,11275.00,11055.00,11210.00,110466.00,123643.00
2016-02-23,11230.00,11285.00,11155.00,11225.00,80613.00,125104.00
2016-02-24,11195.00,11210.00,11085.00,11150.00,70308.00,117708.00
2016-02-25,11145.00,11325.00,11130.00,11230.00,95375.00,110613.00
2016-02-26,11285.00,11340.00,11170.00,11265.00,109215.00,108641.00
2016-02-29,11290.00,11400.00,11255.00,11265.00,107489.00,104832.00
2016-03-01,11325.00,11345.00,11020.00,11185.00,75565.00,87207.00
2016-03-02,11260.00,11340.00,11155.00,11325.00,90632.00,72895.00
2016-03-03,11315.00,11370.00,11280.00,11365.00,63249.00,125864.00
2016-03-04,11365.00,11485.00,11330.00,11435.00,113909.00,125351.00
2016-03-07,11415.00,11645.00,11365.00,11455.00,176900.00,124520.00
2016-03-08,11480.00,11595.00,11410.00,11535.00,162074.00,129422.00
2016-03-09,11545.00,11545.00,11055.00,11370.00,148222.00,125714.00
2016-03-10,11360.00,11415.00,11265.00,11315.00,84166.00,120922.00
2016-03-11,11280.00,11375.00,11245.00,11375.00,72752.00,117849.00
2016-03-14,11330.00,11455.00,11320.00,11335.00,70964.00,115499.00
2016-03-15,11300.00,11355.00,11270.00,11300.00,62920.00,116254.00
2016-03-16,11220.00,11305.00,11200.00,11275.00,55125.00,115731.00
2016-03-17,11245.00,11365.00,11230.00,11340.00,47258.00,114974.00
2016-03-18,11320.00,11500.00,11320.00,11455.00,79348.00,111535.00
2016-03-21,11435.00,11580.00,11400.00,11485.00,77360.00,112049.00
2016-03-22,11505.00,11550.00,11470.00,11515.00,47468.00,111760.00
2016-03-23,11485.00,11545.00,11460.00,11500.00,47504.00,112207.00
2016-03-24,11500.00,11640.00,11465.00,11525.00,120910.00,105223.00
