datetime,open,high,low,close,volume,open_oi
2016-01-05,1934.00,1959.00,1913.00,1958.00,40354.00,0.00
2016-01-06,1959.00,1960.00,1930.00,1935.00,36110.00,50950.00
2016-01-07,1924.00,1945.00,1902.00,1924.00,34843.00,53364.00
2016-01-08,1919.00,1920.00,1876.00,1881.00,46175.00,51708.00
2016-01-11,1879.00,1889.00,1865.00,1877.00,35598.00,51218.00
2016-01-12,1878.00,1881.00,1854.00,1857.00,30815.00,52520.00
2016-01-13,1855.00,1874.00,1850.00,1857.00,26369.00,56204.00
2016-01-14,1857.00,1887.00,1852.00,1881.00,37419.00,56624.00
2016-01-15,1880.00,1911.00,1875.00,1898.00,50862.00,62864.00
2016-01-18,1896.00,1948.00,1889.00,1937.00,66685.00,63888.00
2016-01-19,1939.00,1955.00,1933.00,1949.00,39103.00,65855.00
2016-01-20,1950.00,1952.00,1921.00,1929.00,40087.00,69627.00
2016-01-21,1927.00,1936.00,1916.00,1923.00,29369.00,70235.00
2016-01-22,1922.00,1960.00,1922.00,1934.00,46565.00,72807.00
2016-01-25,1936.00,1957.00,1930.00,1938.00,37324.00,77396.00
2016-01-26,1935.00,1947.00,1931.00,1945.00,24648.00,78866.00
2016-01-27,1950.00,1966.00,1935.00,1945.00,38732.00,79382.00
2016-01-28,1942.00,1946.00,1895.00,1898.00,70430.00,86348.00
2016-01-29,1890.00,1919.00,1890.00,1909.00,42751.00,91587.00
2016-02-01,1911.00,1945.00,1910.00,1924.00,45269.00,90031.00
2016-02-02,1924.00,1934.00,1912.00,1918.00,35992.00,93335.00
2016-02-03,1920.00,1935.00,1911.00,1923.00,36732.00,94966.00
2016-02-04,1925.00,1965.00,1922.00,1964.00,41222.00,97069.00
2016-02-05,1965.00,1972.00,1927.00,1944.00,26087.00,98124.00
2016-02-15,1932.00,1971.00,1932.00,1956.00,19713.00,97803.00
2016-02-16,1956.00,1986.00,1955.00,1969.00,34681.00,101133.00
2016-02-17,1966.00,1975.00,1955.00,1961.00,26799.00,106142.00
2016-02-18,1962.00,1978.00,1957.00,1975.00,26519.00,106351.00
2016-02-19,1980.00,1999.00,1970.00,1992.00,41916.00,107925.00
2016-02-22,1993.00,2083.00,1990.00,2083.00,90541.00,108726.00
2016-02-23,2076.00,2100.00,2047.00,2058.00,94415.00,109231.00
2016-02-24,2054.00,2064.00,2039.00,2063.00,55330.00,110018.00
2016-02-25,2073.00,2082.00,2045.00,2053.00,62466.00,112775.00
2016-02-26,2052.00,2069.00,2029.00,2059.00,60807.00,111593.00
2016-02-29,2058.00,2089.00,2044.00,2089.00,78300.00,110741.00
2016-03-01,2095.00,2127.00,2078.00,2109.00,79427.00,112147.00
2016-03-02,2119.00,2123.00,2087.00,2110.00,67698.00,114095.00
2016-03-03,2114.00,2140.00,2110.00,2127.00,82779.00,115372.00
2016-03-04,2122.00,2175.00,2119.00,2174.00,108276.00,99742.00
2016-03-07,2175.00,2256.00,2172.00,2256.00,54272.00,99790.00
2016-03-08,2390.00,2390.00,2249.00,2390.00,157031.00,93260.00
2016-03-09,2351.00,2377.00,2171.00,2218.00,219094.00,72076.00
2016-03-10,2231.00,2352.00,2220.00,2269.00,228215.00,72178.00
2016-03-11,2261.00,2290.00,2230.00,2235.00,102793.00,81914.00
2016-03-14,2197.00,2308.00,2184.00,2200.00,116550.00,75539.00
2016-03-15,2192.00,2218.00,2145.00,2160.00,127597.00,73125.00
2016-03-16,2155.00,2185.00,2150.00,2181.00,77544.00,80375.00
2016-03-17,2185.00,2268.00,2183.00,2263.00,127767.00,81789.00
2016-03-18,2269.00,2343.00,2263.00,2322.00,153754.00,72481.00
2016-03-21,2320.00,2410.00,2304.00,2359.00,166593.00,70245.00
2016-03-22,2359.00,2385.00,2348.00,2357.00,87362.00,73242.00
