datetime,open,high,low,close,volume,open_oi
2016-01-05,3202.00,3250.00,3192.00,3242.00,71884.00,0.00
2016-01-06,3250.00,3264.00,3221.00,3245.00,66548.00,75611.00
2016-01-07,3254.00,3282.00,3227.00,3254.00,91958.00,76427.00
2016-01-08,3266.00,3278.00,3241.00,3244.00,59883.00,78627.00
2016-01-11,3266.00,3270.00,3205.00,3213.00,75285.00,78933.00
2016-01-12,3210.00,3225.00,3175.00,3185.00,54093.00,78621.00
2016-01-13,3203.00,3208.00,3122.00,3144.00,121085.00,78975.00
2016-01-14,3144.00,3164.00,3132.00,3155.00,64439.00,95722.00
2016-01-15,3165.00,3175.00,3135.00,3145.00,55748.00,92892.00
2016-01-18,3164.00,3246.00,3149.00,3238.00,105101.00,96603.00
2016-01-19,3246.00,3260.00,3223.00,3246.00,52931.00,76688.00
2016-01-20,3248.00,3264.00,3226.00,3246.00,54545.00,75095.00
2016-01-21,3249.00,3325.00,3235.00,3313.00,161238.00,77169.00
2016-01-22,3332.00,3391.00,3311.00,3319.00,145121.00,86020.00
2016-01-25,3316.00,3318.00,3260.00,3270.00,90345.00,86274.00
2016-01-26,3266.00,3285.00,3240.00,3252.00,67669.00,87154.00
2016-01-27,3255.00,3288.00,3246.00,3274.00,80982.00,86195.00
2016-01-28,3278.00,3292.00,3213.00,3217.00,97390.00,87268.00
2016-01-29,3210.00,3230.00,3189.00,3214.00,54999.00,84586.00
2016-02-01,3222.00,3248.00,3181.00,3209.00,61204.00,79764.00
2016-02-02,3210.00,3242.00,3203.00,3233.00,49640.00,81776.00
2016-02-03,3236.00,3239.00,3205.00,3221.00,42806.00,79704.00
2016-02-04,3228.00,3270.00,3222.00,3236.00,63756.00,75776.00
2016-02-05,3229.00,3231.00,3193.00,3209.00,44181.00,73254.00
2016-02-15,3148.00,3175.00,3092.00,3095.00,101142.00,69501.00
2016-02-16,3089.00,3112.00,3080.00,3095.00,69187.00,88091.00
2016-02-17,3091.00,3115.00,3053.00,3078.00,87073.00,98888.00
2016-02-18,3080.00,3095.00,3069.00,3077.00,49945.00,104626.00
2016-02-19,3083.00,3108.00,3078.00,3087.00,78003.00,105922.00
2016-02-22,3105.00,3131.00,3092.00,3108.00,77485.00,99321.00
2016-02-23,3109.00,3109.00,3060.00,3083.00,101600.00,98873.00
2016-02-24,3072.00,3090.00,3030.00,3068.00,85719.00,104279.00
2016-02-25,3063.00,3070.00,3041.00,3050.00,59610.00,107873.00
2016-02-26,3042.00,3066.00,3035.00,3047.00,52017.00,106669.00
2016-02-29,3029.00,3030.00,2982.00,3005.00,92649.00,106579.00
2016-03-01,3015.00,3037.00,2988.00,3005.00,73686.00,106056.00
2016-03-02,3012.00,3036.00,3003.00,3015.00,59702.00,106238.00
2016-03-03,3024.00,3075.00,3019.00,3064.00,88829.00,104860.00
2016-03-04,3079.00,3098.00,3058.00,3087.00,68161.00,99653.00
2016-03-07,3126.00,3199.00,3126.00,3136.00,113970.00,91809.00
2016-03-08,3141.00,3150.00,3063.00,3089.00,72471.00,76916.00
2016-03-09,3081.00,3142.00,3062.00,3125.00,98247.00,73959.00
2016-03-10,3128.00,3148.00,3089.00,3102.00,55532.00,70946.00
2016-03-11,3098.00,3143.00,3091.00,3131.00,54931.00,70807.00
2016-03-14,3119.00,3172.00,3107.00,3153.00,65898.00,71165.00
2016-03-15,3171.00,3204.00,3155.00,3202.00,82303.00,69136.00
2016-03-16,3216.00,3223.00,3155.00,3171.00,72685.00,67867.00
2016-03-17,3183.00,3203.00,3173.00,3198.00,43017.00,60396.00
2016-03-18,3227.00,3281.00,3215.00,3250.00,73042.00,58417.00
