datetime,open,high,low,close,volume,open_oi
2021-01-08,29050.00,30680.00,26385.00,26810.00,91056.00,0.00
2021-01-11,26260.00,26720.00,26030.00,26030.00,23026.00,14984.00
2021-01-12,25745.00,26210.00,25205.00,25560.00,39402.00,17600.00
2021-01-13,25865.00,26350.00,25715.00,25870.00,16470.00,17194.00
2021-01-14,25855.00,26155.00,24860.00,24890.00,24216.00,17050.00
2021-01-15,25155.00,25155.00,24460.00,24725.00,20257.00,18719.00
2021-01-18,24845.00,25780.00,24805.00,25140.00,19855.00,18594.00
2021-01-19,25185.00,25390.00,24880.00,25025.00,8816.00,18535.00
2021-01-20,24980.00,25090.00,24500.00,24910.00,7832.00,17800.00
2021-01-21,24945.00,25185.00,24800.00,24870.00,6694.00,17573.00
2021-01-22,24855.00,25045.00,24530.00,24565.00,8147.00,17278.00
2021-01-25,24550.00,25300.00,24510.00,24930.00,10872.00,17412.00
2021-01-26,25100.00,25770.00,24925.00,25555.00,17784.00,16900.00
2021-01-27,25610.00,25645.00,25200.00,25275.00,8352.00,17980.00
2021-01-28,25155.00,25535.00,25020.00,25190.00,8710.00,17942.00
2021-01-29,25295.00,25620.00,25280.00,25570.00,8596.00,17581.00
2021-02-01,25630.00,25970.00,25420.00,25685.00,6161.00,17760.00
2021-02-02,25700.00,26040.00,25300.00,25380.00,11849.00,18539.00
2021-02-03,25355.00,25555.00,25210.00,25315.00,7046.00,18831.00
2021-02-04,25395.00,25485.00,25250.00,25445.00,4078.00,18399.00
2021-02-05,25530.00,26175.00,25500.00,26170.00,8802.00,18364.00
2021-02-08,26280.00,27400.00,26225.00,26900.00,13460.00,19213.00
2021-02-09,26900.00,27110.00,26400.00,26845.00,6343.00,19705.00
2021-02-10,26845.00,26870.00,26500.00,26705.00,4436.00,19375.00
2021-02-18,27000.00,27100.00,26525.00,27000.00,5803.00,19412.00
2021-02-19,27095.00,28390.00,27055.00,28330.00,16334.00,20245.00
2021-02-22,28380.00,29430.00,28115.00,29380.00,15830.00,21176.00
2021-02-23,29330.00,29380.00,28050.00,28980.00,16187.00,18856.00
2021-02-24,29600.00,29805.00,28600.00,28900.00,10008.00,16552.00
2021-02-25,29000.00,29140.00,28630.00,28915.00,7317.00,15697.00
2021-02-26,28780.00,29325.00,28440.00,28970.00,8485.00,14880.00
2021-03-01,29430.00,29435.00,28800.00,29185.00,5271.00,14493.00
2021-03-02,29170.00,29250.00,28500.00,28750.00,6560.00,14013.00
2021-03-03,28850.00,29000.00,28510.00,28785.00,3709.00,13518.00
2021-03-04,28690.00,29115.00,28550.00,28845.00,3695.00,13105.00
2021-03-05,28870.00,28880.00,27000.00,28400.00,8233.00,12813.00
2021-03-08,28600.00,28900.00,28400.00,28545.00,3651.00,12650.00
2021-03-09,28420.00,28615.00,27820.00,27900.00,4897.00,12516.00
2021-03-10,27800.00,28300.00,27200.00,28050.00,9535.00,12848.00
2021-03-11,28000.00,28755.00,27805.00,28595.00,5980.00,12582.00
2021-03-12,28800.00,28885.00,28485.00,28750.00,3588.00,12362.00
2021-03-15,28810.00,28995.00,28280.00,28405.00,4380.00,12073.00
2021-03-16,28300.00,28695.00,28120.00,28450.00,2592.00,11681.00
2021-03-17,28400.00,28760.00,28310.00,28610.00,2806.00,11223.00
2021-03-18,28470.00,28630.00,28365.00,28470.00,2409.00,11672.00
2021-03-19,28200.00,28600.00,28135.00,28505.00,2824.00,11048.00
2021-03-22,28435.00,28470.00,27935.00,28250.00,3574.00,11081.00
2021-03-23,28280.00,28325.00,27960.00,28135.00,1704.00,10894.00
2021-03-24,27995.00,28190.00,27850.00,28000.00,1963.00,10459.00
2021-03-25,27850.00,27980.00,27520.00,27520.00,3065.00,10373.00
2021-03-26,27520.00,27570.00,27215.00,27215.00,3136.00,10666.00
2021-03-29,27000.00,27030.00,26520.00,26555.00,5143.00,10898.00
2021-03-30,26500.00,27230.00,26310.00,27030.00,4615.00,11456.00
2021-03-31,26870.00,27130.00,26655.00,26985.00,3481.00,11358.00
2021-04-01,27140.00,27995.00,26870.00,27940.00,6534.00,10842.00
2021-04-02,27900.00,27940.00,27535.00,27660.00,3255.00,11547.00
2021-04-06,27220.00,27495.00,27060.00,27120.00,2436.00,10751.00
2021-04-07,27055.00,27120.00,26665.00,26810.00,3445.00,10764.00
2021-04-08,26710.00,27320.00,26615.00,26920.00,2583.00,10749.00
2021-04-09,26995.00,27070.00,26465.00,26610.00,3555.00,10723.00
2021-04-12,26915.00,27345.00,26815.00,27095.00,4175.00,10638.00
2021-04-13,27325.00,27640.00,27120.00,27605.00,3436.00,10592.00
2021-04-14,27405.00,27700.00,27350.00,27425.00,2315.00,10659.00
2021-04-15,27480.00,27495.00,27150.00,27190.00,2235.00,10478.00
2021-04-16,27000.00,27150.00,26785.00,26920.00,3478.00,10516.00
2021-04-19,26900.00,27245.00,26800.00,27180.00,2564.00,10624.00
2021-04-20,27250.00,27480.00,27110.00,27110.00,1755.00,10694.00
2021-04-21,26980.00,27180.00,26755.00,27170.00,1761.00,10699.00
2021-04-22,27165.00,27330.00,27050.00,27195.00,1818.00,10797.00
2021-04-23,27195.00,27990.00,27195.00,27720.00,6524.00,10839.00
2021-04-26,27680.00,27680.00,27330.00,27370.00,3446.00,12092.00
2021-04-27,27400.00,27440.00,26660.00,27035.00,2685.00,11274.00
2021-04-28,26860.00,27355.00,26850.00,27250.00,2057.00,10971.00
2021-04-29,27200.00,27385.00,27075.00,27320.00,1601.00,10795.00
2021-04-30,27320.00,27480.00,27200.00,27290.00,1967.00,10991.00
2021-05-06,27000.00,27160.00,26405.00,26700.00,5508.00,10822.00
2021-05-07,26680.00,26945.00,26485.00,26900.00,2773.00,11707.00
2021-05-10,26700.00,26750.00,24975.00,25005.00,10732.00,11337.00
2021-05-11,24960.00,25180.00,24750.00,24950.00,5988.00,12337.00
2021-05-12,25010.00,25500.00,25000.00,25255.00,5299.00,12311.00
2021-05-13,25210.00,25250.00,24710.00,25020.00,4982.00,11988.00
2021-05-14,25020.00,25130.00,24420.00,24970.00,6993.00,11666.00
2021-05-17,24900.00,25000.00,24800.00,24940.00,2468.00,12005.00
2021-05-18,24945.00,25090.00,24500.00,24585.00,5637.00,11982.00
2021-05-19,24505.00,24515.00,23550.00,23550.00,9747.00,13151.00
2021-05-20,23400.00,23870.00,23080.00,23565.00,7762.00,15687.00
2021-05-21,23500.00,24200.00,23380.00,23890.00,7302.00,15537.00
2021-05-24,23880.00,24050.00,23430.00,23940.00,5008.00,15010.00
2021-05-25,23950.00,24300.00,23620.00,23895.00,5569.00,15029.00
2021-05-26,23750.00,23760.00,23100.00,23120.00,7311.00,14728.00
2021-05-27,23000.00,23000.00,22400.00,22445.00,9478.00,16301.00
2021-05-28,22445.00,23395.00,22425.00,22485.00,6879.00,17107.00
2021-05-31,22405.00,22695.00,22035.00,22245.00,8927.00,16836.00
2021-06-01,22380.00,22520.00,22000.00,22025.00,7739.00,17361.00
2021-06-02,22000.00,22190.00,21435.00,21525.00,10779.00,18152.00
2021-06-03,21425.00,21500.00,20170.00,20640.00,21082.00,19676.00
2021-06-04,20500.00,20500.00,19830.00,19870.00,20899.00,22179.00
2021-06-07,19665.00,20355.00,19310.00,20025.00,28848.00,25137.00
2021-06-08,20225.00,20395.00,19735.00,19770.00,17528.00,25607.00
2021-06-09,19605.00,20670.00,19555.00,20215.00,33626.00,26180.00
2021-06-10,20040.00,20440.00,19860.00,19935.00,16475.00,26586.00
2021-06-11,19930.00,20150.00,19730.00,19795.00,12721.00,28118.00
2021-06-15,19295.00,19495.00,18550.00,18810.00,23417.00,27353.00
2021-06-16,18800.00,19270.00,18800.00,18970.00,18612.00,30375.00
2021-06-17,18895.00,19150.00,18400.00,18465.00,22702.00,30410.00
2021-06-18,18185.00,18415.00,17600.00,17600.00,30579.00,33768.00
2021-06-21,17325.00,17490.00,16710.00,16735.00,39100.00,37127.00
2021-06-22,16695.00,17280.00,16675.00,17040.00,45223.00,41775.00
2021-06-23,17120.00,18165.00,17100.00,18160.00,52537.00,41226.00
2021-06-24,18240.00,18350.00,17665.00,17840.00,43509.00,36640.00
2021-06-25,17995.00,18940.00,17980.00,18925.00,46490.00,36921.00
2021-06-28,19610.00,19800.00,18620.00,18925.00,54502.00,33324.00
2021-06-29,18850.00,19285.00,18820.00,19240.00,28665.00,34785.00
2021-06-30,19180.00,19480.00,19065.00,19370.00,24653.00,33606.00
2021-07-01,19500.00,19615.00,18730.00,18890.00,34774.00,32583.00
2021-07-02,18940.00,18980.00,18435.00,18580.00,29355.00,32931.00
2021-07-05,18810.00,19105.00,18620.00,18745.00,24291.00,31716.00
2021-07-06,18845.00,19045.00,18740.00,18985.00,15725.00,31997.00
2021-07-07,18945.00,19100.00,18340.00,18625.00,24967.00,30059.00
2021-07-08,18650.00,18950.00,18510.00,18865.00,17375.00,31777.00
2021-07-09,19000.00,19200.00,18850.00,19165.00,13633.00,29110.00
2021-07-12,18985.00,19000.00,18730.00,18760.00,16953.00,28641.00
2021-07-13,18750.00,18825.00,18210.00,18270.00,20575.00,28396.00
2021-07-14,18260.00,18385.00,17905.00,18210.00,23843.00,31571.00
2021-07-15,18080.00,18275.00,17955.00,18120.00,13268.00,31529.00
2021-07-16,18125.00,18480.00,18075.00,18400.00,12550.00,31054.00
2021-07-19,18500.00,18895.00,18450.00,18785.00,16763.00,28742.00
2021-07-20,18810.00,19070.00,18700.00,18840.00,16878.00,28269.00
2021-07-21,18900.00,19050.00,18600.00,18740.00,12822.00,26746.00
2021-07-22,18650.00,18700.00,18375.00,18375.00,11220.00,26128.00
2021-07-23,18265.00,18485.00,18050.00,18295.00,13679.00,25450.00
2021-07-26,18525.00,18600.00,18200.00,18460.00,13812.00,26834.00
2021-07-27,18395.00,18520.00,18310.00,18390.00,7748.00,24681.00
2021-07-28,18460.00,18520.00,18335.00,18430.00,5817.00,23951.00
2021-07-29,18500.00,18750.00,18445.00,18600.00,10964.00,22574.00
2021-07-30,18645.00,18900.00,18645.00,18765.00,11740.00,22764.00
2021-08-02,18565.00,18600.00,17855.00,18160.00,14252.00,20607.00
2021-08-03,18030.00,18255.00,17705.00,17785.00,16705.00,20758.00
2021-08-04,17740.00,18030.00,17435.00,17440.00,18174.00,23159.00
2021-08-05,17400.00,17520.00,17215.00,17400.00,12444.00,25185.00
2021-08-06,17260.00,17600.00,17260.00,17550.00,11942.00,25688.00
2021-08-09,17715.00,17930.00,17325.00,17365.00,10498.00,25212.00
2021-08-10,17330.00,17450.00,17005.00,17025.00,11634.00,24451.00
2021-08-11,16980.00,17150.00,16830.00,17085.00,11446.00,24354.00
2021-08-12,17000.00,17195.00,16870.00,17055.00,11215.00,23983.00
2021-08-13,17000.00,17080.00,16680.00,16720.00,10536.00,21211.00
2021-08-16,16800.00,16880.00,16140.00,16160.00,14652.00,20793.00
2021-08-17,16180.00,16260.00,15955.00,16075.00,12037.00,20620.00
2021-08-18,16025.00,16225.00,15965.00,15995.00,7158.00,18250.00
2021-08-19,17600.00,17600.00,17260.00,17360.00,16224.00,16695.00
2021-08-20,17360.00,17945.00,17310.00,17775.00,21655.00,33092.00
2021-08-23,17480.00,17580.00,16955.00,17000.00,23213.00,33011.00
2021-08-24,16955.00,17055.00,16740.00,16895.00,20776.00,36706.00
2021-08-25,16900.00,17065.00,16800.00,16985.00,18470.00,39051.00
2021-08-26,17000.00,17250.00,16940.00,17140.00,16540.00,40782.00
2021-08-27,17150.00,17250.00,17005.00,17175.00,11253.00,39320.00
2021-08-30,17030.00,17080.00,16415.00,16430.00,24239.00,39280.00
2021-08-31,16645.00,16940.00,16620.00,16760.00,21123.00,44376.00
2021-09-01,16845.00,16900.00,16300.00,16565.00,24091.00,42925.00
2021-09-02,16535.00,16675.00,16040.00,16085.00,22475.00,45122.00
2021-09-03,16045.00,16300.00,15880.00,16090.00,28409.00,47327.00
2021-09-06,16035.00,16180.00,15770.00,15965.00,18856.00,48649.00
2021-09-07,16040.00,16160.00,15850.00,15910.00,14975.00,48990.00
2021-09-08,15900.00,15980.00,15575.00,15585.00,17573.00,48983.00
2021-09-09,15485.00,15500.00,14955.00,14995.00,29225.00,49930.00
2021-09-10,14890.00,15245.00,14765.00,15070.00,35404.00,52741.00
2021-09-13,15005.00,15055.00,14550.00,14575.00,33234.00,53043.00
2021-09-14,14640.00,14695.00,14365.00,14385.00,31162.00,54231.00
2021-09-15,14330.00,14480.00,14105.00,14110.00,28111.00,56174.00
2021-09-16,14140.00,14845.00,13760.00,14580.00,74558.00,56138.00
2021-09-17,14545.00,14750.00,14135.00,14175.00,46989.00,54540.00
2021-09-22,13880.00,14060.00,13530.00,13685.00,34169.00,55859.00
2021-09-23,13675.00,13870.00,13450.00,13600.00,41480.00,56961.00
2021-09-24,13490.00,13785.00,13365.00,13670.00,43102.00,59170.00
2021-09-27,13560.00,14400.00,13540.00,14360.00,57405.00,61174.00
2021-09-28,14390.00,14565.00,13900.00,13920.00,48486.00,59665.00
2021-09-29,13880.00,14100.00,13660.00,13870.00,40181.00,60823.00
2021-09-30,13820.00,14125.00,13725.00,13880.00,33212.00,60288.00
2021-10-08,14010.00,14335.00,13920.00,14225.00,38822.00,59803.00
2021-10-11,14500.00,15285.00,14375.00,15285.00,58764.00,60465.00
2021-10-12,15520.00,15780.00,15030.00,15290.00,69982.00,56999.00
2021-10-13,15615.00,15970.00,14845.00,15410.00,72731.00,56338.00
2021-10-14,15400.00,15480.00,14680.00,14685.00,48572.00,56088.00
2021-10-15,14690.00,15230.00,14685.00,15175.00,44197.00,58297.00
2021-10-18,15980.00,16220.00,15590.00,15845.00,50306.00,56006.00
2021-10-19,15830.00,16455.00,15600.00,16375.00,50320.00,50867.00
2021-10-20,16305.00,16600.00,15695.00,16225.00,45295.00,49876.00
2021-10-21,16150.00,16480.00,15700.00,15815.00,49304.00,48404.00
2021-10-22,15825.00,16350.00,15820.00,16325.00,43887.00,50225.00
2021-10-25,17395.00,17470.00,16860.00,17185.00,69415.00,48253.00
2021-10-26,17015.00,17330.00,16800.00,17320.00,37390.00,43301.00
2021-10-27,17305.00,17620.00,17010.00,17495.00,43558.00,43489.00
2021-10-28,17495.00,17670.00,16895.00,17385.00,51569.00,44067.00
2021-10-29,17415.00,17530.00,16675.00,16705.00,51114.00,41927.00
2021-11-01,16850.00,16885.00,15850.00,15885.00,47734.00,45237.00
2021-11-02,15860.00,16320.00,15610.00,16205.00,50577.00,46635.00
2021-11-03,16190.00,16450.00,16100.00,16245.00,36497.00,45714.00
2021-11-04,16330.00,16750.00,16010.00,16705.00,40277.00,45444.00
2021-11-05,16720.00,16830.00,16410.00,16675.00,37604.00,45265.00
2021-11-08,16770.00,17020.00,16165.00,16245.00,39676.00,45377.00
2021-11-09,16290.00,16385.00,15910.00,16155.00,34026.00,47627.00
2021-11-10,16100.00,16320.00,15940.00,16200.00,26583.00,47489.00
2021-11-11,16230.00,16230.00,15900.00,15915.00,24250.00,46751.00
2021-11-12,15835.00,16255.00,15760.00,16250.00,30026.00,47154.00
2021-11-15,16540.00,16830.00,16440.00,16725.00,31345.00,45379.00
2021-11-16,16750.00,16850.00,16240.00,16280.00,30581.00,43529.00
2021-11-17,16205.00,16300.00,16050.00,16095.00,21230.00,43702.00
2021-11-18,16075.00,16300.00,16030.00,16240.00,18355.00,43632.00
2021-11-19,16250.00,16490.00,16205.00,16490.00,17521.00,42898.00
2021-11-22,16600.00,16625.00,16155.00,16200.00,23242.00,41712.00
2021-11-23,16240.00,16450.00,16205.00,16315.00,17576.00,43145.00
2021-11-24,16390.00,16570.00,16360.00,16560.00,18666.00,41212.00
2021-11-25,16605.00,16850.00,16560.00,16820.00,22494.00,40306.00
2021-11-26,16855.00,16950.00,16580.00,16725.00,20809.00,38783.00
2021-11-29,16365.00,16400.00,16050.00,16080.00,28993.00,37177.00
2021-11-30,15985.00,16255.00,15890.00,16105.00,18912.00,38517.00
2021-12-01,16195.00,16320.00,16105.00,16215.00,12229.00,35619.00
2021-12-02,16165.00,16190.00,15650.00,15685.00,21062.00,33129.00
2021-12-03,15695.00,15840.00,15390.00,15455.00,19387.00,37130.00
2021-12-06,15445.00,15590.00,15115.00,15220.00,21534.00,37098.00
2021-12-07,15180.00,15340.00,14895.00,14965.00,18745.00,36870.00
2021-12-08,14950.00,15040.00,14560.00,14680.00,18608.00,35340.00
2021-12-09,14680.00,14960.00,14565.00,14775.00,17800.00,32270.00
2021-12-10,14780.00,14950.00,14585.00,14870.00,17536.00,29853.00
2021-12-13,14085.00,14475.00,13925.00,14410.00,23575.00,26336.00
2021-12-14,14385.00,14550.00,14190.00,14260.00,20307.00,49400.00
2021-12-15,14300.00,14420.00,14225.00,14300.00,14225.00,51461.00
2021-12-16,14395.00,14450.00,14300.00,14350.00,12449.00,51696.00
2021-12-17,14380.00,14480.00,14015.00,14190.00,21390.00,51944.00
2021-12-20,14125.00,14215.00,14045.00,14045.00,14486.00,54879.00
2021-12-21,13990.00,14320.00,13920.00,14220.00,16932.00,55254.00
2021-12-22,14250.00,14300.00,14050.00,14075.00,11639.00,55375.00
2021-12-23,14100.00,14520.00,14070.00,14500.00,24112.00,56938.00
2021-12-24,14560.00,14760.00,14440.00,14580.00,24574.00,54746.00
2021-12-27,14630.00,14860.00,14460.00,14490.00,22492.00,54175.00
2021-12-28,14555.00,14675.00,14350.00,14605.00,20389.00,54731.00
2021-12-29,14610.00,14660.00,14495.00,14535.00,9845.00,54236.00
2021-12-30,14535.00,14600.00,14380.00,14445.00,15559.00,53555.00
2021-12-31,14450.00,14555.00,14350.00,14450.00,12474.00,54054.00
2022-01-04,14320.00,14425.00,14140.00,14165.00,18689.00,54188.00
2022-01-05,14165.00,14360.00,14120.00,14245.00,18262.00,56669.00
2022-01-06,14225.00,14310.00,14050.00,14075.00,16827.00,55372.00
2022-01-07,14150.00,14180.00,13850.00,13915.00,18113.00,58702.00
2022-01-10,13605.00,13785.00,13400.00,13510.00,28893.00,60116.00
2022-01-11,13460.00,13740.00,13425.00,13665.00,20745.00,64502.00
2022-01-12,13690.00,13900.00,13680.00,13755.00,21571.00,62654.00
2022-01-13,13760.00,13845.00,13660.00,13710.00,14680.00,61090.00
2022-01-14,13650.00,13870.00,13580.00,13760.00,14417.00,59758.00
2022-01-17,13795.00,13975.00,13735.00,13790.00,16885.00,59805.00
2022-01-18,13800.00,13955.00,13790.00,13890.00,14932.00,59854.00
2022-01-19,13930.00,14045.00,13760.00,13785.00,14920.00,58256.00
2022-01-20,13900.00,13935.00,13775.00,13830.00,12422.00,57807.00
2022-01-21,13920.00,13965.00,13810.00,13850.00,12686.00,56890.00
2022-01-24,13745.00,13750.00,13500.00,13505.00,21981.00,55030.00
2022-01-25,13515.00,13600.00,13460.00,13535.00,13054.00,56441.00
2022-01-26,13500.00,13585.00,13410.00,13465.00,11706.00,54366.00
2022-01-27,13475.00,13565.00,13205.00,13240.00,18704.00,52085.00
2022-01-28,13295.00,13500.00,13240.00,13425.00,17207.00,48593.00
2022-02-07,13505.00,13950.00,13335.00,13705.00,17560.00,43729.00
