datetime,open,high,low,close,volume,open_oi
2016-01-05,2327.00,2347.00,2325.00,2343.00,569527.00,0.00
2016-01-06,2345.00,2352.00,2327.00,2347.00,683608.00,752288.00
2016-01-07,2341.00,2386.00,2339.00,2376.00,987863.00,757376.00
2016-01-08,2375.00,2407.00,2363.00,2404.00,989187.00,728855.00
2016-01-11,2407.00,2413.00,2377.00,2383.00,745035.00,787339.00
2016-01-12,2384.00,2397.00,2372.00,2378.00,749203.00,735014.00
2016-01-13,2377.00,2413.00,2376.00,2382.00,938513.00,735030.00
2016-01-14,2385.00,2415.00,2376.00,2406.00,930004.00,766569.00
2016-01-15,2406.00,2416.00,2395.00,2404.00,677738.00,788004.00
2016-01-18,2397.00,2462.00,2394.00,2458.00,1191910.00,784793.00
2016-01-19,2462.00,2470.00,2450.00,2462.00,726569.00,789048.00
2016-01-20,2463.00,2471.00,2440.00,2453.00,787869.00,779305.00
2016-01-21,2449.00,2452.00,2419.00,2425.00,742656.00,763038.00
2016-01-22,2427.00,2459.00,2425.00,2452.00,582002.00,738981.00
2016-01-25,2455.00,2463.00,2428.00,2434.00,573760.00,708848.00
2016-01-26,2432.00,2453.00,2423.00,2443.00,419914.00,692447.00
2016-01-27,2440.00,2452.00,2428.00,2448.00,525241.00,692438.00
2016-01-28,2446.00,2460.00,2435.00,2443.00,631663.00,708935.00
2016-01-29,2441.00,2444.00,2411.00,2419.00,531681.00,690644.00
2016-02-01,2418.00,2451.00,2416.00,2444.00,411299.00,684129.00
2016-02-02,2439.00,2461.00,2437.00,2456.00,337904.00,668879.00
2016-02-03,2452.00,2457.00,2439.00,2453.00,369486.00,682008.00
2016-02-04,2453.00,2457.00,2437.00,2445.00,373483.00,644413.00
2016-02-05,2447.00,2449.00,2425.00,2437.00,315435.00,608394.00
2016-02-15,2425.00,2445.00,2417.00,2421.00,195059.00,581092.00
2016-02-16,2421.00,2443.00,2405.00,2410.00,544626.00,612075.00
2016-02-17,2410.00,2420.00,2382.00,2383.00,542294.00,657423.00
2016-02-18,2384.00,2399.00,2379.00,2383.00,453750.00,699674.00
2016-02-19,2383.00,2404.00,2376.00,2393.00,606640.00,731504.00
2016-02-22,2389.00,2411.00,2387.00,2402.00,412765.00,732037.00
2016-02-23,2406.00,2415.00,2382.00,2385.00,421982.00,739355.00
2016-02-24,2388.00,2390.00,2340.00,2355.00,922309.00,745709.00
2016-02-25,2353.00,2358.00,2333.00,2344.00,449332.00,723485.00
2016-02-26,2349.00,2357.00,2325.00,2330.00,477797.00,740813.00
2016-02-29,2328.00,2339.00,2288.00,2301.00,720745.00,732842.00
2016-03-01,2304.00,2316.00,2294.00,2312.00,463927.00,718560.00
2016-03-02,2316.00,2335.00,2305.00,2309.00,631223.00,713893.00
2016-03-03,2309.00,2334.00,2302.00,2328.00,538619.00,698189.00
2016-03-04,2325.00,2348.00,2323.00,2344.00,488422.00,671163.00
2016-03-07,2355.00,2404.00,2346.00,2371.00,1010063.00,686841.00
2016-03-08,2369.00,2382.00,2317.00,2321.00,742887.00,642958.00
2016-03-09,2324.00,2340.00,2313.00,2330.00,467908.00,636562.00
2016-03-10,2336.00,2342.00,2313.00,2321.00,522573.00,616739.00
2016-03-11,2321.00,2332.00,2289.00,2326.00,489621.00,590867.00
2016-03-14,2311.00,2326.00,2307.00,2309.00,470256.00,567396.00
2016-03-15,2307.00,2333.00,2297.00,2306.00,656340.00,926706.00
2016-03-16,2301.00,2311.00,2288.00,2295.00,471822.00,925457.00
2016-03-17,2292.00,2313.00,2287.00,2311.00,500722.00,956695.00
2016-03-18,2316.00,2340.00,2311.00,2331.00,1036691.00,954280.00
2016-03-21,2326.00,2338.00,2310.00,2328.00,727057.00,966612.00
2016-03-22,2328.00,2364.00,2327.00,2355.00,1020706.00,1000894.00
2016-03-23,2357.00,2391.00,2351.00,2357.00,1219944.00,1010649.00
2016-03-24,2347.00,2385.00,2341.00,2362.00,1231687.00,1028089.00
2016-03-25,2353.00,2401.00,2351.00,2399.00,1374004.00,1014427.00
2016-03-28,2404.00,2407.00,2366.00,2368.00,1175346.00,1078603.00
2016-03-29,2369.00,2375.00,2346.00,2353.00,1076422.00,1129561.00
2016-03-30,2355.00,2370.00,2348.00,2363.00,843171.00,1184307.00
2016-03-31,2367.00,2371.00,2326.00,2331.00,965436.00,1180690.00
2016-04-01,2335.00,2358.00,2324.00,2340.00,911263.00,1191337.00
2016-04-05,2328.00,2357.00,2319.00,2354.00,518673.00,1240131.00
2016-04-06,2345.00,2368.00,2337.00,2343.00,833042.00,1291324.00
2016-04-07,2338.00,2356.00,2335.00,2342.00,601827.00,1309720.00
2016-04-08,2346.00,2351.00,2325.00,2326.00,627226.00,1325081.00
2016-04-11,2334.00,2375.00,2330.00,2362.00,1143501.00,1363264.00
2016-04-12,2364.00,2405.00,2360.00,2404.00,1464622.00,1345933.00
2016-04-13,2413.00,2470.00,2407.00,2445.00,1977851.00,1407336.00
2016-04-14,2448.00,2492.00,2443.00,2465.00,1666635.00,1475376.00
2016-04-15,2460.00,2483.00,2454.00,2473.00,1451566.00,1482025.00
2016-04-18,2463.00,2535.00,2450.00,2519.00,2098336.00,1624751.00
2016-04-19,2515.00,2528.00,2502.00,2518.00,1395603.00,1671789.00
2016-04-20,2527.00,2613.00,2524.00,2586.00,2792073.00,1684739.00
2016-04-21,2582.00,2680.00,2563.00,2680.00,2250202.00,1493040.00
2016-04-22,2668.00,2710.00,2573.00,2589.00,2574167.00,1372465.00
2016-04-25,2590.00,2647.00,2534.00,2571.00,2036948.00,1164255.00
2016-04-26,2572.00,2643.00,2558.00,2615.00,2007099.00,1153162.00
2016-04-27,2630.00,2655.00,2598.00,2627.00,2131617.00,1154766.00
2016-04-28,2634.00,2639.00,2581.00,2629.00,1754805.00,1144898.00
2016-04-29,2641.00,2680.00,2612.00,2617.00,1871805.00,1111998.00
2016-05-03,2660.00,2725.00,2659.00,2722.00,1464468.00,1129377.00
2016-05-04,2716.00,2724.00,2646.00,2677.00,1897081.00,1216420.00
2016-05-05,2668.00,2709.00,2663.00,2675.00,1577415.00,1176054.00
2016-05-06,2703.00,2708.00,2586.00,2614.00,2100283.00,1172786.00
2016-05-09,2615.00,2683.00,2598.00,2666.00,2377233.00,1074725.00
2016-05-10,2654.00,2669.00,2613.00,2660.00,1898801.00,1063818.00
2016-05-11,2675.00,2774.00,2652.00,2774.00,1345164.00,1037057.00
2016-05-12,2802.00,2853.00,2774.00,2833.00,3100572.00,1049605.00
2016-05-13,2839.00,2855.00,2766.00,2798.00,3144896.00,1149841.00
2016-05-16,2791.00,2853.00,2773.00,2809.00,2841808.00,1122042.00
2016-05-17,2807.00,2834.00,2797.00,2828.00,1834196.00,1134590.00
2016-05-18,2832.00,2928.00,2825.00,2853.00,3486760.00,1088596.00
2016-05-19,2849.00,2875.00,2816.00,2849.00,2428886.00,1112104.00
2016-05-20,2826.00,2875.00,2802.00,2870.00,2033099.00,1132666.00
2016-05-23,2909.00,2917.00,2828.00,2836.00,2500679.00,1146101.00
2016-05-24,2841.00,2848.00,2719.00,2727.00,3320253.00,1179651.00
2016-05-25,2711.00,2804.00,2701.00,2790.00,3825808.00,1274162.00
2016-05-26,2811.00,2898.00,2800.00,2895.00,3352243.00,1291847.00
2016-05-27,2912.00,2915.00,2838.00,2871.00,3306780.00,1255428.00
2016-05-30,2864.00,2988.00,2855.00,2974.00,3762910.00,1296818.00
2016-05-31,2954.00,2971.00,2913.00,2930.00,2598492.00,1386628.00
2016-06-01,2931.00,2954.00,2866.00,2898.00,3029812.00,1393784.00
2016-06-02,2896.00,3003.00,2879.00,2977.00,3221911.00,1396853.00
2016-06-03,2988.00,3058.00,2971.00,3054.00,3114715.00,1419429.00
2016-06-06,3075.00,3100.00,3025.00,3098.00,2950440.00,1439110.00
2016-06-07,3107.00,3134.00,3086.00,3130.00,3176588.00,1440235.00
2016-06-08,3121.00,3176.00,3101.00,3173.00,2674414.00,1467964.00
2016-06-13,3309.00,3352.00,3255.00,3344.00,2198282.00,1403544.00
2016-06-14,3336.00,3367.00,3217.00,3234.00,3596174.00,1338047.00
2016-06-15,3256.00,3293.00,3207.00,3281.00,3285800.00,1216351.00
2016-06-16,3310.00,3337.00,3187.00,3200.00,3729249.00,1284506.00
2016-06-17,3206.00,3233.00,3154.00,3230.00,2941667.00,1261197.00
2016-06-20,3234.00,3274.00,3213.00,3256.00,2463272.00,1196271.00
2016-06-21,3240.00,3280.00,3224.00,3249.00,2224140.00,1227088.00
2016-06-22,3203.00,3267.00,3183.00,3263.00,2284966.00,1227868.00
2016-06-23,3233.00,3294.00,3195.00,3210.00,2804662.00,1208841.00
2016-06-24,3213.00,3256.00,3170.00,3177.00,3707160.00,1145014.00
2016-06-27,3155.00,3309.00,3147.00,3301.00,2468316.00,1075312.00
2016-06-28,3292.00,3425.00,3281.00,3403.00,3391691.00,1141741.00
2016-06-29,3415.00,3424.00,3335.00,3356.00,2767897.00,1155414.00
2016-06-30,3363.00,3403.00,3343.00,3394.00,2127233.00,1147676.00
2016-07-01,3387.00,3577.00,3356.00,3450.00,2406013.00,1128040.00
2016-07-04,3443.00,3523.00,3436.00,3459.00,2088586.00,1095775.00
2016-07-05,3466.00,3474.00,3274.00,3360.00,2868618.00,1053534.00
2016-07-06,3357.00,3395.00,3227.00,3254.00,3167771.00,966948.00
2016-07-07,3198.00,3320.00,3106.00,3143.00,3199748.00,876151.00
2016-07-08,3179.00,3203.00,3024.00,3075.00,2818219.00,832748.00
2016-07-11,3103.00,3193.00,3077.00,3146.00,2041462.00,692773.00
2016-07-12,3131.00,3193.00,3130.00,3184.00,1777673.00,701971.00
2016-07-13,3173.00,3317.00,3163.00,3294.00,2537675.00,669546.00
2016-07-14,3331.00,3353.00,3284.00,3324.00,1707854.00,665676.00
2016-07-15,3331.00,3341.00,3177.00,3200.00,1972600.00,670817.00
2016-07-18,3185.00,3228.00,3113.00,3127.00,1735718.00,651629.00
2016-07-19,3123.00,3201.00,3112.00,3166.00,1607708.00,642233.00
2016-07-20,3150.00,3157.00,3040.00,3075.00,1982470.00,637300.00
2016-07-21,3065.00,3081.00,3003.00,3063.00,1527054.00,624471.00
2016-07-22,3062.00,3084.00,2975.00,2989.00,1445315.00,588327.00
2016-07-25,2978.00,3002.00,2923.00,2992.00,1454668.00,585666.00
2016-07-26,3003.00,3017.00,2953.00,2997.00,1266552.00,576903.00
2016-07-27,2983.00,3040.00,2972.00,3006.00,1082524.00,542091.00
2016-07-28,3034.00,3065.00,3005.00,3019.00,1243898.00,506266.00
2016-07-29,3007.00,3038.00,2972.00,2977.00,939079.00,513492.00
2016-08-01,2991.00,3040.00,2980.00,3005.00,748625.00,504075.00
2016-08-02,2995.00,3005.00,2933.00,2969.00,757460.00,498018.00
2016-08-03,2896.00,2923.00,2871.00,2890.00,927512.00,460534.00
2016-08-04,2908.00,2917.00,2853.00,2912.00,1165945.00,760520.00
2016-08-05,2917.00,2961.00,2894.00,2951.00,1349244.00,802882.00
2016-08-08,2943.00,2997.00,2938.00,2962.00,1156692.00,857419.00
2016-08-09,2968.00,2993.00,2952.00,2976.00,950209.00,845789.00
2016-08-10,2961.00,3025.00,2960.00,3024.00,1097940.00,858765.00
2016-08-11,3015.00,3020.00,2984.00,3003.00,872612.00,895115.00
2016-08-12,3002.00,3033.00,3000.00,3011.00,994290.00,898959.00
2016-08-15,2997.00,3055.00,2960.00,3040.00,1301882.00,931907.00
2016-08-16,3037.00,3069.00,3032.00,3049.00,1048348.00,979883.00
2016-08-17,3053.00,3058.00,3029.00,3041.00,677851.00,1003235.00
2016-08-18,3043.00,3066.00,3006.00,3011.00,1060069.00,992321.00
2016-08-19,3014.00,3018.00,2962.00,2986.00,1219181.00,988176.00
2016-08-22,2987.00,3024.00,2968.00,3005.00,890114.00,979934.00
2016-08-23,2996.00,3042.00,2989.00,3006.00,786437.00,963250.00
2016-08-24,3016.00,3026.00,2978.00,2981.00,875386.00,971420.00
2016-08-25,2982.00,2989.00,2930.00,2968.00,1054450.00,978346.00
2016-08-26,2966.00,2974.00,2909.00,2918.00,1024210.00,987353.00
2016-08-29,2927.00,2938.00,2902.00,2921.00,764569.00,989262.00
2016-08-30,2915.00,2934.00,2908.00,2918.00,623849.00,979368.00
2016-08-31,2915.00,2928.00,2858.00,2862.00,1046356.00,987270.00
2016-09-01,2859.00,2889.00,2851.00,2881.00,779342.00,1005287.00
2016-09-02,2883.00,2914.00,2863.00,2884.00,815956.00,1016278.00
2016-09-05,2893.00,2916.00,2861.00,2870.00,838683.00,1003485.00
2016-09-06,2871.00,2898.00,2855.00,2886.00,598322.00,1038738.00
2016-09-07,2881.00,2949.00,2872.00,2940.00,1052269.00,1020739.00
2016-09-08,2950.00,2970.00,2938.00,2966.00,868312.00,1042891.00
2016-09-09,2976.00,2979.00,2943.00,2947.00,662734.00,1039230.00
2016-09-12,2941.00,2984.00,2931.00,2953.00,902281.00,1025551.00
2016-09-13,2962.00,2988.00,2914.00,2935.00,1078839.00,997679.00
2016-09-14,2919.00,2927.00,2882.00,2895.00,817515.00,959396.00
2016-09-19,2953.00,2992.00,2943.00,2980.00,626825.00,909687.00
2016-09-20,2982.00,2994.00,2958.00,2977.00,784426.00,915920.00
2016-09-21,2984.00,3021.00,2970.00,2990.00,915493.00,918799.00
2016-09-22,2995.00,3009.00,2934.00,2938.00,1120201.00,942198.00
2016-09-23,2954.00,2963.00,2904.00,2909.00,791154.00,929312.00
2016-09-26,2905.00,2916.00,2866.00,2866.00,779447.00,942297.00
