datetime,open,high,low,close,volume,open_oi
2016-01-05,4794.00,4840.00,4782.00,4836.00,678187.00,0.00
2016-01-06,4830.00,4842.00,4722.00,4724.00,758611.00,393367.00
2016-01-07,4720.00,4768.00,4682.00,4732.00,824004.00,370467.00
2016-01-08,4728.00,4778.00,4698.00,4728.00,705355.00,368274.00
2016-01-11,4736.00,4750.00,4662.00,4694.00,741687.00,366482.00
2016-01-12,4676.00,4702.00,4612.00,4624.00,675248.00,359754.00
2016-01-13,4638.00,4674.00,4626.00,4630.00,558221.00,350206.00
2016-01-14,4658.00,4684.00,4620.00,4640.00,614950.00,355115.00
2016-01-15,4628.00,4676.00,4612.00,4654.00,526750.00,349834.00
2016-01-18,4644.00,4724.00,4630.00,4696.00,684251.00,342416.00
2016-01-19,4690.00,4730.00,4676.00,4710.00,538508.00,359139.00
2016-01-20,4722.00,4740.00,4630.00,4632.00,554377.00,368041.00
2016-01-21,4632.00,4650.00,4540.00,4560.00,821164.00,344639.00
2016-01-22,4560.00,4642.00,4558.00,4632.00,651724.00,342186.00
2016-01-25,4654.00,4684.00,4642.00,4658.00,433302.00,314600.00
2016-01-26,4646.00,4696.00,4638.00,4692.00,515264.00,298234.00
2016-01-27,4704.00,4750.00,4686.00,4750.00,542266.00,291745.00
2016-01-28,4744.00,4772.00,4734.00,4742.00,471749.00,290135.00
2016-01-29,4734.00,4776.00,4690.00,4704.00,530872.00,315094.00
2016-02-01,4704.00,4726.00,4692.00,4720.00,357977.00,293519.00
2016-02-02,4714.00,4780.00,4702.00,4778.00,353268.00,291841.00
2016-02-03,4778.00,4784.00,4738.00,4768.00,350304.00,311410.00
2016-02-04,4776.00,4814.00,4764.00,4792.00,277240.00,295015.00
2016-02-05,4786.00,4848.00,4774.00,4834.00,244418.00,290128.00
2016-02-15,4930.00,5042.00,4888.00,4998.00,375734.00,288454.00
2016-02-16,4980.00,5030.00,4966.00,4988.00,409417.00,322446.00
2016-02-17,4974.00,4986.00,4938.00,4970.00,350991.00,326910.00
2016-02-18,4994.00,5050.00,4986.00,5000.00,527328.00,334739.00
2016-02-19,5006.00,5036.00,4974.00,5034.00,480903.00,336660.00
2016-02-22,5000.00,5086.00,4986.00,5072.00,547547.00,330409.00
2016-02-23,5046.00,5050.00,4978.00,5010.00,446510.00,352450.00
2016-02-24,4998.00,5022.00,4884.00,4902.00,565245.00,331954.00
2016-02-25,4886.00,4960.00,4878.00,4926.00,456528.00,336754.00
2016-02-26,4930.00,4942.00,4886.00,4934.00,440254.00,349079.00
2016-02-29,4930.00,4982.00,4892.00,4948.00,504568.00,355899.00
2016-03-01,4950.00,4962.00,4906.00,4952.00,441997.00,350267.00
2016-03-02,4966.00,5022.00,4908.00,4918.00,639730.00,336289.00
2016-03-03,4898.00,4966.00,4864.00,4962.00,598796.00,331364.00
2016-03-04,4976.00,5072.00,4970.00,5054.00,690110.00,310155.00
2016-03-07,5050.00,5168.00,5008.00,5112.00,657730.00,320544.00
2016-03-08,5106.00,5184.00,5050.00,5102.00,674907.00,287469.00
2016-03-09,5110.00,5142.00,5034.00,5142.00,377585.00,260962.00
2016-03-10,5158.00,5192.00,5062.00,5070.00,439250.00,267277.00
2016-03-11,5072.00,5156.00,5048.00,5118.00,330072.00,251751.00
2016-03-14,5218.00,5290.00,5204.00,5208.00,430849.00,229063.00
