datetime,open,high,low,close,volume,open_oi
2016-01-05,1778.00,1789.00,1761.00,1789.00,3206574.00,0.00
2016-01-06,1787.00,1790.00,1769.00,1775.00,2301831.00,1585941.00
2016-01-07,1767.00,1786.00,1766.00,1773.00,2326314.00,1550881.00
2016-01-08,1770.00,1775.00,1747.00,1759.00,3329019.00,1536994.00
2016-01-11,1757.00,1772.00,1748.00,1758.00,2540697.00,1442532.00
2016-01-12,1759.00,1765.00,1739.00,1741.00,2666511.00,1417129.00
2016-01-13,1740.00,1752.00,1735.00,1740.00,1795770.00,1462839.00
2016-01-14,1744.00,1759.00,1732.00,1758.00,2055150.00,1395778.00
2016-01-15,1758.00,1787.00,1754.00,1778.00,3324932.00,1425936.00
2016-01-18,1776.00,1832.00,1770.00,1827.00,4578121.00,1576338.00
2016-01-19,1824.00,1841.00,1817.00,1839.00,3483867.00,1676758.00
2016-01-20,1837.00,1842.00,1813.00,1818.00,3118863.00,1665866.00
2016-01-21,1815.00,1824.00,1805.00,1808.00,2746604.00,1593505.00
2016-01-22,1810.00,1856.00,1807.00,1823.00,3843501.00,1624196.00
2016-01-25,1827.00,1856.00,1823.00,1840.00,3825061.00,1769594.00
2016-01-26,1840.00,1848.00,1832.00,1845.00,2160673.00,1823437.00
2016-01-27,1852.00,1871.00,1840.00,1863.00,3508700.00,1811411.00
2016-01-28,1861.00,1862.00,1810.00,1815.00,3594634.00,1833544.00
2016-01-29,1811.00,1827.00,1805.00,1814.00,2969237.00,1663409.00
2016-02-01,1816.00,1845.00,1815.00,1819.00,2848665.00,1578894.00
2016-02-02,1818.00,1824.00,1801.00,1815.00,2045270.00,1455950.00
2016-02-03,1823.00,1830.00,1807.00,1826.00,1549811.00,1246645.00
2016-02-04,1827.00,1855.00,1825.00,1851.00,1757913.00,1153672.00
2016-02-05,1854.00,1862.00,1826.00,1843.00,1395030.00,1127175.00
2016-02-15,1835.00,1880.00,1833.00,1872.00,1340218.00,1044308.00
2016-02-16,1873.00,1880.00,1861.00,1865.00,1353912.00,1110774.00
2016-02-17,1866.00,1876.00,1855.00,1861.00,1598539.00,1139635.00
2016-02-18,1864.00,1871.00,1855.00,1870.00,1416542.00,1108096.00
2016-02-19,1874.00,1899.00,1864.00,1897.00,2129661.00,1129168.00
2016-02-22,1896.00,1968.00,1892.00,1962.00,3284268.00,1153689.00
2016-02-23,1958.00,1965.00,1921.00,1926.00,2559265.00,1237388.00
2016-02-24,1924.00,1937.00,1916.00,1929.00,1752334.00,1133769.00
2016-02-25,1930.00,1961.00,1924.00,1928.00,2162972.00,1121999.00
2016-02-26,1931.00,1939.00,1898.00,1922.00,2073066.00,1173879.00
2016-02-29,1923.00,1973.00,1912.00,1969.00,3039279.00,1136276.00
2016-03-01,1979.00,2010.00,1961.00,1994.00,3032125.00,1223238.00
2016-03-02,1997.00,2009.00,1984.00,1993.00,2791302.00,1228140.00
2016-03-03,1992.00,1999.00,1967.00,1974.00,2162829.00,1107752.00
2016-03-04,1973.00,1997.00,1952.00,1987.00,2375300.00,1024794.00
2016-03-07,1991.00,2073.00,1983.00,2073.00,1639558.00,921593.00
2016-03-08,2183.00,2194.00,2077.00,2194.00,3096299.00,862912.00
2016-03-09,2152.00,2163.00,2035.00,2104.00,4339036.00,796706.00
2016-03-10,2114.00,2201.00,2107.00,2130.00,5662649.00,644817.00
2016-03-11,2103.00,2133.00,2068.00,2085.00,2331587.00,755511.00
2016-03-14,2005.00,2076.00,1985.00,1986.00,3734287.00,645406.00
2016-03-15,1982.00,2006.00,1967.00,1972.00,3103316.00,938440.00
2016-03-16,1969.00,2011.00,1968.00,2008.00,2532059.00,991155.00
2016-03-17,2014.00,2086.00,2006.00,2078.00,4185051.00,1062842.00
2016-03-18,2083.00,2149.00,2073.00,2118.00,6035039.00,1103628.00
2016-03-21,2114.00,2210.00,2087.00,2147.00,7759777.00,1205821.00
2016-03-22,2151.00,2180.00,2144.00,2158.00,5117871.00,1357974.00
2016-03-23,2156.00,2240.00,2138.00,2193.00,7656768.00,1318842.00
2016-03-24,2194.00,2205.00,2106.00,2120.00,8808070.00,1294949.00
2016-03-25,2116.00,2185.00,2114.00,2184.00,6880553.00,1228183.00
2016-03-28,2193.00,2219.00,2127.00,2132.00,7641075.00,1298954.00
2016-03-29,2138.00,2172.00,2123.00,2159.00,6352090.00,1352239.00
2016-03-30,2161.00,2165.00,2091.00,2113.00,7710995.00,1416030.00
2016-03-31,2110.00,2140.00,2105.00,2136.00,5441381.00,1491134.00
2016-04-01,2143.00,2196.00,2136.00,2193.00,5666349.00,1403688.00
2016-04-05,2205.00,2209.00,2152.00,2194.00,3892335.00,1424806.00
2016-04-06,2191.00,2207.00,2162.00,2182.00,4754080.00,1570385.00
2016-04-07,2178.00,2212.00,2171.00,2191.00,4095615.00,1718636.00
2016-04-08,2184.00,2199.00,2178.00,2196.00,3759542.00,1785725.00
2016-04-11,2205.00,2315.00,2199.00,2293.00,6969716.00,1774028.00
2016-04-12,2303.00,2344.00,2287.00,2344.00,6444548.00,2090002.00
2016-04-13,2353.00,2435.00,2332.00,2353.00,9569011.00,2136531.00
2016-04-14,2355.00,2377.00,2315.00,2324.00,5725831.00,2064928.00
2016-04-15,2319.00,2340.00,2296.00,2300.00,5431656.00,2014493.00
2016-04-18,2288.00,2417.00,2287.00,2391.00,5912786.00,1855640.00
2016-04-19,2398.00,2494.00,2396.00,2494.00,7163517.00,1857705.00
2016-04-20,2505.00,2592.00,2501.00,2592.00,7843927.00,1766973.00
2016-04-21,2619.00,2787.00,2610.00,2750.00,11180720.00,1664559.00
2016-04-22,2735.00,2740.00,2591.00,2619.00,10964340.00,1398713.00
2016-04-25,2612.00,2781.00,2585.00,2643.00,9930357.00,1335716.00
2016-04-26,2614.00,2650.00,2518.00,2554.00,6914108.00,1389020.00
2016-04-27,2554.00,2587.00,2451.00,2500.00,7058983.00,1463649.00
2016-04-28,2508.00,2548.00,2456.00,2539.00,6295056.00,1446168.00
2016-04-29,2552.00,2590.00,2533.00,2580.00,5532928.00,1450741.00
2016-05-03,2539.00,2546.00,2432.00,2451.00,3043503.00,1352521.00
2016-05-04,2439.00,2448.00,2365.00,2381.00,4079278.00,1351021.00
2016-05-05,2380.00,2404.00,2299.00,2309.00,4421815.00,1451018.00
2016-05-06,2319.00,2339.00,2281.00,2336.00,4925893.00,1505129.00
