datetime,open,high,low,close,volume,open_oi
2016-01-05,10195.00,10235.00,10100.00,10190.00,317298.00,0.00
2016-01-06,10140.00,10225.00,10050.00,10070.00,332470.00,138274.00
2016-01-07,9990.00,10150.00,9960.00,10080.00,392045.00,145219.00
2016-01-08,10035.00,10195.00,9980.00,10090.00,344111.00,139315.00
2016-01-11,10060.00,10150.00,9700.00,9700.00,393719.00,136001.00
2016-01-12,9720.00,9780.00,9590.00,9640.00,331505.00,153135.00
2016-01-13,9745.00,9905.00,9715.00,9850.00,385925.00,151719.00
2016-01-14,9850.00,9930.00,9690.00,9885.00,350756.00,142301.00
2016-01-15,9865.00,9960.00,9765.00,9795.00,336432.00,142534.00
2016-01-18,9740.00,10195.00,9720.00,10150.00,447285.00,141799.00
2016-01-19,10140.00,10400.00,10050.00,10345.00,406798.00,126692.00
2016-01-20,10325.00,10385.00,10160.00,10265.00,336995.00,121908.00
2016-01-21,10200.00,10300.00,10165.00,10200.00,345503.00,121033.00
2016-01-22,10225.00,10450.00,10190.00,10385.00,373863.00,123197.00
2016-01-25,10435.00,10500.00,10260.00,10320.00,291630.00,121991.00
2016-01-26,10300.00,10325.00,10120.00,10155.00,277063.00,123696.00
2016-01-27,10205.00,10415.00,10190.00,10400.00,286866.00,124405.00
2016-01-28,10385.00,10415.00,10160.00,10190.00,257870.00,123652.00
2016-01-29,10195.00,10320.00,10130.00,10210.00,295257.00,121907.00
2016-02-01,10210.00,10340.00,10150.00,10190.00,277021.00,116077.00
2016-02-02,10195.00,10235.00,10060.00,10200.00,282840.00,116123.00
2016-02-03,10200.00,10220.00,10060.00,10155.00,234978.00,115972.00
2016-02-04,10160.00,10385.00,10140.00,10335.00,260391.00,114991.00
2016-02-05,10305.00,10320.00,10140.00,10195.00,171062.00,111672.00
2016-02-15,10085.00,10540.00,10055.00,10530.00,264401.00,101707.00
2016-02-16,10520.00,10660.00,10465.00,10535.00,282939.00,121465.00
2016-02-17,10525.00,10575.00,10415.00,10450.00,213993.00,129546.00
