datetime,open,high,low,close,volume,open_oi
2022-12-23,18170.00,18220.00,17060.00,17060.00,30354.00,0.00
2022-12-26,16940.00,17435.00,16825.00,17170.00,23991.00,7629.00
2022-12-27,17210.00,17410.00,17130.00,17165.00,13350.00,7922.00
2022-12-28,17100.00,17575.00,16960.00,17425.00,21736.00,8685.00
2022-12-29,17395.00,17665.00,17325.00,17515.00,12999.00,8197.00
2022-12-30,17535.00,18520.00,17535.00,17895.00,37967.00,7813.00
2023-01-03,17845.00,18040.00,17600.00,17770.00,15386.00,7708.00
2023-01-04,17700.00,18050.00,17555.00,17640.00,14744.00,7390.00
2023-01-05,17615.00,17800.00,17500.00,17585.00,10709.00,7502.00
2023-01-06,17535.00,17825.00,17530.00,17820.00,8604.00,7552.00
2023-01-09,17850.00,17920.00,17670.00,17695.00,12281.00,7712.00
2023-01-10,17705.00,17785.00,17460.00,17475.00,14945.00,12581.00
2023-01-11,17475.00,17555.00,17315.00,17350.00,20389.00,19286.00
2023-01-12,17330.00,17770.00,17270.00,17445.00,34783.00,28032.00
2023-01-13,17450.00,17690.00,17420.00,17520.00,31521.00,38561.00
2023-01-16,17480.00,17670.00,17450.00,17515.00,23451.00,52350.00
2023-01-17,17540.00,17800.00,17530.00,17615.00,37276.00,59021.00
2023-01-18,17660.00,17825.00,17620.00,17710.00,43134.00,73217.00
2023-01-19,17730.00,18375.00,17650.00,18330.00,45507.00,81677.00
2023-01-20,18380.00,18625.00,18105.00,18590.00,54931.00,89496.00
2023-01-30,18700.00,18720.00,17980.00,18075.00,32749.00,91870.00
2023-01-31,18075.00,18260.00,17820.00,17860.00,36851.00,94836.00
2023-02-01,17850.00,18060.00,17660.00,17900.00,48186.00,99965.00
2023-02-02,17790.00,18020.00,17575.00,17625.00,46937.00,103413.00
2023-02-03,17665.00,17820.00,17500.00,17745.00,61844.00,105227.00
2023-02-06,17690.00,17820.00,17625.00,17765.00,24588.00,84586.00
2023-02-07,17785.00,17850.00,17655.00,17715.00,24892.00,67793.00
2023-02-08,17740.00,18025.00,17680.00,17875.00,36280.00,57889.00
2023-02-09,17870.00,18105.00,17820.00,18020.00,23555.00,51702.00
2023-02-10,17985.00,18105.00,17775.00,17955.00,19541.00,53909.00
2023-02-13,17985.00,18080.00,17850.00,17920.00,17928.00,54190.00
2023-02-14,17940.00,18035.00,17900.00,17945.00,18859.00,53361.00
2023-02-15,18000.00,18110.00,17865.00,17885.00,25670.00,51783.00
2023-02-16,17900.00,17950.00,17585.00,17630.00,32027.00,50866.00
2023-02-17,17630.00,17750.00,17360.00,17375.00,27627.00,47060.00
2023-02-20,17305.00,17495.00,17260.00,17470.00,32048.00,47877.00
2023-02-21,17555.00,17800.00,17550.00,17675.00,34830.00,48666.00
2023-02-22,17670.00,17755.00,17505.00,17575.00,41633.00,46597.00
2023-02-23,17600.00,17700.00,17570.00,17620.00,39303.00,47406.00
2023-02-24,17635.00,17680.00,17555.00,17635.00,44344.00,46217.00
2023-02-27,17600.00,17745.00,17460.00,17480.00,42878.00,45607.00
2023-02-28,17485.00,17580.00,17420.00,17520.00,68158.00,46391.00
2023-03-01,17530.00,17595.00,17485.00,17540.00,29733.00,44252.00
2023-03-02,17560.00,17620.00,17510.00,17525.00,30400.00,45681.00
2023-03-03,17510.00,17560.00,17480.00,17490.00,53516.00,47030.00
2023-03-06,17490.00,17520.00,17290.00,17300.00,36285.00,44830.00
2023-03-07,17300.00,17410.00,17100.00,17130.00,38319.00,47066.00
2023-03-08,17230.00,17330.00,17010.00,17175.00,23780.00,50572.00
2023-03-09,17190.00,17220.00,17010.00,17075.00,38897.00,50393.00
2023-03-10,17075.00,17115.00,16865.00,16960.00,42969.00,51650.00
2023-03-13,16955.00,17040.00,16820.00,16970.00,37179.00,51827.00
2023-03-14,16940.00,17060.00,16860.00,16905.00,27612.00,52516.00
2023-03-15,16885.00,16960.00,16710.00,16740.00,28714.00,51114.00
2023-03-16,16685.00,16710.00,15950.00,15975.00,45330.00,51155.00
2023-03-17,16060.00,16310.00,16010.00,16120.00,44038.00,53627.00
2023-03-20,16170.00,16295.00,16020.00,16080.00,34958.00,54550.00
2023-03-21,16240.00,16330.00,15785.00,15870.00,45907.00,52766.00
2023-03-22,15870.00,16030.00,15745.00,15965.00,49933.00,58019.00
2023-03-23,15990.00,16070.00,15850.00,15895.00,34570.00,58933.00
2023-03-24,15920.00,15980.00,15750.00,15895.00,42570.00,58690.00
2023-03-27,15895.00,16065.00,15880.00,15915.00,34828.00,60439.00
2023-03-28,15960.00,15995.00,15865.00,15910.00,42609.00,60151.00
2023-03-29,15660.00,15890.00,15480.00,15750.00,55338.00,60224.00
2023-03-30,15710.00,15790.00,15650.00,15730.00,34111.00,61440.00
2023-03-31,15740.00,15820.00,15490.00,15515.00,54924.00,62460.00
2023-04-03,15565.00,15600.00,15310.00,15310.00,53344.00,65673.00
2023-04-04,15300.00,15310.00,14990.00,15070.00,62029.00,66447.00
2023-04-06,15050.00,15335.00,14710.00,15225.00,90203.00,68747.00
2023-04-07,15250.00,15310.00,15120.00,15225.00,56010.00,67573.00
2023-04-10,15260.00,15290.00,14865.00,14930.00,56688.00,69080.00
2023-04-11,14940.00,15050.00,14830.00,14965.00,44975.00,68942.00
2023-04-12,14980.00,15310.00,14980.00,15155.00,66574.00,68790.00
2023-04-13,15150.00,15230.00,15025.00,15065.00,47834.00,72907.00
2023-04-14,15100.00,15220.00,15015.00,15085.00,65570.00,73790.00
2023-04-17,15120.00,15400.00,15095.00,15395.00,80138.00,75421.00
2023-04-18,15445.00,15545.00,15300.00,15480.00,73674.00,73197.00
2023-04-19,15540.00,15660.00,15410.00,15440.00,69044.00,71320.00
2023-04-20,15400.00,15450.00,15150.00,15160.00,73032.00,67939.00
2023-04-21,15105.00,15225.00,15035.00,15140.00,55796.00,71782.00
2023-04-24,15065.00,15295.00,15015.00,15120.00,49468.00,69726.00
2023-04-25,15160.00,15410.00,15160.00,15400.00,53476.00,72000.00
2023-04-26,15370.00,15550.00,15300.00,15325.00,67064.00,72600.00
2023-04-27,15300.00,15475.00,15125.00,15175.00,59387.00,72262.00
2023-04-28,15145.00,15275.00,15090.00,15190.00,50403.00,66623.00
2023-05-04,15160.00,15325.00,15120.00,15190.00,42299.00,60818.00
2023-05-05,15160.00,15295.00,15010.00,15225.00,57306.00,65291.00
2023-05-08,15300.00,15360.00,15205.00,15235.00,44316.00,69038.00
2023-05-09,15225.00,15240.00,15070.00,15100.00,44109.00,70272.00
2023-05-10,15075.00,15160.00,14535.00,14565.00,110812.00,70881.00
2023-05-11,14500.00,14520.00,14320.00,14400.00,77693.00,80773.00
2023-05-12,14380.00,14450.00,14150.00,14150.00,62643.00,81343.00
2023-05-15,14180.00,14270.00,14040.00,14085.00,57217.00,82878.00
2023-05-16,14095.00,14215.00,14020.00,14050.00,53521.00,82520.00
2023-05-17,14025.00,14080.00,13815.00,13860.00,64711.00,84450.00
2023-05-18,13865.00,13920.00,13550.00,13620.00,88463.00,86748.00
2023-05-19,13505.00,13520.00,13170.00,13250.00,99229.00,87886.00
2023-05-22,13175.00,13190.00,12695.00,12880.00,112779.00,90555.00
2023-05-23,12880.00,13280.00,12880.00,13150.00,95956.00,89892.00
2023-05-24,13105.00,13275.00,13010.00,13090.00,72858.00,86235.00
2023-05-25,13025.00,13035.00,12585.00,12635.00,89371.00,85262.00
2023-05-26,12580.00,12985.00,12505.00,12860.00,102220.00,88354.00
2023-05-29,12935.00,13230.00,12760.00,12880.00,74437.00,87292.00
2023-05-30,12875.00,12945.00,12785.00,12880.00,55542.00,88566.00
2023-05-31,12770.00,12860.00,12700.00,12815.00,63175.00,88362.00
2023-06-01,12885.00,13030.00,12875.00,12975.00,68167.00,82346.00
2023-06-02,13020.00,13365.00,12970.00,13220.00,92383.00,81666.00
2023-06-05,13270.00,13295.00,12915.00,13020.00,61490.00,76895.00
2023-06-06,13020.00,13135.00,12950.00,12990.00,54538.00,77159.00
2023-06-07,13020.00,13050.00,12610.00,12705.00,68878.00,79501.00
