datetime,open,high,low,close,volume,open_oi
2018-11-27,5828.00,5830.00,5382.00,5382.00,235562.00,0.00
2018-11-28,5288.00,5314.00,5142.00,5184.00,513604.00,39135.00
2018-11-29,5146.00,5294.00,5122.00,5188.00,492754.00,50756.00
2018-11-30,5212.00,5220.00,5114.00,5148.00,448753.00,55416.00
2018-12-03,5148.00,5262.00,4970.00,4978.00,707798.00,67419.00
2018-12-04,4992.00,5114.00,4978.00,5058.00,564800.00,103967.00
2018-12-05,5064.00,5158.00,5040.00,5140.00,747159.00,94006.00
2018-12-06,5160.00,5264.00,5128.00,5132.00,810983.00,83246.00
2018-12-07,5116.00,5208.00,5086.00,5138.00,647521.00,86279.00
2018-12-10,5140.00,5224.00,5136.00,5166.00,547106.00,87746.00
2018-12-11,5160.00,5198.00,5074.00,5094.00,511056.00,87446.00
2018-12-12,5124.00,5152.00,5104.00,5138.00,299352.00,89463.00
2018-12-13,5144.00,5158.00,5094.00,5126.00,344968.00,80384.00
2018-12-14,5122.00,5164.00,5104.00,5132.00,287836.00,74358.00
2018-12-17,5118.00,5150.00,5108.00,5132.00,164445.00,70668.00
2018-12-18,5136.00,5162.00,5112.00,5126.00,147250.00,71341.00
2018-12-19,5128.00,5144.00,5032.00,5062.00,231305.00,72427.00
2018-12-20,5068.00,5082.00,5044.00,5066.00,101857.00,77452.00
2018-12-21,5066.00,5072.00,5028.00,5048.00,134932.00,73647.00
2018-12-24,5050.00,5064.00,4960.00,4982.00,197649.00,74368.00
2018-12-25,4970.00,5038.00,4966.00,5000.00,190299.00,90488.00
2018-12-26,5002.00,5012.00,4916.00,4938.00,236679.00,79976.00
2018-12-27,4950.00,4998.00,4940.00,4952.00,120875.00,85902.00
2018-12-28,4948.00,5058.00,4938.00,5048.00,104579.00,77630.00
2019-01-02,5040.00,5118.00,5010.00,5082.00,159870.00,67833.00
2019-01-03,5068.00,5108.00,5060.00,5082.00,123092.00,81279.00
2019-01-04,5086.00,5236.00,5072.00,5140.00,298668.00,77591.00
2019-01-07,5150.00,5186.00,5114.00,5170.00,166369.00,72931.00
2019-01-08,5166.00,5192.00,5138.00,5158.00,110825.00,68652.00
2019-01-09,5162.00,5340.00,5156.00,5304.00,343171.00,67611.00
2019-01-10,5306.00,5362.00,5260.00,5272.00,343192.00,75911.00
2019-01-11,5276.00,5328.00,5252.00,5324.00,200810.00,72951.00
2019-01-14,5322.00,5378.00,5280.00,5294.00,252886.00,73019.00
2019-01-15,5294.00,5302.00,5214.00,5242.00,231706.00,71080.00
2019-01-16,5240.00,5320.00,5232.00,5318.00,196890.00,69952.00
2019-01-17,5310.00,5342.00,5284.00,5316.00,212303.00,68805.00
2019-01-18,5302.00,5418.00,5260.00,5380.00,356590.00,72833.00
2019-01-21,5384.00,5472.00,5372.00,5448.00,308537.00,72998.00
2019-01-22,5442.00,5530.00,5416.00,5430.00,337501.00,73295.00
2019-01-23,5430.00,5466.00,5402.00,5442.00,223796.00,69612.00
2019-01-24,5446.00,5480.00,5364.00,5394.00,263430.00,71139.00
2019-01-25,5390.00,5456.00,5358.00,5410.00,214968.00,71580.00
2019-01-28,5402.00,5430.00,5316.00,5326.00,227796.00,65114.00
2019-01-29,5324.00,5360.00,5308.00,5320.00,151765.00,66343.00
2019-01-30,5330.00,5372.00,5310.00,5316.00,131572.00,64019.00
2019-01-31,5324.00,5430.00,5280.00,5426.00,225134.00,57607.00
2019-02-01,5426.00,5540.00,5410.00,5474.00,270686.00,53328.00
2019-02-11,5464.00,5516.00,5392.00,5412.00,108063.00,41584.00
2019-02-12,5424.00,5514.00,5418.00,5506.00,171931.00,45303.00
2019-02-13,5534.00,5538.00,5434.00,5458.00,192924.00,59693.00
2019-02-14,5454.00,5506.00,5386.00,5414.00,216429.00,56046.00
2019-02-15,5418.00,5430.00,5352.00,5394.00,168860.00,61315.00
2019-02-18,5408.00,5450.00,5376.00,5438.00,142878.00,59192.00
2019-02-19,5440.00,5516.00,5428.00,5516.00,159642.00,58270.00
2019-02-20,5528.00,5554.00,5464.00,5496.00,160532.00,60422.00
2019-02-21,5494.00,5622.00,5480.00,5614.00,267070.00,62538.00
2019-02-22,5606.00,5686.00,5584.00,5670.00,280478.00,85343.00
2019-02-25,5678.00,5684.00,5606.00,5612.00,192668.00,97257.00
2019-02-26,5612.00,5626.00,5550.00,5584.00,198313.00,85290.00
2019-02-27,5590.00,5610.00,5542.00,5566.00,164294.00,76462.00
2019-02-28,5572.00,5606.00,5518.00,5548.00,177429.00,72100.00
2019-03-01,5554.00,5614.00,5540.00,5596.00,164307.00,71608.00
2019-03-04,5606.00,5636.00,5486.00,5552.00,312055.00,71048.00
2019-03-05,5548.00,5588.00,5524.00,5560.00,170610.00,69590.00
2019-03-06,5560.00,5606.00,5546.00,5556.00,173968.00,67666.00
2019-03-07,5552.00,5572.00,5464.00,5470.00,172024.00,68531.00
2019-03-08,5476.00,5486.00,5380.00,5408.00,197424.00,72223.00
2019-03-11,5386.00,5458.00,5364.00,5432.00,117476.00,70239.00
2019-03-12,5430.00,5452.00,5410.00,5428.00,90687.00,67167.00
2019-03-13,5436.00,5468.00,5396.00,5412.00,141724.00,70201.00
2019-03-14,5410.00,5448.00,5378.00,5384.00,130665.00,66043.00
2019-03-15,5378.00,5438.00,5356.00,5418.00,105821.00,66645.00
2019-03-18,5418.00,5456.00,5396.00,5430.00,101584.00,65156.00
2019-03-19,5430.00,5480.00,5410.00,5446.00,102861.00,63970.00
2019-03-20,5446.00,5468.00,5310.00,5322.00,139818.00,61020.00
2019-03-21,5326.00,5346.00,5304.00,5330.00,78669.00,63675.00
2019-03-22,5334.00,5350.00,5286.00,5336.00,73113.00,64558.00
2019-03-25,5334.00,5344.00,5286.00,5312.00,76606.00,63944.00
2019-03-26,5318.00,5348.00,5310.00,5320.00,53866.00,61372.00
2019-03-27,5330.00,5360.00,5290.00,5320.00,76369.00,59742.00
2019-03-28,5324.00,5344.00,5220.00,5234.00,113455.00,58755.00
2019-03-29,5236.00,5356.00,5218.00,5322.00,96458.00,59226.00
2019-04-01,5332.00,5378.00,5294.00,5346.00,74219.00,51685.00
2019-04-02,5340.00,5376.00,5322.00,5338.00,51726.00,51445.00
2019-04-03,5340.00,5432.00,5306.00,5430.00,95585.00,51077.00
2019-04-04,5430.00,5438.00,5390.00,5414.00,47703.00,48239.00
2019-04-08,5422.00,5470.00,5390.00,5450.00,47214.00,46865.00
2019-04-09,5458.00,5470.00,5394.00,5424.00,51290.00,43320.00
2019-04-10,5422.00,5456.00,5370.00,5430.00,70628.00,42001.00
2019-04-11,5428.00,5472.00,5384.00,5460.00,61556.00,41993.00
2019-04-12,5456.00,5492.00,5432.00,5434.00,69422.00,42755.00
2019-04-15,5442.00,5508.00,5410.00,5420.00,70780.00,40801.00
2019-04-16,5416.00,5450.00,5386.00,5396.00,63430.00,41662.00
2019-04-17,5400.00,5414.00,5350.00,5356.00,60393.00,43361.00
2019-04-18,5364.00,5382.00,5336.00,5362.00,48821.00,44820.00
2019-04-19,5332.00,5404.00,5316.00,5402.00,56960.00,42371.00
2019-04-22,5404.00,5430.00,5388.00,5418.00,46384.00,38565.00
2019-04-23,5418.00,5426.00,5350.00,5350.00,53645.00,36910.00
2019-04-24,5358.00,5382.00,5320.00,5368.00,51204.00,37834.00
2019-04-25,5360.00,5376.00,5342.00,5356.00,35223.00,35031.00
2019-04-26,5346.00,5356.00,5270.00,5290.00,65799.00,33732.00
2019-04-29,5294.00,5300.00,5262.00,5298.00,38014.00,29996.00
2019-04-30,5288.00,5300.00,5242.00,5244.00,33939.00,28833.00
2019-05-06,5146.00,5280.00,5030.00,5130.00,28254.00,25852.00
2019-05-07,5136.00,5196.00,5122.00,5144.00,33582.00,23616.00
2019-05-08,5142.00,5186.00,5136.00,5140.00,24368.00,23185.00
2019-05-09,5148.00,5178.00,5080.00,5110.00,38053.00,21870.00
2019-05-10,5060.00,5094.00,5054.00,5080.00,22348.00,21494.00
2019-05-13,5082.00,5164.00,5034.00,5130.00,77912.00,34904.00
2019-05-14,5126.00,5134.00,4922.00,5002.00,108787.00,40553.00
2019-05-15,5012.00,5018.00,4954.00,4996.00,47907.00,40178.00
2019-05-16,4988.00,5040.00,4984.00,4996.00,55009.00,41421.00
2019-05-17,5006.00,5020.00,4902.00,4936.00,103340.00,44771.00
2019-05-20,4942.00,4984.00,4916.00,4940.00,52713.00,53464.00
2019-05-21,4940.00,4976.00,4930.00,4964.00,46391.00,56490.00
2019-05-22,4968.00,4972.00,4862.00,4874.00,75315.00,57075.00
2019-05-23,4880.00,4904.00,4822.00,4880.00,77144.00,59548.00
2019-05-24,4882.00,4946.00,4842.00,4882.00,111234.00,61256.00
2019-05-27,4886.00,4918.00,4836.00,4898.00,85609.00,62727.00
2019-05-28,4884.00,4940.00,4830.00,4900.00,103562.00,63055.00
2019-05-29,4908.00,4964.00,4894.00,4934.00,132740.00,68161.00
