品种,名称,交易所,总收益率%,年化收益率%,最大回撤%,夏普比率,索提诺比率,卡玛比率,总交易,胜率%,利润因子,总盈亏
AP,苹果,CZCE,-3.72,-0.55,12.37,-0.777,-0.642,-0.044,32,34.38,0.77,-37170.0
CF,棉花,CZCE,5.81,0.82,11.26,-0.252,-0.219,0.073,28,39.29,1.37,58100.0
FG,玻璃,CZCE,18.95,2.55,5.12,0.134,0.127,0.499,32,37.5,2.54,189540.0
MA,甲醇,CZCE,-6.42,-0.96,12.91,-0.623,-0.559,-0.074,34,17.65,0.69,-64170.0
SA,纯碱,CZCE,13.57,2.15,14.5,0.027,0.026,0.148,28,46.43,1.78,135680.0
SR,白糖,CZCE,-8.1,-1.22,9.29,-1.074,-0.735,-0.131,23,26.09,0.41,-81000.0
TA,精对苯二甲酸,CZCE,3.99,0.57,15.25,-0.214,-0.203,0.037,37,18.92,1.16,39910.0
UR,尿素,CZCE,-25.42,-4.55,27.03,-1.398,-1.169,-0.168,35,11.43,0.16,-254200.0
ag,白银,SHFE,54.78,6.55,23.31,0.462,0.344,0.281,29,27.59,3.77,547845.0
al,铝,SHFE,13.4,1.84,5.33,-0.034,-0.027,0.346,26,42.31,2.39,134025.0
fu,燃料油,SHFE,-0.19,-0.03,10.5,-0.305,-0.221,-0.003,33,30.3,0.99,-1930.0
hc,热轧卷板,SHFE,19.8,2.66,5.92,0.143,0.124,0.449,30,33.33,2.55,198000.0
jd,鸡蛋,DCE,-4.55,-0.68,8.27,-0.778,-0.689,-0.082,34,29.41,0.74,-45530.0
lh,生猪,DCE,43.27,7.57,19.6,0.491,0.425,0.386,25,32.0,2.25,432704.0
m,豆粕,DCE,3.58,0.51,8.8,-0.347,-0.334,0.058,32,31.25,1.24,35800.0
p,棕榈油,DCE,-0.62,-0.09,9.71,-0.4,-0.336,-0.009,36,27.78,0.97,-6220.0
rb,螺纹钢,SHFE,2.44,0.35,10.21,-0.325,-0.292,0.034,32,34.38,1.12,24390.0
ru,天然橡胶,SHFE,-14.57,-2.26,24.83,-0.737,-0.61,-0.091,36,27.78,0.48,-145700.0
si,工业硅,GFEX,21.71,6.65,3.91,1.045,1.004,1.7,10,50.0,11.77,217100.0
sp,纸浆,SHFE,9.15,1.28,8.81,-0.165,-0.155,0.145,33,36.36,1.52,91540.0
