date,total_equity,cash,unrealized_pnl,daily_return,cumulative_return,position_lots
2019-03-13,1000000.0,1000000.0,0.0,,0.0,0
2019-03-14,1000000.0,1000000.0,0.0,0.0,0.0,0
2019-03-15,1000000.0,1000000.0,0.0,0.0,0.0,0
2019-03-18,1000000.0,1000000.0,0.0,0.0,0.0,0
2019-03-19,1000000.0,1000000.0,0.0,0.0,0.0,0
2019-03-20,1000000.0,1000000.0,0.0,0.0,0.0,0
2019-03-21,1000000.0,1000000.0,0.0,0.0,0.0,0
2019-03-22,1000000.0,1000000.0,0.0,0.0,0.0,0
2019-03-25,1000000.0,1000000.0,0.0,0.0,0.0,0
2019-03-26,1000000.0,1000000.0,0.0,0.0,0.0,0
2019-03-27,1000000.0,1000000.0,0.0,0.0,0.0,0
2019-03-28,1000000.0,1000000.0,0.0,0.0,0.0,0
2019-03-29,1000000.0,1000000.0,0.0,0.0,0.0,0
2019-04-01,1000000.0,1000000.0,0.0,0.0,0.0,0
2019-04-02,1000000.0,1000000.0,0.0,0.0,0.0,0
2019-04-03,1000000.0,1000000.0,0.0,0.0,0.0,0
2019-04-04,1000000.0,1000000.0,0.0,0.0,0.0,0
2019-04-08,1000000.0,1000000.0,0.0,0.0,0.0,0
2019-04-09,1000000.0,1000000.0,0.0,0.0,0.0,0
2019-04-10,1000440.0,1000000.0,440.0,0.00043999999999999595,0.00043999999999999595,2
2019-04-11,1000600.0,1000000.0,600.0,0.00015992963096245205,0.0005999999999999339,2
2019-04-12,996680.0,1000000.0,-3320.0,-0.003917649410353774,-0.0033199999999999896,2
2019-04-15,996820.0,1000000.0,-3180.0,0.00014046634827624693,-0.0031799999999999606,2
2019-04-16,996640.0,996640.0,0.0,-0.0001805742260387877,-0.0033600000000000296,0
2019-04-17,996640.0,996640.0,0.0,0.0,-0.0033600000000000296,0
2019-04-18,996640.0,996640.0,0.0,0.0,-0.0033600000000000296,0
2019-04-19,996640.0,996640.0,0.0,0.0,-0.0033600000000000296,0
2019-04-22,996640.0,996640.0,0.0,0.0,-0.0033600000000000296,0
2019-04-23,996640.0,996640.0,0.0,0.0,-0.0033600000000000296,0
2019-04-24,996640.0,996640.0,0.0,0.0,-0.0033600000000000296,0
2019-04-25,996640.0,996640.0,0.0,0.0,-0.0033600000000000296,0
2019-04-26,996640.0,996640.0,0.0,0.0,-0.0033600000000000296,0
2019-04-29,996640.0,996640.0,0.0,0.0,-0.0033600000000000296,0
2019-04-30,996640.0,996640.0,0.0,0.0,-0.0033600000000000296,0
2019-05-06,996640.0,996640.0,0.0,0.0,-0.0033600000000000296,0
2019-05-07,996640.0,996640.0,0.0,0.0,-0.0033600000000000296,0
2019-05-08,996640.0,996640.0,0.0,0.0,-0.0033600000000000296,0
2019-05-09,996640.0,996640.0,0.0,0.0,-0.0033600000000000296,0
2019-05-10,996640.0,996640.0,0.0,0.0,-0.0033600000000000296,0
2019-05-13,996640.0,996640.0,0.0,0.0,-0.0033600000000000296,0
2019-05-14,996640.0,996640.0,0.0,0.0,-0.0033600000000000296,0
2019-05-15,996640.0,996640.0,0.0,0.0,-0.0033600000000000296,0
2019-05-16,996640.0,996640.0,0.0,0.0,-0.0033600000000000296,0
2019-05-17,996640.0,996640.0,0.0,0.0,-0.0033600000000000296,0
2019-05-20,996640.0,996640.0,0.0,0.0,-0.0033600000000000296,0
2019-05-21,996640.0,996640.0,0.0,0.0,-0.0033600000000000296,0
