date,symbol,trade_type,direction,volume,price,pnl,units_before,units_after,remark
2019-04-10,AP,ENTRY,LONG,2,11878.0,0.0,0,1,开仓 LONG 1U@11878.0 vol=2
2019-04-16,AP,STOP_LOSS,LONG,2,7682.0,-3360.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-3360.00
2019-09-16,AP,ENTRY,SHORT,1,8325.0,0.0,0,1,开仓 SHORT 1U@8325.0 vol=1
2019-09-19,AP,ADD_ON,SHORT,2,8024.0,0.0,1,3,加仓 +2U@8024.0 vol=2
2019-10-23,AP,STOP_LOSS,SHORT,3,7900.0,6730.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=6730.00
2019-12-05,AP,ENTRY,LONG,1,8407.0,0.0,0,1,开仓 LONG 1U@8407.0 vol=1
2019-12-11,AP,ADD_ON,LONG,1,8489.0,0.0,1,2,加仓 +1U@8489.0 vol=1
2019-12-16,AP,ADD_ON,LONG,1,8569.0,0.0,2,3,加仓 +1U@8569.0 vol=1
2019-12-18,AP,STOP_LOSS,LONG,3,8240.0,-7450.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-7450.00
2020-01-06,AP,ENTRY,SHORT,1,7567.0,0.0,0,1,开仓 SHORT 1U@7567.0 vol=1
2020-01-07,AP,ADD_ON,SHORT,1,7478.0,0.0,1,2,加仓 +1U@7478.0 vol=1
2020-01-10,AP,ADD_ON,SHORT,1,7359.0,0.0,2,3,加仓 +1U@7359.0 vol=1
2020-04-21,AP,STOP_LOSS,SHORT,3,7996.0,31950.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=31950.00
2020-04-23,AP,ENTRY,LONG,1,8255.0,0.0,0,1,开仓 LONG 1U@8255.0 vol=1
2020-04-27,AP,ADD_ON,LONG,2,9035.0,0.0,1,3,加仓 +2U@9035.0 vol=2
2020-05-29,AP,STOP_LOSS,LONG,3,8731.0,-1320.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-1320.00
2020-06-22,AP,ENTRY,SHORT,1,8021.0,0.0,0,1,开仓 SHORT 1U@8021.0 vol=1
2020-06-29,AP,ADD_ON,SHORT,1,7937.0,0.0,1,2,加仓 +1U@7937.0 vol=1
2020-07-13,AP,ADD_ON,SHORT,1,7878.0,0.0,2,3,加仓 +1U@7878.0 vol=1
2020-09-09,AP,STOP_LOSS,SHORT,3,7230.0,21460.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=21460.00
2020-10-12,AP,ENTRY,LONG,1,8102.0,0.0,0,1,开仓 LONG 1U@8102.0 vol=1
2020-10-16,AP,ADD_ON,LONG,1,8296.0,0.0,1,2,加仓 +1U@8296.0 vol=1
2020-10-27,AP,STOP_LOSS,LONG,2,7556.0,-12860.0,2,0,平仓 STOP_LOSS LONG 2U PnL=-12860.00
2020-12-01,AP,ENTRY,SHORT,1,6857.0,0.0,0,1,开仓 SHORT 1U@6857.0 vol=1
2020-12-03,AP,ADD_ON,SHORT,2,6721.0,0.0,1,3,加仓 +2U@6721.0 vol=2
2020-12-29,AP,STOP_LOSS,SHORT,3,6753.0,400.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=400.00
2021-01-12,AP,ENTRY,SHORT,1,6039.0,0.0,0,1,开仓 SHORT 1U@6039.0 vol=1
2021-02-24,AP,STOP_LOSS,SHORT,1,6266.0,-2270.0,1,0,平仓 STOP_LOSS SHORT 1U PnL=-2270.00
2021-03-03,AP,ENTRY,SHORT,1,5683.0,0.0,0,1,开仓 SHORT 1U@5683.0 vol=1
2021-03-05,AP,ADD_ON,SHORT,2,5547.0,0.0,1,3,加仓 +2U@5547.0 vol=2
2021-03-30,AP,STOP_LOSS,SHORT,3,6091.0,13360.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=13360.00
2021-05-24,AP,ENTRY,LONG,1,6476.0,0.0,0,1,开仓 LONG 1U@6476.0 vol=1
2021-06-29,AP,STOP_LOSS,LONG,1,6210.0,-2660.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-2660.00
2021-07-26,AP,ENTRY,SHORT,2,5855.0,0.0,0,1,开仓 SHORT 1U@5855.0 vol=2
2021-08-13,AP,STOP_LOSS,SHORT,2,6102.0,-4940.0,1,0,平仓 STOP_LOSS SHORT 1U PnL=-4940.00
2021-09-09,AP,ENTRY,SHORT,2,5436.0,0.0,0,1,开仓 SHORT 1U@5436.0 vol=2
2021-09-23,AP,STOP_LOSS,SHORT,2,6108.0,-13440.0,1,0,平仓 STOP_LOSS SHORT 1U PnL=-13440.00
2021-10-13,AP,ENTRY,LONG,1,7251.0,0.0,0,1,开仓 LONG 1U@7251.0 vol=1
2021-10-19,AP,ADD_ON,LONG,1,7470.0,0.0,1,2,加仓 +1U@7470.0 vol=1
2021-10-21,AP,ADD_ON,LONG,1,7639.0,0.0,2,3,加仓 +1U@7639.0 vol=1
2021-12-09,AP,STOP_LOSS,LONG,3,7970.0,15500.0,3,0,平仓 STOP_LOSS LONG 3U PnL=15500.00
2022-01-24,AP,ENTRY,LONG,1,8949.0,0.0,0,1,开仓 LONG 1U@8949.0 vol=1
2022-02-08,AP,ADD_ON,LONG,2,9282.0,0.0,1,3,加仓 +2U@9282.0 vol=2
2022-03-14,AP,STOP_LOSS,LONG,3,9601.0,12900.0,3,0,平仓 STOP_LOSS LONG 3U PnL=12900.00
2022-09-26,AP,ENTRY,SHORT,1,8243.0,0.0,0,1,开仓 SHORT 1U@8243.0 vol=1
2022-10-11,AP,ADD_ON,SHORT,1,8035.0,0.0,1,2,加仓 +1U@8035.0 vol=1
2022-10-12,AP,ADD_ON,SHORT,1,7958.0,0.0,2,3,加仓 +1U@7958.0 vol=1
2022-10-20,AP,STOP_LOSS,SHORT,3,8527.0,-13450.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-13450.00
2022-11-22,AP,ENTRY,SHORT,1,7990.0,0.0,0,1,开仓 SHORT 1U@7990.0 vol=1
2022-12-08,AP,STOP_LOSS,SHORT,1,8336.0,-3460.0,1,0,平仓 STOP_LOSS SHORT 1U PnL=-3460.00
2023-02-22,AP,ENTRY,LONG,1,9025.0,0.0,0,1,开仓 LONG 1U@9025.0 vol=1
2023-02-24,AP,ADD_ON,LONG,1,9151.0,0.0,1,2,加仓 +1U@9151.0 vol=1
2023-02-27,AP,ADD_ON,LONG,1,9206.0,0.0,2,3,加仓 +1U@9206.0 vol=1
2023-03-15,AP,STOP_LOSS,LONG,3,8826.0,-9040.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-9040.00
2023-03-29,AP,ENTRY,SHORT,1,8257.0,0.0,0,1,开仓 SHORT 1U@8257.0 vol=1
2023-04-06,AP,ADD_ON,SHORT,1,8100.0,0.0,1,2,加仓 +1U@8100.0 vol=1
2023-04-07,AP,ADD_ON,SHORT,1,8079.0,0.0,2,3,加仓 +1U@8079.0 vol=1
2023-04-25,AP,STOP_LOSS,SHORT,3,8493.0,-10430.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-10430.00
2023-09-18,AP,ENTRY,LONG,1,9329.0,0.0,0,1,开仓 LONG 1U@9329.0 vol=1
2023-09-28,AP,ADD_ON,LONG,1,9446.0,0.0,1,2,加仓 +1U@9446.0 vol=1
2023-10-24,AP,STOP_LOSS,LONG,2,8952.0,-8710.0,2,0,平仓 STOP_LOSS LONG 2U PnL=-8710.00
2024-01-10,AP,ENTRY,SHORT,1,8107.0,0.0,0,1,开仓 SHORT 1U@8107.0 vol=1
