date,symbol,trade_type,direction,volume,price,pnl,units_before,units_after,remark
2019-04-16,CF,ENTRY,LONG,2,16100.0,0.0,0,1,开仓 LONG 1U@16100.0 vol=2
2019-04-29,CF,STOP_LOSS,LONG,2,15605.0,-4950.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-4950.00
2019-05-23,CF,ENTRY,SHORT,1,13440.0,0.0,0,1,开仓 SHORT 1U@13440.0 vol=1
2019-06-04,CF,ADD_ON,SHORT,2,12990.0,0.0,1,3,加仓 +2U@12990.0 vol=2
2019-06-21,CF,STOP_LOSS,SHORT,3,13830.0,-10350.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-10350.00
2019-08-05,CF,ENTRY,SHORT,2,12695.0,0.0,0,1,开仓 SHORT 1U@12695.0 vol=2
2019-08-06,CF,ADD_ON,SHORT,2,12205.0,0.0,1,3,加仓 +2U@12205.0 vol=2
2019-08-23,CF,STOP_LOSS,SHORT,4,12805.0,-7100.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-7100.00
2019-12-16,CF,ENTRY,LONG,2,13385.0,0.0,0,1,开仓 LONG 1U@13385.0 vol=2
2019-12-30,CF,ADD_ON,LONG,4,13620.0,0.0,1,3,加仓 +2U@13620.0 vol=4
2020-02-03,CF,STOP_LOSS,LONG,6,12570.0,-29150.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-29150.00
2020-03-16,CF,ENTRY,SHORT,1,11620.0,0.0,0,1,开仓 SHORT 1U@11620.0 vol=1
2020-03-17,CF,ADD_ON,SHORT,1,11445.0,0.0,1,2,加仓 +1U@11445.0 vol=1
2020-03-20,CF,ADD_ON,SHORT,1,11185.0,0.0,2,3,加仓 +1U@11185.0 vol=1
2020-04-14,CF,STOP_LOSS,SHORT,3,11330.0,1300.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=1300.00
2020-08-12,CF,ENTRY,LONG,2,12755.0,0.0,0,1,开仓 LONG 1U@12755.0 vol=2
2020-08-13,CF,ADD_ON,LONG,2,12935.0,0.0,1,2,加仓 +1U@12935.0 vol=2
2020-08-27,CF,ADD_ON,LONG,2,13000.0,0.0,2,3,加仓 +1U@13000.0 vol=2
2020-09-10,CF,STOP_LOSS,LONG,6,12490.0,-12200.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-12200.00
2020-10-15,CF,ENTRY,LONG,2,14345.0,0.0,0,1,开仓 LONG 1U@14345.0 vol=2
2020-10-19,CF,ADD_ON,LONG,2,14620.0,0.0,1,2,加仓 +1U@14620.0 vol=2
2020-10-20,CF,ADD_ON,LONG,1,14940.0,0.0,2,3,加仓 +1U@14940.0 vol=1
2020-11-09,CF,STOP_LOSS,LONG,5,14070.0,-12600.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-12600.00
2020-12-22,CF,ENTRY,LONG,2,15000.0,0.0,0,1,开仓 LONG 1U@15000.0 vol=2
2021-01-05,CF,ADD_ON,LONG,4,15360.0,0.0,1,3,加仓 +2U@15360.0 vol=4
2021-01-27,CF,STOP_LOSS,LONG,6,14910.0,-9900.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-9900.00
2021-02-23,CF,ENTRY,LONG,1,16335.0,0.0,0,1,开仓 LONG 1U@16335.0 vol=1
2021-02-26,CF,ADD_ON,LONG,2,16605.0,0.0,1,3,加仓 +2U@16605.0 vol=2
2021-03-15,CF,STOP_LOSS,LONG,3,15790.0,-10875.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-10875.00
2021-05-13,CF,ENTRY,LONG,1,16200.0,0.0,0,1,开仓 LONG 1U@16200.0 vol=1
2021-05-27,CF,STOP_LOSS,LONG,1,15575.0,-3125.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-3125.00
2021-07-07,CF,ENTRY,LONG,2,16660.0,0.0,0,1,开仓 LONG 1U@16660.0 vol=2
2021-07-16,CF,ADD_ON,LONG,2,16835.0,0.0,1,2,加仓 +1U@16835.0 vol=2
2021-07-23,CF,ADD_ON,LONG,1,17085.0,0.0,2,3,加仓 +1U@17085.0 vol=1
2021-09-01,CF,STOP_LOSS,LONG,5,17290.0,11875.0,3,0,平仓 STOP_LOSS LONG 3U PnL=11875.00
2021-10-12,CF,ENTRY,LONG,1,21225.0,0.0,0,1,开仓 LONG 1U@21225.0 vol=1
2021-10-13,CF,ADD_ON,LONG,1,21645.0,0.0,1,2,加仓 +1U@21645.0 vol=1
2021-10-18,CF,ADD_ON,LONG,1,22785.0,0.0,2,3,加仓 +1U@22785.0 vol=1
2021-11-12,CF,STOP_LOSS,LONG,3,21500.0,-5775.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-5775.00
2021-12-06,CF,ENTRY,SHORT,1,19470.0,0.0,0,1,开仓 SHORT 1U@19470.0 vol=1
2021-12-31,CF,STOP_LOSS,SHORT,1,20450.0,-4900.0,1,0,平仓 STOP_LOSS SHORT 1U PnL=-4900.00
2022-01-18,CF,ENTRY,LONG,2,21550.0,0.0,0,1,开仓 LONG 1U@21550.0 vol=2
2022-01-20,CF,ADD_ON,LONG,1,21800.0,0.0,1,2,加仓 +1U@21800.0 vol=1
2022-02-08,CF,ADD_ON,LONG,1,21990.0,0.0,2,3,加仓 +1U@21990.0 vol=1
2022-02-18,CF,STOP_LOSS,LONG,4,21300.0,-8450.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-8450.00
2022-05-31,CF,ENTRY,SHORT,1,20135.0,0.0,0,1,开仓 SHORT 1U@20135.0 vol=1
2022-06-16,CF,ADD_ON,SHORT,1,19845.0,0.0,1,2,加仓 +1U@19845.0 vol=1
2022-06-17,CF,ADD_ON,SHORT,1,19545.0,0.0,2,3,加仓 +1U@19545.0 vol=1
2022-08-16,CF,STOP_LOSS,SHORT,3,15510.0,64975.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=64975.00
2022-09-26,CF,ENTRY,SHORT,1,13640.0,0.0,0,1,开仓 SHORT 1U@13640.0 vol=1
2022-09-28,CF,ADD_ON,SHORT,1,13530.0,0.0,1,2,加仓 +1U@13530.0 vol=1
2022-09-29,CF,ADD_ON,SHORT,1,13245.0,0.0,2,3,加仓 +1U@13245.0 vol=1
2022-11-16,CF,STOP_LOSS,SHORT,3,13425.0,700.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=700.00
2022-12-12,CF,ENTRY,LONG,2,13855.0,0.0,0,1,开仓 LONG 1U@13855.0 vol=2
2022-12-16,CF,ADD_ON,LONG,2,14015.0,0.0,1,2,加仓 +1U@14015.0 vol=2
2022-12-19,CF,ADD_ON,LONG,2,14110.0,0.0,2,3,加仓 +1U@14110.0 vol=2
2023-02-13,CF,STOP_LOSS,LONG,6,14490.0,14900.0,3,0,平仓 STOP_LOSS LONG 3U PnL=14900.00
2023-04-18,CF,ENTRY,LONG,2,15110.0,0.0,0,1,开仓 LONG 1U@15110.0 vol=2
2023-04-27,CF,ADD_ON,LONG,2,15280.0,0.0,1,2,加仓 +1U@15280.0 vol=2
2023-05-04,CF,ADD_ON,LONG,2,15365.0,0.0,2,3,加仓 +1U@15365.0 vol=2
2023-08-17,CF,STOP_LOSS,LONG,6,16900.0,49450.0,3,0,平仓 STOP_LOSS LONG 3U PnL=49450.00
2023-10-23,CF,ENTRY,SHORT,1,16040.0,0.0,0,1,开仓 SHORT 1U@16040.0 vol=1
2023-11-01,CF,ADD_ON,SHORT,1,15795.0,0.0,1,2,加仓 +1U@15795.0 vol=1
2023-11-02,CF,ADD_ON,SHORT,1,15560.0,0.0,2,3,加仓 +1U@15560.0 vol=1
2023-12-25,CF,STOP_LOSS,SHORT,3,15390.0,6125.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=6125.00
2024-01-19,CF,ENTRY,LONG,2,15865.0,0.0,0,1,开仓 LONG 1U@15865.0 vol=2
2024-01-24,CF,ADD_ON,LONG,2,15940.0,0.0,1,2,加仓 +1U@15940.0 vol=2
2024-01-30,CF,ADD_ON,LONG,2,16120.0,0.0,2,3,加仓 +1U@16120.0 vol=2
2024-03-12,CF,STOP_LOSS,LONG,6,16005.0,900.0,3,0,平仓 STOP_LOSS LONG 3U PnL=900.00
2024-05-10,CF,ENTRY,SHORT,2,15330.0,0.0,0,1,开仓 SHORT 1U@15330.0 vol=2
2024-05-13,CF,ADD_ON,SHORT,2,15195.0,0.0,1,2,加仓 +1U@15195.0 vol=2
2024-05-14,CF,ADD_ON,SHORT,2,15145.0,0.0,2,3,加仓 +1U@15145.0 vol=2
2024-05-24,CF,STOP_LOSS,SHORT,6,15570.0,-10400.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-10400.00
2024-06-14,CF,ENTRY,SHORT,2,14745.0,0.0,0,1,开仓 SHORT 1U@14745.0 vol=2
2024-06-18,CF,ADD_ON,SHORT,4,14390.0,0.0,1,3,加仓 +2U@14390.0 vol=4
2024-08-30,CF,STOP_LOSS,SHORT,6,13825.0,20500.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=20500.00
2024-09-30,CF,ENTRY,LONG,2,14450.0,0.0,0,1,开仓 LONG 1U@14450.0 vol=2
2024-10-18,CF,STOP_LOSS,LONG,2,13930.0,-5200.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-5200.00
2025-04-10,CF,ENTRY,SHORT,2,12490.0,0.0,0,1,开仓 SHORT 1U@12490.0 vol=2
2025-05-12,CF,STOP_LOSS,SHORT,2,12950.0,-4600.0,1,0,平仓 STOP_LOSS SHORT 1U PnL=-4600.00
2025-06-25,CF,ENTRY,LONG,4,13615.0,0.0,0,1,开仓 LONG 1U@13615.0 vol=4
2025-06-27,CF,ADD_ON,LONG,4,13730.0,0.0,1,2,加仓 +1U@13730.0 vol=4
2025-06-30,CF,ADD_ON,LONG,4,13770.0,0.0,2,3,加仓 +1U@13770.0 vol=4
2025-07-31,CF,STOP_LOSS,LONG,12,13750.0,2700.0,3,0,平仓 STOP_LOSS LONG 3U PnL=2700.00
2025-09-29,CF,ENTRY,SHORT,3,13390.0,0.0,0,1,开仓 SHORT 1U@13390.0 vol=3
2025-10-09,CF,ADD_ON,SHORT,6,13185.0,0.0,1,3,加仓 +2U@13185.0 vol=6
2025-10-24,CF,STOP_LOSS,SHORT,9,13570.0,-14250.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-14250.00
2025-12-12,CF,ENTRY,LONG,5,13870.0,0.0,0,1,开仓 LONG 1U@13870.0 vol=5
2025-12-16,CF,ADD_ON,LONG,8,14000.0,0.0,1,3,加仓 +2U@14000.0 vol=8
2026-01-28,CF,STOP_LOSS,LONG,13,14570.0,40300.0,3,0,平仓 STOP_LOSS LONG 3U PnL=40300.00
2026-04-23,CF,ENTRY,LONG,2,16240.0,0.0,0,1,开仓 LONG 1U@16240.0 vol=2
2026-04-28,CF,ADD_ON,LONG,2,16430.0,0.0,1,2,加仓 +1U@16430.0 vol=2
2026-05-06,CF,ADD_ON,LONG,2,16830.0,0.0,2,3,加仓 +1U@16830.0 vol=2
2026-05-11,CF,FORCE_CLOSE,LONG,6,16440.0,-1800.0,3,0,平仓 FORCE_CLOSE LONG 3U PnL=-1800.00
