date,total_equity,cash,unrealized_pnl,daily_return,cumulative_return,position_lots
2019-03-13,1000000.0,1000000.0,0.0,,0.0,0
2019-03-14,999100.0,1000000.0,-900.0,-0.0009000000000000119,-0.0009000000000000119,5
2019-03-15,998700.0,1000000.0,-1300.0,-0.00040036032429191515,-0.0012999999999999678,5
2019-03-18,999800.0,1000000.0,-200.0,0.001101431861419755,-0.00019999999999997797,5
2019-03-19,1001300.0,1000000.0,1300.0,0.0015003000600120053,0.0013000000000000789,5
2019-03-20,999000.0,1000000.0,-1000.0,-0.002297013881953469,-0.0010000000000000009,10
2019-03-21,998000.0,1000000.0,-2000.0,-0.0010010010010009784,-0.0020000000000000018,10
2019-03-22,996800.0,1000000.0,-3200.0,-0.0012024048096191953,-0.0031999999999999806,10
2019-03-25,997800.0,1000000.0,-2200.0,0.0010032102728732006,-0.0021999999999999797,10
2019-03-26,999000.0,1000000.0,-1000.0,0.00120264582080587,-0.0010000000000000009,10
2019-03-27,996400.0,1000000.0,-3600.0,-0.0026026026026025884,-0.0036000000000000476,10
2019-03-28,996600.0,1000000.0,-3400.0,0.00020072260136494435,-0.0033999999999999586,10
2019-03-29,995600.0,1000000.0,-4400.0,-0.0010034115994380643,-0.0043999999999999595,10
2019-04-01,996200.0,1000000.0,-3800.0,0.0006026516673363069,-0.0038000000000000256,10
2019-04-02,996600.0,1000000.0,-3400.0,0.0004015257980325426,-0.0033999999999999586,10
2019-04-03,998800.0,1000000.0,-1200.0,0.002207505518763808,-0.0011999999999999789,10
2019-04-04,996600.0,1000000.0,-3400.0,-0.0022026431718061845,-0.0033999999999999586,10
2019-04-08,996000.0,1000000.0,-4000.0,-0.0006020469596628164,-0.0040000000000000036,10
2019-04-09,998600.0,1000000.0,-1400.0,0.002610441767068261,-0.0013999999999999568,10
2019-04-10,995600.0,1000000.0,-4400.0,-0.003004205888243572,-0.0043999999999999595,10
2019-04-11,995200.0,995200.0,0.0,-0.0004017677782242046,-0.0048000000000000265,0
2019-04-12,995200.0,995200.0,0.0,0.0,-0.0048000000000000265,0
2019-04-15,995200.0,995200.0,0.0,0.0,-0.0048000000000000265,0
2019-04-16,995200.0,995200.0,0.0,0.0,-0.0048000000000000265,0
2019-04-17,995200.0,995200.0,0.0,0.0,-0.0048000000000000265,0
2019-04-18,995200.0,995200.0,0.0,0.0,-0.0048000000000000265,0
2019-04-19,995200.0,995200.0,0.0,0.0,-0.0048000000000000265,0
2019-04-22,995200.0,995200.0,0.0,0.0,-0.0048000000000000265,0
2019-04-23,995200.0,995200.0,0.0,0.0,-0.0048000000000000265,0
2019-04-24,995200.0,995200.0,0.0,0.0,-0.0048000000000000265,0
2019-04-25,995200.0,995200.0,0.0,0.0,-0.0048000000000000265,0
2019-04-26,995200.0,995200.0,0.0,0.0,-0.0048000000000000265,0
2019-04-29,995200.0,995200.0,0.0,0.0,-0.0048000000000000265,0
2019-04-30,995200.0,995200.0,0.0,0.0,-0.0048000000000000265,0
2019-05-06,995200.0,995200.0,0.0,0.0,-0.0048000000000000265,0
2019-05-07,995200.0,995200.0,0.0,0.0,-0.0048000000000000265,0
2019-05-08,995200.0,995200.0,0.0,0.0,-0.0048000000000000265,0
2019-05-09,995200.0,995200.0,0.0,0.0,-0.0048000000000000265,0
2019-05-10,995200.0,995200.0,0.0,0.0,-0.0048000000000000265,0
2019-05-13,995200.0,995200.0,0.0,0.0,-0.0048000000000000265,0
2019-05-14,994300.0,995200.0,-900.0,-0.0009043408360128735,-0.005700000000000038,5
2019-05-15,997400.0,995200.0,2200.0,0.00311777129638946,-0.0026000000000000467,5
2019-05-16,997400.0,995200.0,2200.0,0.0,-0.0026000000000000467,15
2019-05-17,1000700.0,995200.0,5500.0,0.003308602366151936,0.0006999999999999229,15
2019-05-20,998900.0,995200.0,3700.0,-0.0017987408813829875,-0.0010999999999999899,15
2019-05-21,1001000.0,995200.0,5800.0,0.0021023125437982237,0.0009999999999998899,15
2019-05-22,1005200.0,995200.0,10000.0,0.00419580419580412,0.0052000000000000934,15
2019-05-23,997700.0,995200.0,2500.0,-0.007461201750895374,-0.0022999999999999687,15
2019-05-24,998300.0,995200.0,3100.0,0.0006013831813169723,-0.0017000000000000348,15
2019-05-27,999800.0,995200.0,4600.0,0.001502554342382112,-0.00019999999999997797,15
2019-05-28,995300.0,995200.0,100.0,-0.004500900180036016,-0.0047000000000000375,15
2019-05-29,994100.0,995200.0,-1100.0,-0.0012056666331758947,-0.005900000000000016,15
2019-05-30,993800.0,995200.0,-1400.0,-0.0003017805049794209,-0.006199999999999983,15
2019-05-31,992000.0,995200.0,-3200.0,-0.0018112296236667547,-0.008000000000000007,15
2019-06-03,992000.0,995200.0,-3200.0,0.0,-0.008000000000000007,15
2019-06-04,989600.0,995200.0,-5600.0,-0.0024193548387096975,-0.010399999999999965,15
2019-06-05,991100.0,995200.0,-4100.0,0.0015157639450282812,-0.008900000000000019,15
2019-06-06,990800.0,990800.0,0.0,-0.00030269397638982287,-0.009199999999999986,0
2019-06-10,990800.0,990800.0,0.0,0.0,-0.009199999999999986,0
2019-06-11,990800.0,990800.0,0.0,0.0,-0.009199999999999986,0
2019-06-12,990800.0,990800.0,0.0,0.0,-0.009199999999999986,0
2019-06-13,990800.0,990800.0,0.0,0.0,-0.009199999999999986,0
2019-06-14,990800.0,990800.0,0.0,0.0,-0.009199999999999986,0
2019-06-17,990800.0,990800.0,0.0,0.0,-0.009199999999999986,0
2019-06-18,990800.0,990800.0,0.0,0.0,-0.009199999999999986,0
2019-06-19,990800.0,990800.0,0.0,0.0,-0.009199999999999986,0
2019-06-20,990800.0,990800.0,0.0,0.0,-0.009199999999999986,0
2019-06-21,990480.0,990800.0,-320.0,-0.00032297133629388686,-0.009519999999999973,4
2019-06-24,990800.0,990800.0,0.0,0.0003230756804781798,-0.009199999999999986,4
2019-06-25,990560.0,990800.0,-240.0,-0.0002422285022204429,-0.009440000000000004,4
2019-06-26,992320.0,990800.0,1520.0,0.00177677273461474,-0.00768000000000002,4
2019-06-27,990480.0,990800.0,-320.0,-0.0018542405675588958,-0.009519999999999973,8
2019-06-28,990000.0,990800.0,-800.0,-0.0004846135207172697,-0.010000000000000009,8
2019-07-01,992240.0,990800.0,1440.0,0.0022626262626261884,-0.007759999999999989,8
2019-07-02,992560.0,990800.0,1760.0,0.0003225026203337311,-0.007440000000000002,8
2019-07-03,988880.0,990800.0,-1920.0,-0.0037075844281454495,-0.011120000000000019,8
2019-07-04,989360.0,990800.0,-1440.0,0.00048539762155175303,-0.010639999999999983,8
2019-07-05,988560.0,990800.0,-2240.0,-0.0008086035416835502,-0.011440000000000006,8
2019-07-08,989520.0,990800.0,-1280.0,0.0009711094925952679,-0.010480000000000045,8
2019-07-09,991760.0,990800.0,960.0,0.002263723825693287,-0.008240000000000025,8
2019-07-10,988720.0,990800.0,-2080.0,-0.0030652577236428558,-0.011279999999999957,8
2019-07-11,988720.0,990800.0,-2080.0,0.0,-0.011279999999999957,8
2019-07-12,988880.0,990800.0,-1920.0,0.00016182539040365818,-0.011120000000000019,8
2019-07-15,990320.0,990800.0,-480.0,0.001456192864655037,-0.009680000000000022,8
2019-07-16,990800.0,990800.0,0.0,0.00048469181678645334,-0.009199999999999986,8
2019-07-17,991760.0,990800.0,960.0,0.0009689140088817716,-0.008240000000000025,8
