date,symbol,trade_type,direction,volume,price,pnl,units_before,units_after,remark
2019-03-14,FG,ENTRY,SHORT,5,1279.0,0.0,0,1,开仓 SHORT 1U@1279.0 vol=5
2019-03-20,FG,ADD_ON,SHORT,5,1271.0,0.0,1,2,加仓 +1U@1271.0 vol=5
2019-04-11,FG,STOP_LOSS,SHORT,10,1299.0,-4800.0,2,0,平仓 STOP_LOSS SHORT 2U PnL=-4800.00
2019-05-14,FG,ENTRY,LONG,5,1371.0,0.0,0,1,开仓 LONG 1U@1371.0 vol=5
2019-05-16,FG,ADD_ON,LONG,10,1396.0,0.0,1,3,加仓 +2U@1396.0 vol=10
2019-06-06,FG,STOP_LOSS,LONG,15,1373.0,-4400.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-4400.00
2019-06-21,FG,ENTRY,LONG,4,1489.0,0.0,0,1,开仓 LONG 1U@1489.0 vol=4
2019-06-27,FG,ADD_ON,LONG,4,1505.0,0.0,1,2,加仓 +1U@1505.0 vol=4
2019-08-05,FG,STOP_LOSS,LONG,8,1469.0,-4480.0,2,0,平仓 STOP_LOSS LONG 2U PnL=-4480.00
2019-10-21,FG,ENTRY,LONG,4,1499.0,0.0,0,1,开仓 LONG 1U@1499.0 vol=4
2019-10-22,FG,ADD_ON,LONG,4,1515.0,0.0,1,2,加仓 +1U@1515.0 vol=4
2019-11-22,FG,STOP_LOSS,LONG,8,1448.0,-9440.0,2,0,平仓 STOP_LOSS LONG 2U PnL=-9440.00
2020-03-10,FG,ENTRY,SHORT,5,1372.0,0.0,0,1,开仓 SHORT 1U@1372.0 vol=5
2020-03-16,FG,ADD_ON,SHORT,5,1357.0,0.0,1,2,加仓 +1U@1357.0 vol=5
2020-03-17,FG,ADD_ON,SHORT,5,1340.0,0.0,2,3,加仓 +1U@1340.0 vol=5
2020-05-06,FG,STOP_LOSS,SHORT,15,1279.0,23200.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=23200.00
2020-05-26,FG,ENTRY,LONG,4,1426.0,0.0,0,1,开仓 LONG 1U@1426.0 vol=4
2020-06-03,FG,ADD_ON,LONG,4,1448.0,0.0,1,2,加仓 +1U@1448.0 vol=4
2020-06-15,FG,ADD_ON,LONG,4,1457.0,0.0,2,3,加仓 +1U@1457.0 vol=4
2020-08-24,FG,STOP_LOSS,LONG,12,1732.0,69200.0,3,0,平仓 STOP_LOSS LONG 3U PnL=69200.00
2020-09-16,FG,ENTRY,SHORT,2,1647.0,0.0,0,1,开仓 SHORT 1U@1647.0 vol=2
2020-10-13,FG,STOP_LOSS,SHORT,2,1789.0,-5680.0,1,0,平仓 STOP_LOSS SHORT 1U PnL=-5680.00
2020-11-12,FG,ENTRY,LONG,3,1807.0,0.0,0,1,开仓 LONG 1U@1807.0 vol=3
2020-11-16,FG,ADD_ON,LONG,3,1836.0,0.0,1,2,加仓 +1U@1836.0 vol=3
