date,symbol,trade_type,direction,volume,price,pnl,units_before,units_after,remark
2019-07-17,MA,ENTRY,SHORT,4,2179.0,0.0,0,1,开仓 SHORT 1U@2179.0 vol=4
2019-07-24,MA,ADD_ON,SHORT,6,2097.0,0.0,1,3,加仓 +2U@2097.0 vol=6
2019-08-19,MA,STOP_LOSS,SHORT,10,2189.0,-5920.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-5920.00
2019-09-10,MA,ENTRY,LONG,4,2266.0,0.0,0,1,开仓 LONG 1U@2266.0 vol=4
2019-09-17,MA,ADD_ON,LONG,8,2355.0,0.0,1,3,加仓 +2U@2355.0 vol=8
2019-10-17,MA,STOP_LOSS,LONG,12,2209.0,-13960.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-13960.00
2019-11-08,MA,ENTRY,SHORT,4,2057.0,0.0,0,1,开仓 SHORT 1U@2057.0 vol=4
2019-11-11,MA,ADD_ON,SHORT,8,2009.0,0.0,1,3,加仓 +2U@2009.0 vol=8
2019-12-06,MA,STOP_LOSS,SHORT,12,2027.0,-240.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-240.00
2019-12-30,MA,ENTRY,LONG,5,2207.0,0.0,0,1,开仓 LONG 1U@2207.0 vol=5
2020-01-06,MA,ADD_ON,LONG,5,2247.0,0.0,1,2,加仓 +1U@2247.0 vol=5
2020-01-07,MA,ADD_ON,LONG,4,2288.0,0.0,2,3,加仓 +1U@2288.0 vol=4
2020-02-04,MA,STOP_LOSS,LONG,14,2009.0,-32960.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-32960.00
2020-03-11,MA,ENTRY,SHORT,4,1930.0,0.0,0,1,开仓 SHORT 1U@1930.0 vol=4
2020-03-12,MA,ADD_ON,SHORT,4,1876.0,0.0,1,2,加仓 +1U@1876.0 vol=4
2020-03-13,MA,ADD_ON,SHORT,3,1833.0,0.0,2,3,加仓 +1U@1833.0 vol=3
2020-04-10,MA,STOP_LOSS,SHORT,11,1734.0,16490.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=16490.00
2020-07-07,MA,ENTRY,LONG,6,1815.0,0.0,0,1,开仓 LONG 1U@1815.0 vol=6
2020-07-16,MA,ADD_ON,LONG,6,1844.0,0.0,1,2,加仓 +1U@1844.0 vol=6
2020-07-27,MA,STOP_LOSS,LONG,12,1725.0,-12540.0,2,0,平仓 STOP_LOSS LONG 2U PnL=-12540.00
2020-08-27,MA,ENTRY,LONG,5,1966.0,0.0,0,1,开仓 LONG 1U@1966.0 vol=5
2020-09-02,MA,ADD_ON,LONG,10,2031.0,0.0,1,3,加仓 +2U@2031.0 vol=10
2020-10-09,MA,STOP_LOSS,LONG,15,1963.0,-6950.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-6950.00
2020-11-12,MA,ENTRY,LONG,4,2161.0,0.0,0,1,开仓 LONG 1U@2161.0 vol=4
2020-11-16,MA,ADD_ON,LONG,8,2254.0,0.0,1,3,加仓 +2U@2254.0 vol=8
2021-01-11,MA,STOP_LOSS,LONG,12,2327.0,12480.0,3,0,平仓 STOP_LOSS LONG 3U PnL=12480.00
2021-01-27,MA,ENTRY,SHORT,3,2241.0,0.0,0,1,开仓 SHORT 1U@2241.0 vol=3
2021-02-19,MA,STOP_LOSS,SHORT,3,2361.0,-3600.0,1,0,平仓 STOP_LOSS SHORT 1U PnL=-3600.00
2021-03-09,MA,ENTRY,LONG,3,2601.0,0.0,0,1,开仓 LONG 1U@2601.0 vol=3
2021-03-22,MA,STOP_LOSS,LONG,3,2320.0,-8430.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-8430.00
2021-05-13,MA,ENTRY,LONG,3,2728.0,0.0,0,1,开仓 LONG 1U@2728.0 vol=3
2021-06-01,MA,STOP_LOSS,LONG,3,2549.0,-5370.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-5370.00
2021-07-15,MA,ENTRY,LONG,3,2677.0,0.0,0,1,开仓 LONG 1U@2677.0 vol=3
2021-07-20,MA,ADD_ON,LONG,6,2733.0,0.0,1,3,加仓 +2U@2733.0 vol=6
2021-08-06,MA,STOP_LOSS,LONG,9,2627.0,-7860.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-7860.00
2021-08-24,MA,ENTRY,LONG,3,2922.0,0.0,0,1,开仓 LONG 1U@2922.0 vol=3
2021-09-08,MA,ADD_ON,LONG,6,3044.0,0.0,1,3,加仓 +2U@3044.0 vol=6
2021-10-22,MA,STOP_LOSS,LONG,9,3329.0,29310.0,3,0,平仓 STOP_LOSS LONG 3U PnL=29310.00
2021-11-15,MA,ENTRY,SHORT,1,2539.0,0.0,0,1,开仓 SHORT 1U@2539.0 vol=1
2021-12-14,MA,STOP_LOSS,SHORT,1,2546.0,-70.0,1,0,平仓 STOP_LOSS SHORT 1U PnL=-70.00
2021-12-29,MA,ENTRY,SHORT,2,2525.0,0.0,0,1,开仓 SHORT 1U@2525.0 vol=2
2022-01-04,MA,ADD_ON,SHORT,2,2515.0,0.0,1,2,加仓 +1U@2515.0 vol=2
