date,symbol,trade_type,direction,volume,price,pnl,units_before,units_after,remark
2019-05-21,RM,ENTRY,LONG,6,2368.0,0.0,0,1,开仓 LONG 1U@2368.0 vol=6
2019-05-22,RM,ADD_ON,LONG,10,2422.0,0.0,1,3,加仓 +2U@2422.0 vol=10
2019-07-09,RM,STOP_LOSS,LONG,16,2440.0,6120.0,3,0,平仓 STOP_LOSS LONG 3U PnL=6120.00
2019-09-09,RM,ENTRY,SHORT,4,2282.0,0.0,0,1,开仓 SHORT 1U@2282.0 vol=4
2019-09-12,RM,ADD_ON,SHORT,4,2247.0,0.0,1,2,加仓 +1U@2247.0 vol=4
2019-10-10,RM,STOP_LOSS,SHORT,8,2356.0,-7320.0,2,0,平仓 STOP_LOSS SHORT 2U PnL=-7320.00
2020-03-24,RM,ENTRY,LONG,3,2490.0,0.0,0,1,开仓 LONG 1U@2490.0 vol=3
2020-04-15,RM,STOP_LOSS,LONG,3,2381.0,-3270.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-3270.00
2020-08-24,RM,ENTRY,SHORT,5,2268.0,0.0,0,1,开仓 SHORT 1U@2268.0 vol=5
2020-09-01,RM,STOP_LOSS,SHORT,5,2364.0,-4800.0,1,0,平仓 STOP_LOSS SHORT 1U PnL=-4800.00
2020-11-24,RM,ENTRY,LONG,4,2601.0,0.0,0,1,开仓 LONG 1U@2601.0 vol=4
2020-12-03,RM,STOP_LOSS,LONG,4,2447.0,-6160.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-6160.00
2020-12-23,RM,ENTRY,LONG,4,2737.0,0.0,0,1,开仓 LONG 1U@2737.0 vol=4
2020-12-31,RM,ADD_ON,LONG,3,2787.0,0.0,1,2,加仓 +1U@2787.0 vol=3
2021-01-04,RM,ADD_ON,LONG,3,2881.0,0.0,2,3,加仓 +1U@2881.0 vol=3
2021-01-21,RM,STOP_LOSS,LONG,10,2915.0,11980.0,3,0,平仓 STOP_LOSS LONG 3U PnL=11980.00
2021-03-12,RM,ENTRY,SHORT,2,2711.0,0.0,0,1,开仓 SHORT 1U@2711.0 vol=2
2021-03-29,RM,STOP_LOSS,SHORT,2,2935.0,-4480.0,1,0,平仓 STOP_LOSS SHORT 1U PnL=-4480.00
2021-05-07,RM,ENTRY,LONG,3,3122.0,0.0,0,1,开仓 LONG 1U@3122.0 vol=3
2021-05-10,RM,ADD_ON,LONG,3,3179.0,0.0,1,2,加仓 +1U@3179.0 vol=3
2021-05-24,RM,STOP_LOSS,LONG,6,2925.0,-13530.0,2,0,平仓 STOP_LOSS LONG 2U PnL=-13530.00
2021-08-24,RM,ENTRY,SHORT,3,2859.0,0.0,0,1,开仓 SHORT 1U@2859.0 vol=3
2021-09-09,RM,ADD_ON,SHORT,3,2823.0,0.0,1,2,加仓 +1U@2823.0 vol=3
2021-09-10,RM,ADD_ON,SHORT,3,2787.0,0.0,2,3,加仓 +1U@2787.0 vol=3
2021-09-17,RM,STOP_LOSS,SHORT,9,2921.0,-8820.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-8820.00
2021-10-11,RM,ENTRY,SHORT,4,2680.0,0.0,0,1,开仓 SHORT 1U@2680.0 vol=4
2021-10-14,RM,ADD_ON,SHORT,6,2613.0,0.0,1,3,加仓 +2U@2613.0 vol=6
2021-11-15,RM,STOP_LOSS,SHORT,10,2687.0,-4720.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-4720.00
2021-12-20,RM,ENTRY,LONG,3,2929.0,0.0,0,1,开仓 LONG 1U@2929.0 vol=3
2021-12-27,RM,ADD_ON,LONG,3,2989.0,0.0,1,2,加仓 +1U@2989.0 vol=3
2022-01-06,RM,ADD_ON,LONG,3,2989.0,0.0,2,3,加仓 +1U@2989.0 vol=3
2022-01-19,RM,STOP_LOSS,LONG,9,2855.0,-10260.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-10260.00
2022-01-27,RM,ENTRY,LONG,3,3059.0,0.0,0,1,开仓 LONG 1U@3059.0 vol=3
2022-01-28,RM,ADD_ON,LONG,6,3164.0,0.0,1,3,加仓 +2U@3164.0 vol=6
2022-04-06,RM,STOP_LOSS,LONG,9,3690.0,29430.0,3,0,平仓 STOP_LOSS LONG 3U PnL=29430.00
2022-04-26,RM,ENTRY,SHORT,2,3596.0,0.0,0,1,开仓 SHORT 1U@3596.0 vol=2
2022-05-05,RM,STOP_LOSS,SHORT,2,3780.0,-3680.0,1,0,平仓 STOP_LOSS SHORT 1U PnL=-3680.00
2022-05-10,RM,ENTRY,SHORT,2,3547.0,0.0,0,1,开仓 SHORT 1U@3547.0 vol=2
2022-05-31,RM,STOP_LOSS,SHORT,2,3768.0,-4420.0,1,0,平仓 STOP_LOSS SHORT 1U PnL=-4420.00
2022-06-27,RM,ENTRY,SHORT,2,3349.0,0.0,0,1,开仓 SHORT 1U@3349.0 vol=2
2022-06-29,RM,ADD_ON,SHORT,2,2831.0,0.0,1,3,加仓 +2U@2831.0 vol=2
2022-08-11,RM,STOP_LOSS,SHORT,4,2867.0,-2260.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-2260.00
2022-08-24,RM,ENTRY,LONG,3,2979.0,0.0,0,1,开仓 LONG 1U@2979.0 vol=3
2022-08-25,RM,ADD_ON,LONG,3,3024.0,0.0,1,2,加仓 +1U@3024.0 vol=3
2022-09-14,RM,ADD_ON,LONG,3,3146.0,0.0,2,3,加仓 +1U@3146.0 vol=3
2022-10-24,RM,STOP_LOSS,LONG,9,2993.0,-5100.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-5100.00
2023-01-19,RM,ENTRY,LONG,3,3278.0,0.0,0,1,开仓 LONG 1U@3278.0 vol=3
2023-02-28,RM,STOP_LOSS,LONG,3,3156.0,-3660.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-3660.00
2023-03-17,RM,ENTRY,SHORT,4,2994.0,0.0,0,1,开仓 SHORT 1U@2994.0 vol=4
2023-03-20,RM,ADD_ON,SHORT,4,2973.0,0.0,1,2,加仓 +1U@2973.0 vol=4
2023-03-21,RM,ADD_ON,SHORT,4,2909.0,0.0,2,3,加仓 +1U@2909.0 vol=4
2023-04-17,RM,STOP_LOSS,SHORT,12,2876.0,9920.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=9920.00
2023-06-20,RM,ENTRY,LONG,3,3211.0,0.0,0,1,开仓 LONG 1U@3211.0 vol=3
2023-06-21,RM,ADD_ON,LONG,3,3263.0,0.0,1,2,加仓 +1U@3263.0 vol=3
2023-06-26,RM,ADD_ON,LONG,3,3278.0,0.0,2,3,加仓 +1U@3278.0 vol=3
2023-08-18,RM,STOP_LOSS,LONG,9,3340.0,70320.0,3,0,平仓 STOP_LOSS LONG 3U PnL=70320.00
2023-09-13,RM,ENTRY,SHORT,2,3196.0,0.0,0,1,开仓 SHORT 1U@3196.0 vol=2
2023-09-14,RM,ADD_ON,SHORT,2,3142.0,0.0,1,2,加仓 +1U@3142.0 vol=2
2023-10-09,RM,ADD_ON,SHORT,2,3038.0,0.0,2,3,加仓 +1U@3038.0 vol=2
2023-11-07,RM,STOP_LOSS,SHORT,6,3005.0,7220.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=7220.00
