date,symbol,trade_type,direction,volume,price,pnl,units_before,units_after,remark
2020-03-10,SA,ENTRY,SHORT,4,1536.0,0.0,0,1,开仓 SHORT 1U@1536.0 vol=4
2020-03-13,SA,ADD_ON,SHORT,4,1516.0,0.0,1,2,加仓 +1U@1516.0 vol=4
2020-03-17,SA,ADD_ON,SHORT,4,1497.0,0.0,2,3,加仓 +1U@1497.0 vol=4
2020-04-20,SA,STOP_LOSS,SHORT,12,1470.0,11120.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=11120.00
2020-07-02,SA,ENTRY,SHORT,5,1360.0,0.0,0,1,开仓 SHORT 1U@1360.0 vol=5
2020-07-21,SA,ADD_ON,SHORT,8,1298.0,0.0,1,3,加仓 +2U@1298.0 vol=8
2020-08-05,SA,STOP_LOSS,SHORT,13,1451.0,-33580.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-33580.00
2020-08-20,SA,ENTRY,LONG,2,1576.0,0.0,0,1,开仓 LONG 1U@1576.0 vol=2
2020-08-24,SA,ADD_ON,LONG,2,1612.0,0.0,1,2,加仓 +1U@1612.0 vol=2
2020-08-25,SA,ADD_ON,LONG,2,1654.0,0.0,2,3,加仓 +1U@1654.0 vol=2
2020-09-22,SA,STOP_LOSS,LONG,6,1681.0,8040.0,3,0,平仓 STOP_LOSS LONG 3U PnL=8040.00
2020-10-26,SA,ENTRY,SHORT,2,1610.0,0.0,0,1,开仓 SHORT 1U@1610.0 vol=2
2020-10-30,SA,ADD_ON,SHORT,3,1575.0,0.0,1,2,加仓 +1U@1575.0 vol=3
2020-11-02,SA,ADD_ON,SHORT,3,1569.0,0.0,2,3,加仓 +1U@1569.0 vol=3
2020-12-23,SA,STOP_LOSS,SHORT,8,1622.0,18960.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=18960.00
2021-02-09,SA,ENTRY,LONG,3,1646.0,0.0,0,1,开仓 LONG 1U@1646.0 vol=3
2021-02-19,SA,ADD_ON,LONG,3,1667.0,0.0,1,2,加仓 +1U@1667.0 vol=3
2021-02-23,SA,ADD_ON,LONG,2,1761.0,0.0,2,3,加仓 +1U@1761.0 vol=2
2021-04-08,SA,STOP_LOSS,LONG,8,1849.0,26620.0,3,0,平仓 STOP_LOSS LONG 3U PnL=26620.00
2021-04-30,SA,ENTRY,LONG,2,2054.0,0.0,0,1,开仓 LONG 1U@2054.0 vol=2
2021-05-06,SA,ADD_ON,LONG,2,2093.0,0.0,1,2,加仓 +1U@2093.0 vol=2
2021-05-07,SA,ADD_ON,LONG,2,2189.0,0.0,2,3,加仓 +1U@2189.0 vol=2
2021-10-26,SA,STOP_LOSS,LONG,6,2829.0,52920.0,3,0,平仓 STOP_LOSS LONG 3U PnL=52920.00
2021-12-09,SA,ENTRY,SHORT,1,2352.0,0.0,0,1,开仓 SHORT 1U@2352.0 vol=1
2021-12-10,SA,ADD_ON,SHORT,1,2232.0,0.0,1,2,加仓 +1U@2232.0 vol=1
2021-12-16,SA,ADD_ON,SHORT,1,2218.0,0.0,2,3,加仓 +1U@2218.0 vol=1
2022-01-11,SA,STOP_LOSS,SHORT,3,2413.0,-8740.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-8740.00
2022-01-27,SA,ENTRY,LONG,1,2778.0,0.0,0,1,开仓 LONG 1U@2778.0 vol=1
2022-01-28,SA,ADD_ON,LONG,1,2863.0,0.0,1,2,加仓 +1U@2863.0 vol=1
2022-02-07,SA,ADD_ON,LONG,1,2927.0,0.0,2,3,加仓 +1U@2927.0 vol=1
2022-02-18,SA,STOP_LOSS,LONG,3,2735.0,-7260.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-7260.00
2022-03-15,SA,ENTRY,SHORT,1,2448.0,0.0,0,1,开仓 SHORT 1U@2448.0 vol=1
2022-03-29,SA,STOP_LOSS,SHORT,1,2913.0,-9300.0,1,0,平仓 STOP_LOSS SHORT 1U PnL=-9300.00
2022-04-13,SA,ENTRY,LONG,1,3105.0,0.0,0,1,开仓 LONG 1U@3105.0 vol=1
2022-04-19,SA,ADD_ON,LONG,2,3244.0,0.0,1,3,加仓 +2U@3244.0 vol=2
2022-04-27,SA,STOP_LOSS,LONG,3,2890.0,-18460.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-18460.00
2022-07-13,SA,ENTRY,SHORT,1,2430.0,0.0,0,1,开仓 SHORT 1U@2430.0 vol=1
2022-08-05,SA,ADD_ON,SHORT,2,2271.0,0.0,1,3,加仓 +2U@2271.0 vol=2
2022-09-23,SA,STOP_LOSS,SHORT,3,2399.0,-4500.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-4500.00
2022-09-30,SA,ENTRY,LONG,2,2497.0,0.0,0,1,开仓 LONG 1U@2497.0 vol=2
2022-10-10,SA,ADD_ON,LONG,2,2549.0,0.0,1,2,加仓 +1U@2549.0 vol=2
2022-10-26,SA,STOP_LOSS,LONG,4,2382.0,-11280.0,2,0,平仓 STOP_LOSS LONG 2U PnL=-11280.00
2022-11-21,SA,ENTRY,LONG,2,2608.0,0.0,0,1,开仓 LONG 1U@2608.0 vol=2
2022-11-25,SA,ADD_ON,LONG,4,2689.0,0.0,1,3,加仓 +2U@2689.0 vol=4
2022-12-06,SA,STOP_LOSS,LONG,6,2525.0,-16440.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-16440.00
2023-01-09,SA,ENTRY,LONG,1,2812.0,0.0,0,1,开仓 LONG 1U@2812.0 vol=1
2023-01-12,SA,ADD_ON,LONG,1,2865.0,0.0,1,2,加仓 +1U@2865.0 vol=1
2023-01-13,SA,ADD_ON,LONG,1,2909.0,0.0,2,3,加仓 +1U@2909.0 vol=1
2023-02-16,SA,STOP_LOSS,LONG,3,2874.0,720.0,3,0,平仓 STOP_LOSS LONG 3U PnL=720.00
2023-03-17,SA,ENTRY,SHORT,2,2805.0,0.0,0,1,开仓 SHORT 1U@2805.0 vol=2
2023-03-28,SA,ADD_ON,SHORT,2,2534.0,0.0,1,3,加仓 +2U@2534.0 vol=2
2023-06-21,SA,STOP_LOSS,SHORT,4,1711.0,61120.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=61120.00
2023-07-13,SA,ENTRY,LONG,2,1840.0,0.0,0,1,开仓 LONG 1U@1840.0 vol=2
2023-07-20,SA,ADD_ON,LONG,4,1904.0,0.0,1,3,加仓 +2U@1904.0 vol=4
2023-08-07,SA,STOP_LOSS,LONG,6,1580.0,19720.0,3,0,平仓 STOP_LOSS LONG 3U PnL=19720.00
2023-11-21,SA,ENTRY,LONG,1,2248.0,0.0,0,1,开仓 LONG 1U@2248.0 vol=1
2023-11-23,SA,ADD_ON,LONG,2,2341.0,0.0,1,3,加仓 +2U@2341.0 vol=2
2023-12-12,SA,STOP_LOSS,LONG,3,2279.0,36720.0,3,0,平仓 STOP_LOSS LONG 3U PnL=36720.00
2024-01-08,SA,ENTRY,SHORT,1,1950.0,0.0,0,1,开仓 SHORT 1U@1950.0 vol=1
2024-01-11,SA,ADD_ON,SHORT,2,1841.0,0.0,1,3,加仓 +2U@1841.0 vol=2
2024-01-23,SA,STOP_LOSS,SHORT,3,2104.0,-13600.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-13600.00
2024-02-27,SA,ENTRY,SHORT,1,1766.0,0.0,0,1,开仓 SHORT 1U@1766.0 vol=1
2024-03-08,SA,STOP_LOSS,SHORT,1,1954.0,-3760.0,1,0,平仓 STOP_LOSS SHORT 1U PnL=-3760.00
2024-03-28,SA,ENTRY,SHORT,2,1728.0,0.0,0,1,开仓 SHORT 1U@1728.0 vol=2
2024-04-09,SA,STOP_LOSS,SHORT,2,1897.0,-6760.0,1,0,平仓 STOP_LOSS SHORT 1U PnL=-6760.00
2024-04-19,SA,ENTRY,LONG,2,2076.0,0.0,0,1,开仓 LONG 1U@2076.0 vol=2
2024-04-23,SA,ADD_ON,LONG,4,2156.0,0.0,1,3,加仓 +2U@2156.0 vol=4
2024-06-12,SA,STOP_LOSS,LONG,6,2168.0,4640.0,3,0,平仓 STOP_LOSS LONG 3U PnL=4640.00
2024-06-25,SA,ENTRY,SHORT,1,2023.0,0.0,0,1,开仓 SHORT 1U@2023.0 vol=1
2024-07-04,SA,STOP_LOSS,SHORT,1,2218.0,-3900.0,1,0,平仓 STOP_LOSS SHORT 1U PnL=-3900.00
2024-07-23,SA,ENTRY,SHORT,2,1887.0,0.0,0,1,开仓 SHORT 1U@1887.0 vol=2
2024-07-24,SA,ADD_ON,SHORT,2,1861.0,0.0,1,2,加仓 +1U@1861.0 vol=2
2024-07-30,SA,ADD_ON,SHORT,2,1774.0,0.0,2,3,加仓 +1U@1774.0 vol=2
2024-09-30,SA,STOP_LOSS,SHORT,6,1571.0,32360.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=32360.00
2024-12-05,SA,ENTRY,SHORT,2,1422.0,0.0,0,1,开仓 SHORT 1U@1422.0 vol=2
2025-01-08,SA,ADD_ON,SHORT,3,1401.0,0.0,1,2,加仓 +1U@1401.0 vol=3
2025-01-09,SA,ADD_ON,SHORT,3,1384.0,0.0,2,3,加仓 +1U@1384.0 vol=3
2025-01-15,SA,STOP_LOSS,SHORT,8,1462.0,-9940.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-9940.00
2025-02-28,SA,ENTRY,LONG,3,1568.0,0.0,0,1,开仓 LONG 1U@1568.0 vol=3
2025-03-10,SA,STOP_LOSS,LONG,3,1440.0,-7680.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-7680.00
2025-03-31,SA,ENTRY,SHORT,3,1392.0,0.0,0,1,开仓 SHORT 1U@1392.0 vol=3
2025-04-01,SA,ADD_ON,SHORT,3,1374.0,0.0,1,2,加仓 +1U@1374.0 vol=3
2025-04-08,SA,ADD_ON,SHORT,3,1361.0,0.0,2,3,加仓 +1U@1361.0 vol=3
2025-07-11,SA,STOP_LOSS,SHORT,9,1231.0,26040.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=26040.00
2025-07-22,SA,ENTRY,LONG,3,1297.0,0.0,0,1,开仓 LONG 1U@1297.0 vol=3
2025-07-23,SA,ADD_ON,LONG,6,1379.0,0.0,1,3,加仓 +2U@1379.0 vol=6
2025-08-01,SA,STOP_LOSS,LONG,9,1248.0,-18660.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-18660.00
2025-10-10,SA,ENTRY,SHORT,3,1253.0,0.0,0,1,开仓 SHORT 1U@1253.0 vol=3
2025-10-15,SA,ADD_ON,SHORT,3,1229.0,0.0,1,2,加仓 +1U@1229.0 vol=3
2025-10-20,SA,ADD_ON,SHORT,3,1213.0,0.0,2,3,加仓 +1U@1213.0 vol=3
2025-12-18,SA,STOP_LOSS,SHORT,9,1173.0,10560.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=10560.00
