date,symbol,trade_type,direction,volume,price,pnl,units_before,units_after,remark
2019-07-30,SR,ENTRY,LONG,2,5358.0,0.0,0,1,开仓 LONG 1U@5358.0 vol=2
2019-08-08,SR,ADD_ON,LONG,2,5395.0,0.0,1,2,加仓 +1U@5395.0 vol=2
2019-08-12,SR,ADD_ON,LONG,2,5485.0,0.0,2,3,加仓 +1U@5485.0 vol=2
2019-08-30,SR,STOP_LOSS,LONG,6,5362.0,-3040.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-3040.00
2020-01-14,SR,ENTRY,LONG,3,5867.0,0.0,0,1,开仓 LONG 1U@5867.0 vol=3
2020-02-03,SR,STOP_LOSS,LONG,3,5452.0,-12450.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-12450.00
2020-04-02,SR,ENTRY,SHORT,2,5298.0,0.0,0,1,开仓 SHORT 1U@5298.0 vol=2
2020-04-22,SR,ADD_ON,SHORT,6,5155.0,0.0,1,3,加仓 +2U@5155.0 vol=6
2020-05-08,SR,STOP_LOSS,SHORT,8,5123.0,5420.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=5420.00
2020-09-09,SR,ENTRY,LONG,3,5243.0,0.0,0,1,开仓 LONG 1U@5243.0 vol=3
2020-09-18,SR,ADD_ON,LONG,3,5311.0,0.0,1,2,加仓 +1U@5311.0 vol=3
2020-09-21,SR,ADD_ON,LONG,3,5337.0,0.0,2,3,加仓 +1U@5337.0 vol=3
2020-09-29,SR,STOP_LOSS,LONG,9,5173.0,-11160.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-11160.00
2020-11-17,SR,ENTRY,SHORT,3,5078.0,0.0,0,1,开仓 SHORT 1U@5078.0 vol=3
2020-11-19,SR,ADD_ON,SHORT,3,5041.0,0.0,1,2,加仓 +1U@5041.0 vol=3
2020-12-04,SR,ADD_ON,SHORT,3,5004.0,0.0,2,3,加仓 +1U@5004.0 vol=3
2020-12-18,SR,STOP_LOSS,SHORT,9,5184.0,-12870.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-12870.00
2021-01-05,SR,ENTRY,LONG,3,5335.0,0.0,0,1,开仓 LONG 1U@5335.0 vol=3
2021-01-18,SR,ADD_ON,LONG,4,5435.0,0.0,1,3,加仓 +2U@5435.0 vol=4
2021-01-29,SR,STOP_LOSS,LONG,7,5231.0,-11280.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-11280.00
2021-04-29,SR,ENTRY,LONG,3,5526.0,0.0,0,1,开仓 LONG 1U@5526.0 vol=3
2021-05-07,SR,ADD_ON,LONG,3,5573.0,0.0,1,2,加仓 +1U@5573.0 vol=3
2021-05-10,SR,ADD_ON,LONG,3,5588.0,0.0,2,3,加仓 +1U@5588.0 vol=3
2021-05-28,SR,STOP_LOSS,LONG,9,5539.0,-2100.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-2100.00
2021-08-17,SR,ENTRY,LONG,2,6031.0,0.0,0,1,开仓 LONG 1U@6031.0 vol=2
2021-09-13,SR,STOP_LOSS,LONG,2,5848.0,-3660.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-3660.00
2021-11-10,SR,ENTRY,LONG,2,6123.0,0.0,0,1,开仓 LONG 1U@6123.0 vol=2
2021-11-29,SR,STOP_LOSS,LONG,2,5903.0,-4400.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-4400.00
2021-12-21,SR,ENTRY,SHORT,3,5700.0,0.0,0,1,开仓 SHORT 1U@5700.0 vol=3
2022-01-17,SR,STOP_LOSS,SHORT,3,5821.0,-3630.0,1,0,平仓 STOP_LOSS SHORT 1U PnL=-3630.00
2022-07-04,SR,ENTRY,SHORT,4,5807.0,0.0,0,1,开仓 SHORT 1U@5807.0 vol=4
2022-07-07,SR,ADD_ON,SHORT,6,5739.0,0.0,1,3,加仓 +2U@5739.0 vol=6
2022-09-15,SR,STOP_LOSS,SHORT,10,5585.0,18120.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=18120.00
2022-12-28,SR,ENTRY,LONG,3,5793.0,0.0,0,1,开仓 LONG 1U@5793.0 vol=3
2023-01-11,SR,STOP_LOSS,LONG,3,5644.0,-4470.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-4470.00
2023-03-06,SR,ENTRY,LONG,4,6058.0,0.0,0,1,开仓 LONG 1U@6058.0 vol=4
2023-03-07,SR,ADD_ON,LONG,8,6117.0,0.0,1,3,加仓 +2U@6117.0 vol=8
2023-03-17,SR,STOP_LOSS,LONG,12,6118.0,2480.0,3,0,平仓 STOP_LOSS LONG 3U PnL=2480.00
2023-03-31,SR,ENTRY,LONG,3,6443.0,0.0,0,1,开仓 LONG 1U@6443.0 vol=3
2023-04-04,SR,ADD_ON,LONG,2,6490.0,0.0,1,2,加仓 +1U@6490.0 vol=2
2023-04-07,SR,ADD_ON,LONG,2,6545.0,0.0,2,3,加仓 +1U@6545.0 vol=2
2023-06-01,SR,STOP_LOSS,LONG,7,6850.0,25510.0,3,0,平仓 STOP_LOSS LONG 3U PnL=25510.00
2023-08-22,SR,ENTRY,LONG,3,6979.0,0.0,0,1,开仓 LONG 1U@6979.0 vol=3
2023-09-04,SR,ADD_ON,LONG,2,7040.0,0.0,1,2,加仓 +1U@7040.0 vol=2
2023-09-07,SR,ADD_ON,LONG,2,7111.0,0.0,2,3,加仓 +1U@7111.0 vol=2
2023-09-15,SR,STOP_LOSS,LONG,7,6888.0,-10230.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-10230.00
2023-12-07,SR,ENTRY,SHORT,2,6313.0,0.0,0,1,开仓 SHORT 1U@6313.0 vol=2
