date,symbol,trade_type,direction,volume,price,pnl,units_before,units_after,remark
2019-04-19,TA,ENTRY,SHORT,3,6012.0,0.0,0,1,开仓 SHORT 1U@6012.0 vol=3
2019-05-07,TA,ADD_ON,SHORT,6,5858.0,0.0,1,3,加仓 +2U@5858.0 vol=6
2019-06-20,TA,STOP_LOSS,SHORT,9,5562.0,15630.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=15630.00
2019-08-05,TA,ENTRY,SHORT,2,5242.0,0.0,0,1,开仓 SHORT 1U@5242.0 vol=2
2019-08-07,TA,ADD_ON,SHORT,2,5126.0,0.0,1,2,加仓 +1U@5126.0 vol=2
2019-08-23,TA,ADD_ON,SHORT,3,5100.0,0.0,2,3,加仓 +1U@5100.0 vol=3
2019-09-18,TA,STOP_LOSS,SHORT,7,5398.0,-8750.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-8750.00
2019-10-22,TA,ENTRY,SHORT,4,4842.0,0.0,0,1,开仓 SHORT 1U@4842.0 vol=4
2019-11-07,TA,ADD_ON,SHORT,5,4800.0,0.0,1,2,加仓 +1U@4800.0 vol=5
2019-11-08,TA,ADD_ON,SHORT,5,4772.0,0.0,2,3,加仓 +1U@4772.0 vol=5
2019-12-10,TA,STOP_LOSS,SHORT,14,4896.0,-6580.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-6580.00
2019-12-17,TA,ENTRY,LONG,5,4978.0,0.0,0,1,开仓 LONG 1U@4978.0 vol=5
2019-12-30,TA,ADD_ON,LONG,6,5050.0,0.0,1,2,加仓 +1U@5050.0 vol=6
2019-12-31,TA,ADD_ON,LONG,6,5076.0,0.0,2,3,加仓 +1U@5076.0 vol=6
2020-01-16,TA,STOP_LOSS,LONG,17,4872.0,-14110.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-14110.00
2020-02-05,TA,ENTRY,SHORT,4,4358.0,0.0,0,1,开仓 SHORT 1U@4358.0 vol=4
2020-03-02,TA,ADD_ON,SHORT,10,4254.0,0.0,1,3,加仓 +2U@4254.0 vol=10
2020-04-10,TA,STOP_LOSS,SHORT,14,3494.0,36240.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=36240.00
2020-05-21,TA,ENTRY,LONG,4,3738.0,0.0,0,1,开仓 LONG 1U@3738.0 vol=4
2020-06-30,TA,STOP_LOSS,LONG,4,3640.0,-1960.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-1960.00
2020-07-21,TA,ENTRY,SHORT,7,3514.0,0.0,0,1,开仓 SHORT 1U@3514.0 vol=7
2020-08-10,TA,STOP_LOSS,SHORT,7,3678.0,-5740.0,1,0,平仓 STOP_LOSS SHORT 1U PnL=-5740.00
2020-09-23,TA,ENTRY,SHORT,8,3580.0,0.0,0,1,开仓 SHORT 1U@3580.0 vol=8
2020-09-24,TA,ADD_ON,SHORT,16,3524.0,0.0,1,3,加仓 +2U@3524.0 vol=16
2020-10-16,TA,STOP_LOSS,SHORT,24,3554.0,-1360.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-1360.00
2020-11-03,TA,ENTRY,SHORT,6,3354.0,0.0,0,1,开仓 SHORT 1U@3354.0 vol=6
2020-11-06,TA,ADD_ON,SHORT,6,3300.0,0.0,1,2,加仓 +1U@3300.0 vol=6
2020-11-09,TA,ADD_ON,SHORT,6,3224.0,0.0,2,3,加仓 +1U@3224.0 vol=6
2020-11-20,TA,STOP_LOSS,SHORT,18,3438.0,-13080.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-13080.00
2020-12-08,TA,ENTRY,LONG,5,3762.0,0.0,0,1,开仓 LONG 1U@3762.0 vol=5
2020-12-15,TA,ADD_ON,LONG,5,3838.0,0.0,1,2,加仓 +1U@3838.0 vol=5
2020-12-18,TA,ADD_ON,LONG,5,3866.0,0.0,2,3,加仓 +1U@3866.0 vol=5
2021-03-22,TA,STOP_LOSS,LONG,15,4302.0,36000.0,3,0,平仓 STOP_LOSS LONG 3U PnL=36000.00
2021-04-29,TA,ENTRY,LONG,4,4882.0,0.0,0,1,开仓 LONG 1U@4882.0 vol=4
2021-05-24,TA,STOP_LOSS,LONG,4,4626.0,-5120.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-5120.00
2021-06-25,TA,ENTRY,LONG,4,4980.0,0.0,0,1,开仓 LONG 1U@4980.0 vol=4
2021-06-28,TA,ADD_ON,LONG,6,5170.0,0.0,1,3,加仓 +2U@5170.0 vol=6
2021-07-21,TA,STOP_LOSS,LONG,10,4932.0,-8100.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-8100.00
2021-07-30,TA,ENTRY,LONG,2,5506.0,0.0,0,1,开仓 LONG 1U@5506.0 vol=2
2021-08-17,TA,STOP_LOSS,LONG,2,5116.0,-3900.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-3900.00
2021-09-03,TA,ENTRY,SHORT,3,4844.0,0.0,0,1,开仓 SHORT 1U@4844.0 vol=3
2021-09-09,TA,ADD_ON,SHORT,3,4782.0,0.0,1,2,加仓 +1U@4782.0 vol=3
