date,symbol,trade_type,direction,volume,price,pnl,units_before,units_after,remark
2019-10-23,UR,ENTRY,SHORT,5,1683.0,0.0,0,1,开仓 SHORT 1U@1683.0 vol=5
2019-11-08,UR,ADD_ON,SHORT,6,1670.0,0.0,1,2,加仓 +1U@1670.0 vol=6
2019-11-11,UR,ADD_ON,SHORT,6,1645.0,0.0,2,3,加仓 +1U@1645.0 vol=6
2019-11-28,UR,STOP_LOSS,SHORT,17,1676.0,-3740.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-3740.00
2020-02-25,UR,ENTRY,LONG,4,1799.0,0.0,0,1,开仓 LONG 1U@1799.0 vol=4
2020-03-05,UR,ADD_ON,LONG,4,1822.0,0.0,1,2,加仓 +1U@1822.0 vol=4
2020-03-09,UR,ADD_ON,LONG,4,1781.0,0.0,2,3,加仓 +1U@1781.0 vol=4
2020-03-13,UR,STOP_LOSS,LONG,12,1710.0,-21760.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-21760.00
2020-03-31,UR,ENTRY,SHORT,3,1616.0,0.0,0,1,开仓 SHORT 1U@1616.0 vol=3
2020-04-10,UR,ADD_ON,SHORT,6,1572.0,0.0,1,3,加仓 +2U@1572.0 vol=6
2020-05-26,UR,STOP_LOSS,SHORT,9,1551.0,6420.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=6420.00
2020-07-24,UR,ENTRY,LONG,4,1632.0,0.0,0,1,开仓 LONG 1U@1632.0 vol=4
2020-07-29,UR,STOP_LOSS,LONG,4,1602.0,-2400.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-2400.00
2020-08-04,UR,ENTRY,LONG,3,1754.0,0.0,0,1,开仓 LONG 1U@1754.0 vol=3
2020-08-10,UR,ADD_ON,LONG,4,1789.0,0.0,1,3,加仓 +2U@1789.0 vol=4
2020-08-18,UR,STOP_LOSS,LONG,7,1633.0,-19740.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-19740.00
2020-11-02,UR,ENTRY,LONG,4,1765.0,0.0,0,1,开仓 LONG 1U@1765.0 vol=4
2020-11-13,UR,ADD_ON,LONG,3,1794.0,0.0,1,2,加仓 +1U@1794.0 vol=3
2020-11-16,UR,ADD_ON,LONG,3,1800.0,0.0,2,3,加仓 +1U@1800.0 vol=3
2020-12-04,UR,STOP_LOSS,LONG,10,1749.0,-7040.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-7040.00
2021-01-13,UR,ENTRY,LONG,2,1972.0,0.0,0,1,开仓 LONG 1U@1972.0 vol=2
2021-01-15,UR,ADD_ON,LONG,2,2027.0,0.0,1,2,加仓 +1U@2027.0 vol=2
2021-01-18,UR,ADD_ON,LONG,2,2020.0,0.0,2,3,加仓 +1U@2020.0 vol=2
2021-03-03,UR,STOP_LOSS,LONG,6,1939.0,-8080.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-8080.00
2021-04-23,UR,ENTRY,LONG,2,2101.0,0.0,0,1,开仓 LONG 1U@2101.0 vol=2
2021-05-06,UR,ADD_ON,LONG,3,2102.0,0.0,1,2,加仓 +1U@2102.0 vol=3
2021-05-07,UR,ADD_ON,LONG,2,2151.0,0.0,2,3,加仓 +1U@2151.0 vol=2
2021-06-17,UR,STOP_LOSS,LONG,7,2160.0,6200.0,3,0,平仓 STOP_LOSS LONG 3U PnL=6200.00
2021-07-20,UR,ENTRY,LONG,2,2480.0,0.0,0,1,开仓 LONG 1U@2480.0 vol=2
2021-07-22,UR,ADD_ON,LONG,2,2527.0,0.0,1,2,加仓 +1U@2527.0 vol=2
2021-07-26,UR,ADD_ON,LONG,2,2551.0,0.0,2,3,加仓 +1U@2551.0 vol=2
2021-08-13,UR,STOP_LOSS,LONG,6,2363.0,-18760.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-18760.00
2021-08-26,UR,ENTRY,SHORT,1,2187.0,0.0,0,1,开仓 SHORT 1U@2187.0 vol=1
2021-09-06,UR,STOP_LOSS,SHORT,1,2396.0,-4180.0,1,0,平仓 STOP_LOSS SHORT 1U PnL=-4180.00
2021-09-24,UR,ENTRY,LONG,1,2896.0,0.0,0,1,开仓 LONG 1U@2896.0 vol=1
2021-10-08,UR,ADD_ON,LONG,1,3151.0,0.0,1,2,加仓 +1U@3151.0 vol=1
2021-10-11,UR,ADD_ON,LONG,1,3206.0,0.0,2,3,加仓 +1U@3206.0 vol=1
2021-10-25,UR,STOP_LOSS,LONG,3,2799.0,-17120.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-17120.00
2021-11-22,UR,ENTRY,SHORT,1,2214.0,0.0,0,1,开仓 SHORT 1U@2214.0 vol=1
2021-12-08,UR,STOP_LOSS,SHORT,1,2350.0,-2720.0,1,0,平仓 STOP_LOSS SHORT 1U PnL=-2720.00
2022-01-10,UR,ENTRY,LONG,1,2539.0,0.0,0,1,开仓 LONG 1U@2539.0 vol=1
2022-01-20,UR,ADD_ON,LONG,1,2572.0,0.0,1,2,加仓 +1U@2572.0 vol=1
2022-01-24,UR,ADD_ON,LONG,1,2623.0,0.0,2,3,加仓 +1U@2623.0 vol=1
2022-02-21,UR,STOP_LOSS,LONG,3,2495.0,-4980.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-4980.00
2022-03-22,UR,ENTRY,LONG,1,2900.0,0.0,0,1,开仓 LONG 1U@2900.0 vol=1
2022-04-08,UR,STOP_LOSS,LONG,1,2696.0,-4080.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-4080.00
