date,symbol,trade_type,direction,volume,price,pnl,units_before,units_after,remark
2019-07-19,AG,ENTRY,LONG,3,3889.0,0.0,0,1,开仓 LONG 1U@3889.0 vol=3
2019-07-22,AG,ADD_ON,LONG,4,3967.0,0.0,1,3,加仓 +2U@3967.0 vol=4
2019-09-11,AG,STOP_LOSS,LONG,7,4437.0,52860.0,3,0,平仓 STOP_LOSS LONG 3U PnL=52860.00
2020-01-06,AG,ENTRY,LONG,2,4459.0,0.0,0,1,开仓 LONG 1U@4459.0 vol=2
2020-01-07,AG,ADD_ON,LONG,2,4528.0,0.0,1,2,加仓 +1U@4528.0 vol=2
2020-01-15,AG,STOP_LOSS,LONG,4,4279.0,-12870.0,2,0,平仓 STOP_LOSS LONG 2U PnL=-12870.00
2020-03-10,AG,ENTRY,SHORT,2,4014.0,0.0,0,1,开仓 SHORT 1U@4014.0 vol=2
2020-03-16,AG,ADD_ON,SHORT,2,3575.0,0.0,1,3,加仓 +2U@3575.0 vol=2
2020-03-26,AG,STOP_LOSS,SHORT,4,3514.0,16830.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=16830.00
2020-05-18,AG,ENTRY,LONG,1,4073.0,0.0,0,1,开仓 LONG 1U@4073.0 vol=1
2020-05-19,AG,ADD_ON,LONG,2,4216.0,0.0,1,3,加仓 +2U@4216.0 vol=2
2020-06-18,AG,STOP_LOSS,LONG,3,4261.0,4170.0,3,0,平仓 STOP_LOSS LONG 3U PnL=4170.00
2020-07-10,AG,ENTRY,LONG,2,4536.0,0.0,0,1,开仓 LONG 1U@4536.0 vol=2
2020-07-16,AG,ADD_ON,LONG,2,4617.0,0.0,1,2,加仓 +1U@4617.0 vol=2
2020-07-22,AG,ADD_ON,LONG,1,5009.0,0.0,2,3,加仓 +1U@5009.0 vol=1
2020-08-27,AG,STOP_LOSS,LONG,5,5830.0,87525.0,3,0,平仓 STOP_LOSS LONG 3U PnL=87525.00
2020-09-23,AG,ENTRY,SHORT,1,5229.0,0.0,0,1,开仓 SHORT 1U@5229.0 vol=1
2020-09-24,AG,ADD_ON,SHORT,2,4970.0,0.0,1,3,加仓 +2U@4970.0 vol=2
2020-10-26,AG,STOP_LOSS,SHORT,3,5235.0,-8040.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-8040.00
2020-12-01,AG,ENTRY,SHORT,1,4667.0,0.0,0,1,开仓 SHORT 1U@4667.0 vol=1
2020-12-07,AG,STOP_LOSS,SHORT,1,5094.0,-6405.0,1,0,平仓 STOP_LOSS SHORT 1U PnL=-6405.00
2021-04-01,AG,ENTRY,SHORT,1,5034.0,0.0,0,1,开仓 SHORT 1U@5034.0 vol=1
2021-04-19,AG,STOP_LOSS,SHORT,1,5485.0,-6765.0,1,0,平仓 STOP_LOSS SHORT 1U PnL=-6765.00
2021-05-07,AG,ENTRY,LONG,1,5566.0,0.0,0,1,开仓 LONG 1U@5566.0 vol=1
2021-05-10,AG,ADD_ON,LONG,1,5695.0,0.0,1,2,加仓 +1U@5695.0 vol=1
2021-05-11,AG,ADD_ON,LONG,1,5734.0,0.0,2,3,加仓 +1U@5734.0 vol=1
2021-06-18,AG,STOP_LOSS,LONG,3,5442.0,-10035.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-10035.00
2021-07-21,AG,ENTRY,SHORT,1,5271.0,0.0,0,1,开仓 SHORT 1U@5271.0 vol=1
2021-08-10,AG,ADD_ON,SHORT,2,5083.0,0.0,1,3,加仓 +2U@5083.0 vol=2
2021-09-07,AG,STOP_LOSS,SHORT,3,5271.0,-5640.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-5640.00
2021-09-22,AG,ENTRY,SHORT,1,4813.0,0.0,0,1,开仓 SHORT 1U@4813.0 vol=1
2021-09-30,AG,ADD_ON,SHORT,1,4719.0,0.0,1,2,加仓 +1U@4719.0 vol=1
2021-10-08,AG,ADD_ON,SHORT,1,4796.0,0.0,2,3,加仓 +1U@4796.0 vol=1
2021-10-15,AG,STOP_LOSS,SHORT,3,4985.0,-9405.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-9405.00
2021-12-13,AG,ENTRY,SHORT,1,4616.0,0.0,0,1,开仓 SHORT 1U@4616.0 vol=1
2021-12-24,AG,STOP_LOSS,SHORT,1,4865.0,-3735.0,1,0,平仓 STOP_LOSS SHORT 1U PnL=-3735.00
2022-03-09,AG,ENTRY,LONG,1,5268.0,0.0,0,1,开仓 LONG 1U@5268.0 vol=1
2022-03-10,AG,ADD_ON,LONG,1,5251.0,0.0,1,2,加仓 +1U@5251.0 vol=1
2022-03-16,AG,STOP_LOSS,LONG,2,4969.0,-8715.0,2,0,平仓 STOP_LOSS LONG 2U PnL=-8715.00
2022-05-09,AG,ENTRY,SHORT,1,4821.0,0.0,0,1,开仓 SHORT 1U@4821.0 vol=1
2022-05-12,AG,ADD_ON,SHORT,1,4708.0,0.0,1,2,加仓 +1U@4708.0 vol=1
2022-05-13,AG,ADD_ON,SHORT,1,4669.0,0.0,2,3,加仓 +1U@4669.0 vol=1
2022-06-07,AG,STOP_LOSS,SHORT,3,4848.0,-5190.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-5190.00
2022-06-27,AG,ENTRY,SHORT,1,4509.0,0.0,0,1,开仓 SHORT 1U@4509.0 vol=1
2022-07-04,AG,ADD_ON,SHORT,2,4283.0,0.0,1,3,加仓 +2U@4283.0 vol=2
2022-08-01,AG,STOP_LOSS,SHORT,3,4428.0,-3135.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-3135.00
2022-10-27,AG,ENTRY,LONG,1,4571.0,0.0,0,1,开仓 LONG 1U@4571.0 vol=1
2022-11-02,AG,ADD_ON,LONG,2,4656.0,0.0,1,2,加仓 +1U@4656.0 vol=2
2022-11-08,AG,ADD_ON,LONG,2,4755.0,0.0,2,3,加仓 +1U@4755.0 vol=2
2023-01-20,AG,STOP_LOSS,LONG,5,5172.0,37005.0,3,0,平仓 STOP_LOSS LONG 3U PnL=37005.00
2023-02-13,AG,ENTRY,SHORT,1,4950.0,0.0,0,1,开仓 SHORT 1U@4950.0 vol=1
2023-02-20,AG,ADD_ON,SHORT,1,4881.0,0.0,1,2,加仓 +1U@4881.0 vol=1
2023-03-09,AG,ADD_ON,SHORT,2,4795.0,0.0,2,3,加仓 +1U@4795.0 vol=2
2023-03-15,AG,STOP_LOSS,SHORT,4,5051.0,-11745.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-11745.00
2023-04-03,AG,ENTRY,LONG,1,5358.0,0.0,0,1,开仓 LONG 1U@5358.0 vol=1
2023-04-07,AG,ADD_ON,LONG,2,5549.0,0.0,1,3,加仓 +2U@5549.0 vol=2
2023-05-15,AG,STOP_LOSS,LONG,3,5443.0,-1905.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-1905.00
2023-07-20,AG,ENTRY,LONG,2,5954.0,0.0,0,1,开仓 LONG 1U@5954.0 vol=2
2023-08-04,AG,STOP_LOSS,LONG,2,5619.0,-10050.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-10050.00
2024-03-15,AG,ENTRY,LONG,2,6284.0,0.0,0,1,开仓 LONG 1U@6284.0 vol=2
2024-03-18,AG,ADD_ON,LONG,2,6347.0,0.0,1,2,加仓 +1U@6347.0 vol=2
2024-03-22,AG,ADD_ON,LONG,1,6453.0,0.0,2,3,加仓 +1U@6453.0 vol=1
2024-06-14,AG,STOP_LOSS,LONG,5,7751.0,105600.0,3,0,平仓 STOP_LOSS LONG 3U PnL=105600.00
2024-08-07,AG,ENTRY,SHORT,1,6883.0,0.0,0,1,开仓 SHORT 1U@6883.0 vol=1
2024-08-21,AG,STOP_LOSS,SHORT,1,7620.0,-11055.0,1,0,平仓 STOP_LOSS SHORT 1U PnL=-11055.00
2024-10-22,AG,ENTRY,LONG,1,8369.0,0.0,0,1,开仓 LONG 1U@8369.0 vol=1
2024-11-08,AG,STOP_LOSS,LONG,1,7736.0,-9495.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-9495.00
2025-02-17,AG,ENTRY,LONG,1,8264.0,0.0,0,1,开仓 LONG 1U@8264.0 vol=1
2025-03-04,AG,STOP_LOSS,LONG,1,7966.0,-4470.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-4470.00
