date,symbol,trade_type,direction,volume,price,pnl,units_before,units_after,remark
2019-04-26,AL,ENTRY,LONG,4,14225.0,0.0,0,1,开仓 LONG 1U@14225.0 vol=4
2019-05-07,AL,STOP_LOSS,LONG,4,13915.0,-6200.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-6200.00
2019-05-16,AL,ENTRY,LONG,4,14350.0,0.0,0,1,开仓 LONG 1U@14350.0 vol=4
2019-06-04,AL,STOP_LOSS,LONG,4,14125.0,-4500.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-4500.00
2019-07-03,AL,ENTRY,SHORT,4,13675.0,0.0,0,1,开仓 SHORT 1U@13675.0 vol=4
2019-07-19,AL,STOP_LOSS,SHORT,4,13880.0,-4100.0,1,0,平仓 STOP_LOSS SHORT 1U PnL=-4100.00
2019-10-14,AL,ENTRY,SHORT,3,13780.0,0.0,0,1,开仓 SHORT 1U@13780.0 vol=3
2019-11-06,AL,STOP_LOSS,SHORT,3,13975.0,-2925.0,1,0,平仓 STOP_LOSS SHORT 1U PnL=-2925.00
2020-02-28,AL,ENTRY,SHORT,4,13390.0,0.0,0,1,开仓 SHORT 1U@13390.0 vol=4
2020-03-02,AL,ADD_ON,SHORT,6,13190.0,0.0,1,3,加仓 +2U@13190.0 vol=6
2020-04-17,AL,STOP_LOSS,SHORT,10,12125.0,57250.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=57250.00
2020-05-20,AL,ENTRY,LONG,2,12835.0,0.0,0,1,开仓 LONG 1U@12835.0 vol=2
2020-05-27,AL,ADD_ON,LONG,2,12965.0,0.0,1,2,加仓 +1U@12965.0 vol=2
2020-05-29,AL,ADD_ON,LONG,2,13135.0,0.0,2,3,加仓 +1U@13135.0 vol=2
2020-07-17,AL,STOP_LOSS,LONG,6,14050.0,32150.0,3,0,平仓 STOP_LOSS LONG 3U PnL=32150.00
2020-11-12,AL,ENTRY,LONG,2,15185.0,0.0,0,1,开仓 LONG 1U@15185.0 vol=2
2020-11-13,AL,ADD_ON,LONG,2,15355.0,0.0,1,2,加仓 +1U@15355.0 vol=2
2020-11-16,AL,ADD_ON,LONG,2,15540.0,0.0,2,3,加仓 +1U@15540.0 vol=2
2020-12-25,AL,STOP_LOSS,LONG,6,15965.0,18150.0,3,0,平仓 STOP_LOSS LONG 3U PnL=18150.00
2021-01-12,AL,ENTRY,SHORT,1,15050.0,0.0,0,1,开仓 SHORT 1U@15050.0 vol=1
2021-01-14,AL,ADD_ON,SHORT,1,14715.0,0.0,1,2,加仓 +1U@14715.0 vol=1
2021-01-20,AL,ADD_ON,SHORT,1,14710.0,0.0,2,3,加仓 +1U@14710.0 vol=1
2021-02-08,AL,STOP_LOSS,SHORT,3,15615.0,-11850.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-11850.00
2021-02-26,AL,ENTRY,LONG,1,17455.0,0.0,0,1,开仓 LONG 1U@17455.0 vol=1
2021-03-18,AL,ADD_ON,LONG,1,17870.0,0.0,1,2,加仓 +1U@17870.0 vol=1
2021-04-15,AL,ADD_ON,LONG,1,17890.0,0.0,2,3,加仓 +1U@17890.0 vol=1
2021-05-24,AL,STOP_LOSS,LONG,3,19130.0,20875.0,3,0,平仓 STOP_LOSS LONG 3U PnL=20875.00
2021-07-15,AL,ENTRY,LONG,1,19490.0,0.0,0,1,开仓 LONG 1U@19490.0 vol=1
2021-07-30,AL,ADD_ON,LONG,1,19765.0,0.0,1,2,加仓 +1U@19765.0 vol=1
2021-08-02,AL,ADD_ON,LONG,1,20165.0,0.0,2,3,加仓 +1U@20165.0 vol=1
2021-10-25,AL,STOP_LOSS,LONG,3,21860.0,30800.0,3,0,平仓 STOP_LOSS LONG 3U PnL=30800.00
2021-11-08,AL,ENTRY,SHORT,1,18700.0,0.0,0,1,开仓 SHORT 1U@18700.0 vol=1
2021-12-20,AL,STOP_LOSS,SHORT,1,19775.0,-5375.0,1,0,平仓 STOP_LOSS SHORT 1U PnL=-5375.00
2021-12-31,AL,ENTRY,LONG,1,20455.0,0.0,0,1,开仓 LONG 1U@20455.0 vol=1
2022-01-07,AL,ADD_ON,LONG,1,20790.0,0.0,1,2,加仓 +1U@20790.0 vol=1
2022-01-10,AL,ADD_ON,LONG,1,21100.0,0.0,2,3,加仓 +1U@21100.0 vol=1
