date,symbol,trade_type,direction,volume,price,pnl,units_before,units_after,remark
2019-06-03,FU,ENTRY,SHORT,2,2613.0,0.0,0,1,开仓 SHORT 1U@2613.0 vol=2
2019-06-04,FU,ADD_ON,SHORT,2,2578.0,0.0,1,2,加仓 +1U@2578.0 vol=2
2019-06-17,FU,ADD_ON,SHORT,2,2484.0,0.0,2,3,加仓 +1U@2484.0 vol=2
2019-06-27,FU,STOP_LOSS,SHORT,6,2704.0,-8740.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-8740.00
2019-07-12,FU,ENTRY,LONG,2,3141.0,0.0,0,1,开仓 LONG 1U@3141.0 vol=2
2019-08-07,FU,STOP_LOSS,LONG,2,2366.0,-4440.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-4440.00
2019-10-23,FU,ENTRY,SHORT,4,2112.0,0.0,0,1,开仓 SHORT 1U@2112.0 vol=4
2019-11-07,FU,ADD_ON,SHORT,5,2088.0,0.0,1,2,加仓 +1U@2088.0 vol=5
2019-11-08,FU,ADD_ON,SHORT,5,2067.0,0.0,2,3,加仓 +1U@2067.0 vol=5
2019-11-29,FU,STOP_LOSS,SHORT,14,1927.0,22450.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=22450.00
2019-12-23,FU,ENTRY,LONG,4,2167.0,0.0,0,1,开仓 LONG 1U@2167.0 vol=4
2019-12-31,FU,ADD_ON,LONG,8,2236.0,0.0,1,3,加仓 +2U@2236.0 vol=8
2020-02-04,FU,STOP_LOSS,LONG,12,1968.0,-29400.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-29400.00
2020-03-11,FU,ENTRY,SHORT,2,1736.0,0.0,0,1,开仓 SHORT 1U@1736.0 vol=2
2020-03-12,FU,ADD_ON,SHORT,2,1640.0,0.0,1,2,加仓 +1U@1640.0 vol=2
2020-03-13,FU,ADD_ON,SHORT,2,1543.0,0.0,2,3,加仓 +1U@1543.0 vol=2
2020-04-08,FU,STOP_LOSS,SHORT,6,1706.0,-3980.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-3980.00
2020-06-04,FU,ENTRY,LONG,3,1727.0,0.0,0,1,开仓 LONG 1U@1727.0 vol=3
2020-06-09,FU,ADD_ON,LONG,4,1758.0,0.0,1,2,加仓 +1U@1758.0 vol=4
2020-06-30,FU,STOP_LOSS,LONG,7,1651.0,-6560.0,2,0,平仓 STOP_LOSS LONG 2U PnL=-6560.00
2020-08-21,FU,ENTRY,LONG,4,1938.0,0.0,0,1,开仓 LONG 1U@1938.0 vol=4
2020-08-24,FU,ADD_ON,LONG,4,1960.0,0.0,1,2,加仓 +1U@1960.0 vol=4
2020-08-26,FU,ADD_ON,LONG,3,2029.0,0.0,2,3,加仓 +1U@2029.0 vol=3
2020-09-10,FU,STOP_LOSS,LONG,11,1833.0,-15160.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-15160.00
2020-12-08,FU,ENTRY,LONG,3,2108.0,0.0,0,1,开仓 LONG 1U@2108.0 vol=3
2020-12-18,FU,ADD_ON,LONG,6,2181.0,0.0,1,3,加仓 +2U@2181.0 vol=6
2021-01-29,FU,STOP_LOSS,LONG,9,2121.0,-3210.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-3210.00
2021-02-10,FU,ENTRY,LONG,4,2335.0,0.0,0,1,开仓 LONG 1U@2335.0 vol=4
2021-02-18,FU,STOP_LOSS,LONG,4,2407.0,2880.0,1,0,平仓 STOP_LOSS LONG 1U PnL=2880.00
2021-02-19,FU,ENTRY,LONG,3,2401.0,0.0,0,1,开仓 LONG 1U@2401.0 vol=3
2021-02-24,FU,ADD_ON,LONG,2,2444.0,0.0,1,2,加仓 +1U@2444.0 vol=2
2021-03-09,FU,ADD_ON,LONG,2,2608.0,0.0,2,3,加仓 +1U@2608.0 vol=2
2021-03-25,FU,STOP_LOSS,LONG,7,2352.0,-8430.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-8430.00
2021-06-24,FU,ENTRY,LONG,3,2744.0,0.0,0,1,开仓 LONG 1U@2744.0 vol=3
2021-07-12,FU,STOP_LOSS,LONG,3,2600.0,-4320.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-4320.00
2021-08-20,FU,ENTRY,SHORT,3,2351.0,0.0,0,1,开仓 SHORT 1U@2351.0 vol=3
2021-08-30,FU,STOP_LOSS,SHORT,3,2572.0,-6630.0,1,0,平仓 STOP_LOSS SHORT 1U PnL=-6630.00
2021-09-15,FU,ENTRY,LONG,3,2734.0,0.0,0,1,开仓 LONG 1U@2734.0 vol=3
2021-09-22,FU,ADD_ON,LONG,3,2743.0,0.0,1,2,加仓 +1U@2743.0 vol=3
2021-09-23,FU,ADD_ON,LONG,3,2840.0,0.0,2,3,加仓 +1U@2840.0 vol=3
2021-10-29,FU,STOP_LOSS,LONG,9,2848.0,6810.0,3,0,平仓 STOP_LOSS LONG 3U PnL=6810.00
2021-11-30,FU,ENTRY,SHORT,2,2662.0,0.0,0,1,开仓 SHORT 1U@2662.0 vol=2
2021-12-01,FU,ADD_ON,SHORT,2,2551.0,0.0,1,2,加仓 +1U@2551.0 vol=2
2021-12-02,FU,ADD_ON,SHORT,2,2555.0,0.0,2,3,加仓 +1U@2555.0 vol=2
2021-12-23,FU,STOP_LOSS,SHORT,6,2680.0,-5440.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-5440.00
2022-01-10,FU,ENTRY,LONG,3,2955.0,0.0,0,1,开仓 LONG 1U@2955.0 vol=3
2022-01-17,FU,ADD_ON,LONG,3,3001.0,0.0,1,2,加仓 +1U@3001.0 vol=3
2022-01-18,FU,ADD_ON,LONG,3,3025.0,0.0,2,3,加仓 +1U@3025.0 vol=3
2022-03-16,FU,STOP_LOSS,LONG,9,3585.0,53220.0,3,0,平仓 STOP_LOSS LONG 3U PnL=53220.00
2022-05-06,FU,ENTRY,LONG,1,4441.0,0.0,0,1,开仓 LONG 1U@4441.0 vol=1
2022-05-11,FU,STOP_LOSS,LONG,1,3982.0,-4590.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-4590.00
2022-06-21,FU,ENTRY,SHORT,1,3848.0,0.0,0,1,开仓 SHORT 1U@3848.0 vol=1
2022-06-23,FU,ADD_ON,SHORT,1,3689.0,0.0,1,2,加仓 +1U@3689.0 vol=1
2022-07-05,FU,ADD_ON,SHORT,1,3679.0,0.0,2,3,加仓 +1U@3679.0 vol=1
2022-08-03,FU,STOP_LOSS,SHORT,3,3200.0,16160.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=16160.00
2022-09-27,FU,ENTRY,SHORT,2,2654.0,0.0,0,1,开仓 SHORT 1U@2654.0 vol=2
2022-10-27,FU,ADD_ON,SHORT,2,2608.0,0.0,1,2,加仓 +1U@2608.0 vol=2
2022-11-07,FU,STOP_LOSS,SHORT,4,2901.0,-10800.0,2,0,平仓 STOP_LOSS SHORT 2U PnL=-10800.00
2022-12-08,FU,ENTRY,SHORT,2,2505.0,0.0,0,1,开仓 SHORT 1U@2505.0 vol=2
2022-12-20,FU,ADD_ON,SHORT,2,2440.0,0.0,1,2,加仓 +1U@2440.0 vol=2
2022-12-23,FU,STOP_LOSS,SHORT,4,2702.0,-9180.0,2,0,平仓 STOP_LOSS SHORT 2U PnL=-9180.00
2023-02-17,FU,ENTRY,LONG,2,2896.0,0.0,0,1,开仓 LONG 1U@2896.0 vol=2
2023-03-02,FU,ADD_ON,LONG,3,2914.0,0.0,1,2,加仓 +1U@2914.0 vol=3
2023-03-03,FU,ADD_ON,LONG,3,2998.0,0.0,2,3,加仓 +1U@2998.0 vol=3
2023-03-16,FU,STOP_LOSS,LONG,8,2756.0,-14800.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-14800.00
2023-07-06,FU,ENTRY,LONG,2,3165.0,0.0,0,1,开仓 LONG 1U@3165.0 vol=2
2023-07-11,FU,ADD_ON,LONG,2,3199.0,0.0,1,2,加仓 +1U@3199.0 vol=2
2023-07-21,FU,ADD_ON,LONG,3,3251.0,0.0,2,3,加仓 +1U@3251.0 vol=3
2023-08-30,FU,STOP_LOSS,LONG,7,3563.0,24600.0,3,0,平仓 STOP_LOSS LONG 3U PnL=24600.00
2023-09-14,FU,ENTRY,LONG,2,3820.0,0.0,0,1,开仓 LONG 1U@3820.0 vol=2
2023-10-10,FU,STOP_LOSS,LONG,2,3387.0,-8660.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-8660.00
2023-11-08,FU,ENTRY,SHORT,2,3182.0,0.0,0,1,开仓 SHORT 1U@3182.0 vol=2
2023-11-09,FU,ADD_ON,SHORT,2,3067.0,0.0,1,2,加仓 +1U@3067.0 vol=2
2023-11-20,FU,ADD_ON,SHORT,2,3110.0,0.0,2,3,加仓 +1U@3110.0 vol=2
2023-12-28,FU,STOP_LOSS,SHORT,6,3109.0,640.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=640.00
2024-03-08,FU,ENTRY,LONG,4,3219.0,0.0,0,1,开仓 LONG 1U@3219.0 vol=4
2024-03-11,FU,ADD_ON,LONG,4,3207.0,0.0,1,2,加仓 +1U@3207.0 vol=4
2024-03-15,FU,ADD_ON,LONG,4,3306.0,0.0,2,3,加仓 +1U@3306.0 vol=4
2024-05-07,FU,STOP_LOSS,LONG,12,3408.0,19680.0,3,0,平仓 STOP_LOSS LONG 3U PnL=19680.00
2024-07-03,FU,ENTRY,LONG,3,3628.0,0.0,0,1,开仓 LONG 1U@3628.0 vol=3
2024-07-18,FU,STOP_LOSS,LONG,3,3521.0,-3210.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-3210.00
2024-08-06,FU,ENTRY,SHORT,3,3124.0,0.0,0,1,开仓 SHORT 1U@3124.0 vol=3
2024-08-20,FU,ADD_ON,SHORT,2,3066.0,0.0,1,2,加仓 +1U@3066.0 vol=2
2024-08-21,FU,ADD_ON,SHORT,2,3028.0,0.0,2,3,加仓 +1U@3028.0 vol=2
2024-10-09,FU,STOP_LOSS,SHORT,7,3163.0,-5810.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-5810.00
2024-12-03,FU,ENTRY,LONG,3,3192.0,0.0,0,1,开仓 LONG 1U@3192.0 vol=3
2024-12-06,FU,STOP_LOSS,LONG,3,3028.0,-4920.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-4920.00
2025-01-02,FU,ENTRY,LONG,3,3347.0,0.0,0,1,开仓 LONG 1U@3347.0 vol=3
2025-01-13,FU,ADD_ON,LONG,8,3508.0,0.0,1,3,加仓 +2U@3508.0 vol=8
2025-02-14,FU,STOP_LOSS,LONG,11,3414.0,-5510.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-5510.00
2025-03-05,FU,ENTRY,SHORT,2,3072.0,0.0,0,1,开仓 SHORT 1U@3072.0 vol=2
2025-03-28,FU,STOP_LOSS,SHORT,2,3226.0,-3080.0,1,0,平仓 STOP_LOSS SHORT 1U PnL=-3080.00
2025-06-19,FU,ENTRY,LONG,2,3341.0,0.0,0,1,开仓 LONG 1U@3341.0 vol=2
2025-06-25,FU,STOP_LOSS,LONG,2,3057.0,-5680.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-5680.00
2025-08-11,FU,ENTRY,SHORT,3,2786.0,0.0,0,1,开仓 SHORT 1U@2786.0 vol=3
2025-08-14,FU,ADD_ON,SHORT,3,2734.0,0.0,1,2,加仓 +1U@2734.0 vol=3
2025-08-15,FU,ADD_ON,SHORT,3,2706.0,0.0,2,3,加仓 +1U@2706.0 vol=3
2025-08-26,FU,STOP_LOSS,SHORT,9,2914.0,-15480.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-15480.00
2025-11-14,FU,ENTRY,SHORT,4,2607.0,0.0,0,1,开仓 SHORT 1U@2607.0 vol=4
2025-11-19,FU,ADD_ON,SHORT,4,2571.0,0.0,1,2,加仓 +1U@2571.0 vol=4
2025-11-21,FU,ADD_ON,SHORT,4,2540.0,0.0,2,3,加仓 +1U@2540.0 vol=4
2025-12-29,FU,STOP_LOSS,SHORT,12,2485.0,10520.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=10520.00
2026-01-27,FU,ENTRY,LONG,3,2744.0,0.0,0,1,开仓 LONG 1U@2744.0 vol=3
2026-01-30,FU,ADD_ON,LONG,4,2852.0,0.0,1,3,加仓 +2U@2852.0 vol=4
2026-04-09,FU,STOP_LOSS,LONG,7,3798.0,29140.0,3,0,平仓 STOP_LOSS LONG 3U PnL=29140.00
