date,symbol,trade_type,direction,volume,price,pnl,units_before,units_after,remark
2019-08-12,HC,ENTRY,SHORT,3,3603.0,0.0,0,1,开仓 SHORT 1U@3603.0 vol=3
2019-08-28,HC,ADD_ON,SHORT,3,3554.0,0.0,1,2,加仓 +1U@3554.0 vol=3
2019-08-30,HC,ADD_ON,SHORT,3,3362.0,0.0,2,3,加仓 +1U@3362.0 vol=3
2019-09-16,HC,STOP_LOSS,SHORT,9,3578.0,-6450.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-6450.00
2019-10-14,HC,ENTRY,SHORT,3,3372.0,0.0,0,1,开仓 SHORT 1U@3372.0 vol=3
2019-10-16,HC,ADD_ON,SHORT,3,3330.0,0.0,1,2,加仓 +1U@3330.0 vol=3
2019-10-17,HC,ADD_ON,SHORT,3,3294.0,0.0,2,3,加仓 +1U@3294.0 vol=3
2019-11-06,HC,STOP_LOSS,SHORT,9,3393.0,-5490.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-5490.00
2019-11-21,HC,ENTRY,LONG,4,3535.0,0.0,0,1,开仓 LONG 1U@3535.0 vol=4
2019-11-26,HC,ADD_ON,LONG,4,3553.0,0.0,1,2,加仓 +1U@3553.0 vol=4
2019-12-03,HC,ADD_ON,LONG,4,3610.0,0.0,2,3,加仓 +1U@3610.0 vol=4
2019-12-17,HC,STOP_LOSS,LONG,12,3527.0,21480.0,3,0,平仓 STOP_LOSS LONG 3U PnL=21480.00
2020-04-02,HC,ENTRY,SHORT,2,2977.0,0.0,0,1,开仓 SHORT 1U@2977.0 vol=2
2020-04-20,HC,STOP_LOSS,SHORT,2,3243.0,-5320.0,1,0,平仓 STOP_LOSS SHORT 1U PnL=-5320.00
2020-05-18,HC,ENTRY,LONG,4,3370.0,0.0,0,1,开仓 LONG 1U@3370.0 vol=4
2020-05-19,HC,ADD_ON,LONG,8,3437.0,0.0,1,3,加仓 +2U@3437.0 vol=8
2020-09-08,HC,STOP_LOSS,LONG,12,3868.0,54400.0,3,0,平仓 STOP_LOSS LONG 3U PnL=54400.00
2020-09-22,HC,ENTRY,SHORT,3,3654.0,0.0,0,1,开仓 SHORT 1U@3654.0 vol=3
2020-10-22,HC,STOP_LOSS,SHORT,3,3792.0,-4140.0,1,0,平仓 STOP_LOSS SHORT 1U PnL=-4140.00
2020-11-06,HC,ENTRY,LONG,5,3908.0,0.0,0,1,开仓 LONG 1U@3908.0 vol=5
2020-11-10,HC,ADD_ON,LONG,10,4001.0,0.0,1,3,加仓 +2U@4001.0 vol=10
