date,symbol,trade_type,direction,volume,price,pnl,units_before,units_after,remark
2019-03-19,JD,ENTRY,LONG,8,3539.0,0.0,0,1,开仓 LONG 1U@3539.0 vol=8
2019-04-09,JD,ADD_ON,LONG,10,4224.0,0.0,1,3,加仓 +2U@4224.0 vol=10
2019-06-25,JD,STOP_LOSS,LONG,18,4337.0,8290.0,3,0,平仓 STOP_LOSS LONG 3U PnL=8290.00
2019-07-19,JD,ENTRY,LONG,5,4799.0,0.0,0,1,开仓 LONG 1U@4799.0 vol=5
2019-07-29,JD,STOP_LOSS,LONG,5,4434.0,-9125.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-9125.00
2019-10-22,JD,ENTRY,LONG,5,4761.0,0.0,0,1,开仓 LONG 1U@4761.0 vol=5
2019-10-29,JD,ADD_ON,LONG,10,4862.0,0.0,1,3,加仓 +2U@4862.0 vol=10
2019-11-12,JD,STOP_LOSS,LONG,15,4549.0,-20950.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-20950.00
2019-12-04,JD,ENTRY,SHORT,4,4143.0,0.0,0,1,开仓 SHORT 1U@4143.0 vol=4
2019-12-10,JD,ADD_ON,SHORT,8,3924.0,0.0,1,3,加仓 +2U@3924.0 vol=8
2020-02-24,JD,STOP_LOSS,SHORT,12,3554.0,26580.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=26580.00
2020-05-19,JD,ENTRY,SHORT,5,2820.0,0.0,0,1,开仓 SHORT 1U@2820.0 vol=5
2020-05-21,JD,ADD_ON,SHORT,5,2798.0,0.0,1,2,加仓 +1U@2798.0 vol=5
2020-05-26,JD,ADD_ON,SHORT,5,2737.0,0.0,2,3,加仓 +1U@2737.0 vol=5
2020-06-01,JD,STOP_LOSS,SHORT,15,3250.0,11775.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=11775.00
2020-06-19,JD,ENTRY,LONG,3,3853.0,0.0,0,1,开仓 LONG 1U@3853.0 vol=3
2020-07-02,JD,ADD_ON,LONG,3,3966.0,0.0,1,2,加仓 +1U@3966.0 vol=3
2020-07-08,JD,ADD_ON,LONG,3,3999.0,0.0,2,3,加仓 +1U@3999.0 vol=3
2020-08-07,JD,STOP_LOSS,LONG,9,3937.0,-105.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-105.00
2020-08-21,JD,ENTRY,SHORT,4,3581.0,0.0,0,1,开仓 SHORT 1U@3581.0 vol=4
2020-09-01,JD,ADD_ON,SHORT,4,3529.0,0.0,1,2,加仓 +1U@3529.0 vol=4
2020-09-03,JD,ADD_ON,SHORT,4,3415.0,0.0,2,3,加仓 +1U@3415.0 vol=4
2020-09-25,JD,STOP_LOSS,SHORT,12,3570.0,-3700.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-3700.00
2020-10-23,JD,ENTRY,LONG,4,3991.0,0.0,0,1,开仓 LONG 1U@3991.0 vol=4
2020-10-26,JD,ADD_ON,LONG,4,4073.0,0.0,1,2,加仓 +1U@4073.0 vol=4
2020-10-30,JD,ADD_ON,LONG,4,4103.0,0.0,2,3,加仓 +1U@4103.0 vol=4
2020-11-17,JD,STOP_LOSS,LONG,12,3794.0,-15700.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-15700.00
2021-01-11,JD,ENTRY,LONG,3,4456.0,0.0,0,1,开仓 LONG 1U@4456.0 vol=3
2021-01-18,JD,ADD_ON,LONG,6,4674.0,0.0,1,3,加仓 +2U@4674.0 vol=6
2021-01-28,JD,STOP_LOSS,LONG,9,4254.0,-15630.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-15630.00
2021-02-22,JD,ENTRY,LONG,3,4699.0,0.0,0,1,开仓 LONG 1U@4699.0 vol=3
