date,symbol,trade_type,direction,volume,price,pnl,units_before,units_after,remark
2021-05-11,LH,ENTRY,SHORT,1,24959.0,0.0,0,1,开仓 SHORT 1U@24959.0 vol=1
2021-05-19,LH,ADD_ON,SHORT,1,24504.0,0.0,1,2,加仓 +1U@24504.0 vol=1
2021-05-20,LH,ADD_ON,SHORT,1,23399.0,0.0,2,3,加仓 +1U@23399.0 vol=1
2021-06-30,LH,STOP_LOSS,SHORT,3,19180.0,245152.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=245152.00
2021-08-05,LH,ENTRY,SHORT,1,17399.0,0.0,0,1,开仓 SHORT 1U@17399.0 vol=1
2021-08-11,LH,ADD_ON,SHORT,1,16979.0,0.0,1,2,加仓 +1U@16979.0 vol=1
2021-08-16,LH,ADD_ON,SHORT,1,16799.0,0.0,2,3,加仓 +1U@16799.0 vol=1
2021-08-23,LH,STOP_LOSS,SHORT,3,17480.0,56832.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=56832.00
2021-09-09,LH,ENTRY,SHORT,1,15484.0,0.0,0,1,开仓 SHORT 1U@15484.0 vol=1
2021-09-10,LH,ADD_ON,SHORT,1,14889.0,0.0,1,2,加仓 +1U@14889.0 vol=1
2021-09-14,LH,ADD_ON,SHORT,1,14639.0,0.0,2,3,加仓 +1U@14639.0 vol=1
2021-10-12,LH,STOP_LOSS,SHORT,3,15520.0,-24768.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-24768.00
2021-12-09,LH,ENTRY,SHORT,1,14679.0,0.0,0,1,开仓 SHORT 1U@14679.0 vol=1
2021-12-14,LH,ADD_ON,SHORT,1,14384.0,0.0,1,2,加仓 +1U@14384.0 vol=1
2021-12-15,LH,ADD_ON,SHORT,1,14299.0,0.0,2,3,加仓 +1U@14299.0 vol=1
2022-02-09,LH,STOP_LOSS,SHORT,3,14730.0,-13248.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-13248.00
2022-03-15,LH,ENTRY,SHORT,1,12814.0,0.0,0,1,开仓 SHORT 1U@12814.0 vol=1
2022-03-17,LH,ADD_ON,SHORT,1,12599.0,0.0,1,2,加仓 +1U@12599.0 vol=1
2022-04-12,LH,ADD_ON,SHORT,1,12539.0,0.0,2,3,加仓 +1U@12539.0 vol=1
2022-04-21,LH,STOP_LOSS,SHORT,3,17730.0,-23008.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-23008.00
2022-05-10,LH,ENTRY,LONG,1,19101.0,0.0,0,1,开仓 LONG 1U@19101.0 vol=1
2022-05-16,LH,ADD_ON,LONG,1,19721.0,0.0,1,2,加仓 +1U@19721.0 vol=1
2022-05-17,LH,ADD_ON,LONG,1,19821.0,0.0,2,3,加仓 +1U@19821.0 vol=1
2022-05-31,LH,STOP_LOSS,LONG,3,18880.0,-32048.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-32048.00
2022-06-28,LH,ENTRY,LONG,1,20821.0,0.0,0,1,开仓 LONG 1U@20821.0 vol=1
2022-07-04,LH,ADD_ON,LONG,2,21781.0,0.0,1,3,加仓 +2U@21781.0 vol=2
2022-07-26,LH,STOP_LOSS,LONG,3,20030.0,-68688.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-68688.00
2022-08-23,LH,ENTRY,LONG,1,23381.0,0.0,0,1,开仓 LONG 1U@23381.0 vol=1
2022-08-26,LH,ADD_ON,LONG,1,23721.0,0.0,1,2,加仓 +1U@23721.0 vol=1
2022-09-21,LH,STOP_LOSS,LONG,2,22745.0,-25792.0,2,0,平仓 STOP_LOSS LONG 2U PnL=-25792.00
2022-11-10,LH,ENTRY,SHORT,1,21494.0,0.0,0,1,开仓 SHORT 1U@21494.0 vol=1
2022-11-11,LH,ADD_ON,SHORT,1,21249.0,0.0,1,2,加仓 +1U@21249.0 vol=1
