date,symbol,trade_type,direction,volume,price,pnl,units_before,units_after,remark
2019-05-17,M,ENTRY,LONG,5,2739.0,0.0,0,1,开仓 LONG 1U@2739.0 vol=5
2019-05-22,M,ADD_ON,LONG,10,2794.0,0.0,1,3,加仓 +2U@2794.0 vol=10
2019-07-03,M,STOP_LOSS,LONG,15,2818.0,6350.0,3,0,平仓 STOP_LOSS LONG 3U PnL=6350.00
2019-08-27,M,ENTRY,LONG,4,2957.0,0.0,0,1,开仓 LONG 1U@2957.0 vol=4
2019-08-30,M,ADD_ON,LONG,4,2960.0,0.0,1,2,加仓 +1U@2960.0 vol=4
2019-09-10,M,STOP_LOSS,LONG,8,2857.0,-8120.0,2,0,平仓 STOP_LOSS LONG 2U PnL=-8120.00
2019-10-22,M,ENTRY,LONG,5,3079.0,0.0,0,1,开仓 LONG 1U@3079.0 vol=5
2019-11-01,M,STOP_LOSS,LONG,5,2960.0,-5950.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-5950.00
2019-11-27,M,ENTRY,SHORT,5,2763.0,0.0,0,1,开仓 SHORT 1U@2763.0 vol=5
2019-12-05,M,ADD_ON,SHORT,5,2740.0,0.0,1,2,加仓 +1U@2740.0 vol=5
2020-01-09,M,ADD_ON,SHORT,8,2727.0,0.0,2,3,加仓 +1U@2727.0 vol=8
2020-02-14,M,STOP_LOSS,SHORT,18,2685.0,10010.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=10010.00
2020-03-23,M,ENTRY,LONG,4,2871.0,0.0,0,1,开仓 LONG 1U@2871.0 vol=4
2020-03-24,M,ADD_ON,LONG,4,2935.0,0.0,1,2,加仓 +1U@2935.0 vol=4
2020-03-26,M,ADD_ON,LONG,4,2930.0,0.0,2,3,加仓 +1U@2930.0 vol=4
2020-04-15,M,STOP_LOSS,LONG,12,2807.0,-12600.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-12600.00
2020-05-15,M,ENTRY,SHORT,6,2695.0,0.0,0,1,开仓 SHORT 1U@2695.0 vol=6
2020-05-26,M,STOP_LOSS,SHORT,6,2786.0,-5460.0,1,0,平仓 STOP_LOSS SHORT 1U PnL=-5460.00
2020-07-02,M,ENTRY,LONG,6,2887.0,0.0,0,1,开仓 LONG 1U@2887.0 vol=6
2020-07-06,M,ADD_ON,LONG,6,2905.0,0.0,1,2,加仓 +1U@2905.0 vol=6
2020-07-07,M,ADD_ON,LONG,6,2936.0,0.0,2,3,加仓 +1U@2936.0 vol=6
2020-07-31,M,STOP_LOSS,LONG,18,2904.0,-960.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-960.00
2020-09-14,M,ENTRY,LONG,5,3066.0,0.0,0,1,开仓 LONG 1U@3066.0 vol=5
2020-09-15,M,ADD_ON,LONG,10,3118.0,0.0,1,3,加仓 +2U@3118.0 vol=10
2020-11-11,M,STOP_LOSS,LONG,15,3166.0,9800.0,3,0,平仓 STOP_LOSS LONG 3U PnL=9800.00
2021-01-04,M,ENTRY,LONG,3,3478.0,0.0,0,1,开仓 LONG 1U@3478.0 vol=3
2021-01-07,M,ADD_ON,LONG,3,3549.0,0.0,1,2,加仓 +1U@3549.0 vol=3
2021-01-12,M,ADD_ON,LONG,3,3629.0,0.0,2,3,加仓 +1U@3629.0 vol=3
2021-01-25,M,STOP_LOSS,LONG,9,3458.0,-8460.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-8460.00
2021-03-11,M,ENTRY,SHORT,2,3253.0,0.0,0,1,开仓 SHORT 1U@3253.0 vol=2
2021-03-12,M,ADD_ON,SHORT,2,3198.0,0.0,1,2,加仓 +1U@3198.0 vol=2
2021-04-02,M,STOP_LOSS,SHORT,4,3525.0,-11980.0,2,0,平仓 STOP_LOSS SHORT 2U PnL=-11980.00
2021-04-23,M,ENTRY,LONG,3,3635.0,0.0,0,1,开仓 LONG 1U@3635.0 vol=3
2021-04-28,M,ADD_ON,LONG,3,3680.0,0.0,1,2,加仓 +1U@3680.0 vol=3
2021-05-10,M,ADD_ON,LONG,3,3713.0,0.0,2,3,加仓 +1U@3713.0 vol=3
2021-05-24,M,STOP_LOSS,LONG,9,3528.0,-13320.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-13320.00
2021-07-20,M,ENTRY,LONG,3,3701.0,0.0,0,1,开仓 LONG 1U@3701.0 vol=3
2021-07-27,M,STOP_LOSS,LONG,3,3512.0,-5670.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-5670.00
2021-10-13,M,ENTRY,SHORT,4,3292.0,0.0,0,1,开仓 SHORT 1U@3292.0 vol=4
2021-10-14,M,ADD_ON,SHORT,8,3232.0,0.0,1,3,加仓 +2U@3232.0 vol=8
2021-11-24,M,STOP_LOSS,SHORT,12,3241.0,1320.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=1320.00
2022-02-08,M,ENTRY,LONG,3,3716.0,0.0,0,1,开仓 LONG 1U@3716.0 vol=3
2022-02-11,M,ADD_ON,LONG,6,3852.0,0.0,1,3,加仓 +2U@3852.0 vol=6
