date,symbol,trade_type,direction,volume,price,pnl,units_before,units_after,remark
2019-03-14,P,ENTRY,SHORT,3,4514.0,0.0,0,1,开仓 SHORT 1U@4514.0 vol=3
2019-03-15,P,ADD_ON,SHORT,3,4472.0,0.0,1,2,加仓 +1U@4472.0 vol=3
2019-03-20,P,ADD_ON,SHORT,3,4454.0,0.0,2,3,加仓 +1U@4454.0 vol=3
2019-04-10,P,STOP_LOSS,SHORT,9,4746.0,-23940.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-23940.00
2019-06-13,P,ENTRY,SHORT,3,4340.0,0.0,0,1,开仓 SHORT 1U@4340.0 vol=3
2019-06-25,P,ADD_ON,SHORT,4,4304.0,0.0,1,2,加仓 +1U@4304.0 vol=4
2019-06-27,P,ADD_ON,SHORT,4,4258.0,0.0,2,3,加仓 +1U@4258.0 vol=4
2019-07-26,P,STOP_LOSS,SHORT,11,4328.0,-3400.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-3400.00
2019-08-09,P,ENTRY,LONG,4,4680.0,0.0,0,1,开仓 LONG 1U@4680.0 vol=4
2019-08-12,P,ADD_ON,LONG,6,4788.0,0.0,1,3,加仓 +2U@4788.0 vol=6
2019-09-16,P,STOP_LOSS,LONG,10,4830.0,8520.0,3,0,平仓 STOP_LOSS LONG 3U PnL=8520.00
2019-10-31,P,ENTRY,LONG,2,5260.0,0.0,0,1,开仓 LONG 1U@5260.0 vol=2
2019-11-06,P,ADD_ON,LONG,4,5368.0,0.0,1,3,加仓 +2U@5368.0 vol=4
2020-01-17,P,STOP_LOSS,LONG,6,6108.0,46560.0,3,0,平仓 STOP_LOSS LONG 3U PnL=46560.00
2020-02-17,P,ENTRY,SHORT,1,5524.0,0.0,0,1,开仓 SHORT 1U@5524.0 vol=1
2020-02-20,P,ADD_ON,SHORT,1,5416.0,0.0,1,2,加仓 +1U@5416.0 vol=1
2020-02-26,P,ADD_ON,SHORT,1,5218.0,0.0,2,3,加仓 +1U@5218.0 vol=1
2020-04-03,P,STOP_LOSS,SHORT,3,4920.0,13980.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=13980.00
2020-04-22,P,ENTRY,SHORT,1,4404.0,0.0,0,1,开仓 SHORT 1U@4404.0 vol=1
2020-04-28,P,ADD_ON,SHORT,2,4338.0,0.0,1,2,加仓 +1U@4338.0 vol=2
2020-05-21,P,STOP_LOSS,SHORT,3,4566.0,-6180.0,2,0,平仓 STOP_LOSS SHORT 2U PnL=-6180.00
2020-06-10,P,ENTRY,LONG,2,5020.0,0.0,0,1,开仓 LONG 1U@5020.0 vol=2
2020-06-22,P,ADD_ON,LONG,4,5178.0,0.0,1,3,加仓 +2U@5178.0 vol=4
2020-08-21,P,STOP_LOSS,LONG,6,5618.0,29560.0,3,0,平仓 STOP_LOSS LONG 3U PnL=29560.00
2020-09-15,P,ENTRY,LONG,1,6088.0,0.0,0,1,开仓 LONG 1U@6088.0 vol=1
2020-09-18,P,ADD_ON,LONG,2,6212.0,0.0,1,3,加仓 +2U@6212.0 vol=2
2020-09-24,P,STOP_LOSS,LONG,3,5998.0,-5180.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-5180.00
