date,symbol,trade_type,direction,volume,price,pnl,units_before,units_after,remark
2019-07-02,RB,ENTRY,LONG,3,4106.0,0.0,0,1,开仓 LONG 1U@4106.0 vol=3
2019-07-23,RB,STOP_LOSS,LONG,3,3937.0,-5070.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-5070.00
2019-08-09,RB,ENTRY,SHORT,3,3682.0,0.0,0,1,开仓 SHORT 1U@3682.0 vol=3
2019-08-12,RB,ADD_ON,SHORT,6,3582.0,0.0,1,3,加仓 +2U@3582.0 vol=6
2019-09-16,RB,STOP_LOSS,SHORT,9,3564.0,-21300.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-21300.00
2019-10-16,RB,ENTRY,SHORT,3,3343.0,0.0,0,1,开仓 SHORT 1U@3343.0 vol=3
2019-10-17,RB,ADD_ON,SHORT,3,3297.0,0.0,1,2,加仓 +1U@3297.0 vol=3
2019-11-06,RB,STOP_LOSS,SHORT,6,3432.0,-6720.0,2,0,平仓 STOP_LOSS SHORT 2U PnL=-6720.00
2019-11-20,RB,ENTRY,LONG,4,3635.0,0.0,0,1,开仓 LONG 1U@3635.0 vol=4
2019-11-21,RB,ADD_ON,LONG,4,3681.0,0.0,1,2,加仓 +1U@3681.0 vol=4
2019-11-26,RB,ADD_ON,LONG,4,3672.0,0.0,2,3,加仓 +1U@3672.0 vol=4
2019-12-06,RB,STOP_LOSS,LONG,12,3397.0,-31880.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-31880.00
2020-05-19,RB,ENTRY,LONG,4,3526.0,0.0,0,1,开仓 LONG 1U@3526.0 vol=4
2020-05-20,RB,ADD_ON,LONG,4,3535.0,0.0,1,2,加仓 +1U@3535.0 vol=4
2020-06-01,RB,ADD_ON,LONG,4,3574.0,0.0,2,3,加仓 +1U@3574.0 vol=4
2020-08-26,RB,STOP_LOSS,LONG,12,3709.0,19680.0,3,0,平仓 STOP_LOSS LONG 3U PnL=19680.00
2020-09-16,RB,ENTRY,SHORT,4,3594.0,0.0,0,1,开仓 SHORT 1U@3594.0 vol=4
2020-09-22,RB,ADD_ON,SHORT,8,3539.0,0.0,1,3,加仓 +2U@3539.0 vol=8
2020-10-19,RB,STOP_LOSS,SHORT,12,3637.0,-9560.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-9560.00
2020-11-09,RB,ENTRY,LONG,5,3791.0,0.0,0,1,开仓 LONG 1U@3791.0 vol=5
2020-11-10,RB,ADD_ON,LONG,10,3877.0,0.0,1,3,加仓 +2U@3877.0 vol=10
2021-01-29,RB,STOP_LOSS,LONG,15,4262.0,62050.0,3,0,平仓 STOP_LOSS LONG 3U PnL=62050.00
2021-02-26,RB,ENTRY,LONG,2,4682.0,0.0,0,1,开仓 LONG 1U@4682.0 vol=2
2021-03-04,RB,ADD_ON,LONG,4,4846.0,0.0,1,3,加仓 +2U@4846.0 vol=4
2021-05-17,RB,STOP_LOSS,LONG,6,5676.0,53080.0,3,0,平仓 STOP_LOSS LONG 3U PnL=53080.00
2021-07-15,RB,ENTRY,LONG,2,5570.0,0.0,0,1,开仓 LONG 1U@5570.0 vol=2
2021-07-23,RB,ADD_ON,LONG,2,5666.0,0.0,1,2,加仓 +1U@5666.0 vol=2
2021-07-30,RB,ADD_ON,LONG,2,5762.0,0.0,2,3,加仓 +1U@5762.0 vol=2
2021-08-04,RB,STOP_LOSS,LONG,6,5219.0,-26820.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-26820.00
2021-10-28,RB,ENTRY,SHORT,1,4619.0,0.0,0,1,开仓 SHORT 1U@4619.0 vol=1
2021-11-02,RB,ADD_ON,SHORT,1,4496.0,0.0,1,2,加仓 +1U@4496.0 vol=1
2021-11-03,RB,ADD_ON,SHORT,1,4253.0,0.0,2,3,加仓 +1U@4253.0 vol=1
2021-12-08,RB,STOP_LOSS,SHORT,3,4462.0,-180.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=-180.00
2022-01-20,RB,ENTRY,LONG,2,4720.0,0.0,0,1,开仓 LONG 1U@4720.0 vol=2
2022-02-07,RB,ADD_ON,LONG,4,4876.0,0.0,1,3,加仓 +2U@4876.0 vol=4
2022-02-25,RB,STOP_LOSS,LONG,6,4634.0,-11400.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-11400.00
2022-04-06,RB,ENTRY,LONG,2,5149.0,0.0,0,1,开仓 LONG 1U@5149.0 vol=2
2022-04-26,RB,STOP_LOSS,LONG,2,4792.0,-7140.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-7140.00
2022-05-10,RB,ENTRY,SHORT,2,4627.0,0.0,0,1,开仓 SHORT 1U@4627.0 vol=2
2022-05-19,RB,ADD_ON,SHORT,2,4523.0,0.0,1,2,加仓 +1U@4523.0 vol=2
