date,symbol,trade_type,direction,volume,price,pnl,units_before,units_after,remark
2019-07-03,RU,ENTRY,SHORT,1,11305.0,0.0,0,1,开仓 SHORT 1U@11305.0 vol=1
2019-07-04,RU,ADD_ON,SHORT,1,11160.0,0.0,1,2,加仓 +1U@11160.0 vol=1
2019-07-09,RU,ADD_ON,SHORT,1,11025.0,0.0,2,3,加仓 +1U@11025.0 vol=1
2019-08-09,RU,STOP_LOSS,SHORT,3,11560.0,17200.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=17200.00
2019-09-05,RU,ENTRY,LONG,1,12125.0,0.0,0,1,开仓 LONG 1U@12125.0 vol=1
2019-09-27,RU,STOP_LOSS,LONG,1,11650.0,-4750.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-4750.00
2019-11-21,RU,ENTRY,LONG,1,12515.0,0.0,0,1,开仓 LONG 1U@12515.0 vol=1
2019-11-26,RU,ADD_ON,LONG,2,12810.0,0.0,1,3,加仓 +2U@12810.0 vol=2
2020-01-06,RU,STOP_LOSS,LONG,3,12810.0,2950.0,3,0,平仓 STOP_LOSS LONG 3U PnL=2950.00
2020-02-05,RU,ENTRY,SHORT,1,11075.0,0.0,0,1,开仓 SHORT 1U@11075.0 vol=1
2020-03-02,RU,ADD_ON,SHORT,2,10670.0,0.0,1,3,加仓 +2U@10670.0 vol=2
2020-04-20,RU,STOP_LOSS,SHORT,3,10025.0,23400.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=23400.00
2020-06-08,RU,ENTRY,LONG,1,10690.0,0.0,0,1,开仓 LONG 1U@10690.0 vol=1
2020-06-29,RU,STOP_LOSS,LONG,1,10245.0,-4450.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-4450.00
2020-07-30,RU,ENTRY,LONG,1,10905.0,0.0,0,1,开仓 LONG 1U@10905.0 vol=1
2020-08-06,RU,ADD_ON,LONG,2,12280.0,0.0,1,3,加仓 +2U@12280.0 vol=2
2020-09-10,RU,STOP_LOSS,LONG,3,12185.0,-2200.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-2200.00
2020-10-15,RU,ENTRY,LONG,1,13370.0,0.0,0,1,开仓 LONG 1U@13370.0 vol=1
2020-10-19,RU,ADD_ON,LONG,2,13875.0,0.0,1,3,加仓 +2U@13875.0 vol=2
2020-11-09,RU,STOP_LOSS,LONG,3,14735.0,30850.0,3,0,平仓 STOP_LOSS LONG 3U PnL=30850.00
2020-12-03,RU,ENTRY,LONG,1,15720.0,0.0,0,1,开仓 LONG 1U@15720.0 vol=1
2020-12-09,RU,STOP_LOSS,LONG,1,14570.0,-11500.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-11500.00
2020-12-30,RU,ENTRY,SHORT,1,13720.0,0.0,0,1,开仓 SHORT 1U@13720.0 vol=1
