date,symbol,trade_type,direction,volume,price,pnl,units_before,units_after,remark
2023-03-13,SI,ENTRY,SHORT,2,16950.0,0.0,0,1,开仓 SHORT 1U@16950.0 vol=2
2023-03-16,SI,ADD_ON,SHORT,2,16680.0,0.0,1,2,加仓 +1U@16680.0 vol=2
2023-03-17,SI,ADD_ON,SHORT,2,16055.0,0.0,2,3,加仓 +1U@16055.0 vol=2
2023-06-21,SI,STOP_LOSS,SHORT,6,13670.0,86750.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=86750.00
2023-07-13,SI,ENTRY,LONG,1,13890.0,0.0,0,1,开仓 LONG 1U@13890.0 vol=1
2023-09-07,SI,ADD_ON,LONG,2,14305.0,0.0,1,2,加仓 +1U@14305.0 vol=2
2023-09-11,SI,ADD_ON,LONG,1,14345.0,0.0,2,3,加仓 +1U@14345.0 vol=1
2023-10-12,SI,STOP_LOSS,LONG,4,14230.0,375.0,3,0,平仓 STOP_LOSS LONG 3U PnL=375.00
2024-03-25,SI,ENTRY,SHORT,2,12515.0,0.0,0,1,开仓 SHORT 1U@12515.0 vol=2
2024-03-26,SI,ADD_ON,SHORT,2,12385.0,0.0,1,2,加仓 +1U@12385.0 vol=2
2024-03-27,SI,ADD_ON,SHORT,2,12310.0,0.0,2,3,加仓 +1U@12310.0 vol=2
2024-05-21,SI,STOP_LOSS,SHORT,6,12100.0,9100.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=9100.00
2024-05-31,SI,ENTRY,LONG,1,13080.0,0.0,0,1,开仓 LONG 1U@13080.0 vol=1
2024-06-17,SI,STOP_LOSS,LONG,1,12180.0,-4500.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-4500.00
2024-07-12,SI,ENTRY,SHORT,2,10935.0,0.0,0,1,开仓 SHORT 1U@10935.0 vol=2
2024-07-15,SI,ADD_ON,SHORT,2,10765.0,0.0,1,2,加仓 +1U@10765.0 vol=2
2024-07-16,SI,ADD_ON,SHORT,2,10505.0,0.0,2,3,加仓 +1U@10505.0 vol=2
2024-10-21,SI,STOP_LOSS,SHORT,6,12460.0,42150.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=42150.00
2024-10-24,SI,ENTRY,LONG,1,13015.0,0.0,0,1,开仓 LONG 1U@13015.0 vol=1
2024-11-15,SI,STOP_LOSS,LONG,1,12370.0,-3225.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-3225.00
2024-12-16,SI,ENTRY,SHORT,1,11625.0,0.0,0,1,开仓 SHORT 1U@11625.0 vol=1
2024-12-19,SI,ADD_ON,SHORT,2,11455.0,0.0,1,2,加仓 +1U@11455.0 vol=2
2024-12-20,SI,ADD_ON,SHORT,2,11295.0,0.0,2,3,加仓 +1U@11295.0 vol=2
2025-06-20,SI,STOP_LOSS,SHORT,5,7470.0,98875.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=98875.00
2025-07-11,SI,ENTRY,LONG,2,8485.0,0.0,0,1,开仓 LONG 1U@8485.0 vol=2
2025-07-15,SI,ADD_ON,LONG,2,8655.0,0.0,1,2,加仓 +1U@8655.0 vol=2
2025-07-16,SI,ADD_ON,LONG,1,8750.0,0.0,2,3,加仓 +1U@8750.0 vol=1
2025-08-05,SI,STOP_LOSS,LONG,5,8325.0,-7025.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-7025.00
2025-11-20,SI,ENTRY,LONG,2,9370.0,0.0,0,1,开仓 LONG 1U@9370.0 vol=2
2025-12-04,SI,STOP_LOSS,LONG,2,8925.0,-4450.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-4450.00
2026-05-08,SI,ENTRY,LONG,2,9115.0,0.0,0,1,开仓 LONG 1U@9115.0 vol=2
2026-05-08,SI,FORCE_CLOSE,LONG,2,9020.0,-950.0,1,0,平仓 FORCE_CLOSE LONG 1U PnL=-950.00
