date,symbol,trade_type,direction,volume,price,pnl,units_before,units_after,remark
2019-03-29,SP,ENTRY,SHORT,2,5234.0,0.0,0,1,开仓 SHORT 1U@5234.0 vol=2
2019-04-09,SP,STOP_LOSS,SHORT,2,5458.0,-4480.0,1,0,平仓 STOP_LOSS SHORT 1U PnL=-4480.00
2019-05-07,SP,ENTRY,SHORT,3,5134.0,0.0,0,1,开仓 SHORT 1U@5134.0 vol=3
2019-05-13,SP,ADD_ON,SHORT,3,5080.0,0.0,1,2,加仓 +1U@5080.0 vol=3
2019-05-15,SP,ADD_ON,SHORT,2,5010.0,0.0,2,3,加仓 +1U@5010.0 vol=2
2019-07-04,SP,STOP_LOSS,SHORT,8,4726.0,28540.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=28540.00
2019-08-27,SP,ENTRY,LONG,2,4790.0,0.0,0,1,开仓 LONG 1U@4790.0 vol=2
2019-09-30,SP,STOP_LOSS,LONG,2,4628.0,-3240.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-3240.00
2019-10-18,SP,ENTRY,SHORT,3,4598.0,0.0,0,1,开仓 SHORT 1U@4598.0 vol=3
2019-11-12,SP,ADD_ON,SHORT,4,4580.0,0.0,1,2,加仓 +1U@4580.0 vol=4
2019-11-18,SP,ADD_ON,SHORT,4,4530.0,0.0,2,3,加仓 +1U@4530.0 vol=4
2019-12-18,SP,STOP_LOSS,SHORT,11,4562.0,520.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=520.00
2020-01-09,SP,ENTRY,LONG,5,4666.0,0.0,0,1,开仓 LONG 1U@4666.0 vol=5
2020-01-21,SP,ADD_ON,LONG,10,4736.0,0.0,1,3,加仓 +2U@4736.0 vol=10
2020-01-23,SP,STOP_LOSS,LONG,15,4600.0,-16900.0,3,0,平仓 STOP_LOSS LONG 3U PnL=-16900.00
2020-05-14,SP,ENTRY,SHORT,4,4414.0,0.0,0,1,开仓 SHORT 1U@4414.0 vol=4
2020-05-25,SP,ADD_ON,SHORT,4,4390.0,0.0,1,2,加仓 +1U@4390.0 vol=4
2020-06-08,SP,STOP_LOSS,SHORT,8,4462.0,-4800.0,2,0,平仓 STOP_LOSS SHORT 2U PnL=-4800.00
2020-08-25,SP,ENTRY,LONG,3,4636.0,0.0,0,1,开仓 LONG 1U@4636.0 vol=3
2020-08-27,SP,ADD_ON,LONG,8,4712.0,0.0,1,3,加仓 +2U@4712.0 vol=8
2020-09-21,SP,STOP_LOSS,LONG,11,4720.0,3160.0,3,0,平仓 STOP_LOSS LONG 3U PnL=3160.00
2020-11-02,SP,ENTRY,SHORT,3,4528.0,0.0,0,1,开仓 SHORT 1U@4528.0 vol=3
2020-11-03,SP,ADD_ON,SHORT,3,4488.0,0.0,1,2,加仓 +1U@4488.0 vol=3
2020-11-09,SP,STOP_LOSS,SHORT,6,4632.0,-7440.0,2,0,平仓 STOP_LOSS SHORT 2U PnL=-7440.00
2020-12-08,SP,ENTRY,LONG,2,5098.0,0.0,0,1,开仓 LONG 1U@5098.0 vol=2
2020-12-10,SP,ADD_ON,LONG,2,5178.0,0.0,1,2,加仓 +1U@5178.0 vol=2
2020-12-11,SP,ADD_ON,LONG,2,5206.0,0.0,2,3,加仓 +1U@5206.0 vol=2
2021-03-30,SP,STOP_LOSS,LONG,6,7018.0,111440.0,3,0,平仓 STOP_LOSS LONG 3U PnL=111440.00
2021-05-25,SP,ENTRY,SHORT,1,6600.0,0.0,0,1,开仓 SHORT 1U@6600.0 vol=1
2021-05-26,SP,ADD_ON,SHORT,1,6464.0,0.0,1,2,加仓 +1U@6464.0 vol=1
2021-05-27,SP,ADD_ON,SHORT,1,6304.0,0.0,2,3,加仓 +1U@6304.0 vol=1
2021-07-05,SP,STOP_LOSS,SHORT,3,6218.0,7140.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=7140.00
2021-07-20,SP,ENTRY,LONG,1,6580.0,0.0,0,1,开仓 LONG 1U@6580.0 vol=1
2021-07-27,SP,STOP_LOSS,LONG,1,6126.0,-4540.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-4540.00
2021-09-01,SP,ENTRY,SHORT,2,5998.0,0.0,0,1,开仓 SHORT 1U@5998.0 vol=2
2021-09-02,SP,ADD_ON,SHORT,2,5928.0,0.0,1,2,加仓 +1U@5928.0 vol=2
2021-09-13,SP,STOP_LOSS,SHORT,4,6326.0,-14520.0,2,0,平仓 STOP_LOSS SHORT 2U PnL=-14520.00
2021-09-29,SP,ENTRY,SHORT,1,5736.0,0.0,0,1,开仓 SHORT 1U@5736.0 vol=1
2021-10-13,SP,ADD_ON,SHORT,1,5628.0,0.0,1,2,加仓 +1U@5628.0 vol=1
2021-10-14,SP,ADD_ON,SHORT,1,5564.0,0.0,2,3,加仓 +1U@5564.0 vol=1
2021-11-22,SP,STOP_LOSS,SHORT,3,5094.0,16460.0,3,0,平仓 STOP_LOSS SHORT 3U PnL=16460.00
2021-12-09,SP,ENTRY,LONG,1,6102.0,0.0,0,1,开仓 LONG 1U@6102.0 vol=1
2021-12-16,SP,STOP_LOSS,LONG,1,5580.0,-5220.0,1,0,平仓 STOP_LOSS LONG 1U PnL=-5220.00
2022-01-10,SP,ENTRY,LONG,1,6216.0,0.0,0,1,开仓 LONG 1U@6216.0 vol=1
2022-01-24,SP,ADD_ON,LONG,1,6352.0,0.0,1,2,加仓 +1U@6352.0 vol=1
2022-01-28,SP,STOP_LOSS,LONG,2,5918.0,-7320.0,2,0,平仓 STOP_LOSS LONG 2U PnL=-7320.00
2022-02-11,SP,ENTRY,LONG,1,6500.0,0.0,0,1,开仓 LONG 1U@6500.0 vol=1
2022-02-24,SP,ADD_ON,LONG,1,6612.0,0.0,1,2,加仓 +1U@6612.0 vol=1
2022-02-28,SP,ADD_ON,LONG,1,6712.0,0.0,2,3,加仓 +1U@6712.0 vol=1
2022-03-16,SP,STOP_LOSS,LONG,3,6704.0,2880.0,3,0,平仓 STOP_LOSS LONG 3U PnL=2880.00
2022-04-22,SP,ENTRY,LONG,1,7288.0,0.0,0,1,开仓 LONG 1U@7288.0 vol=1
2022-05-11,SP,ADD_ON,LONG,1,7408.0,0.0,1,2,加仓 +1U@7408.0 vol=1
